Company_Cleaned,Sub_Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month,Sector,city,state,country,Month_Num,Day,Date,Quarter,FY,Cumulative_Funding_Prior,HQ_Sector,Rolling_6m_Funding_Lagged,Rolling_6m_Rounds_Lagged,Rolling_6m_Median_Size_Lagged,Rolling_12m_Funding_Lagged,Rolling_12m_Rounds_Lagged,Rolling_12m_Median_Size_Lagged,Rolling_6m_Funding_Lagged_Missing,Rolling_6m_Rounds_Lagged_Missing,Rolling_6m_Median_Size_Lagged_Missing,Rolling_12m_Funding_Lagged_Missing,Rolling_12m_Rounds_Lagged_Missing,Rolling_12m_Median_Size_Lagged_Missing
3hcare,Healthcare,Delhi,8.3,Other,Unknown,2018,September,Healthtech,Delhi,Delhi,India,9,8,2018-09-08,2,2018,0.83,Delhi | Healthtech,82.82,6.0,8.3,259.24,13.0,8.3,0,0,0,0,0,0
3one4 capital,Venture Capital,Bangalore,830.0,Unknown,Unknown,2020,January,Enterprise / Saas,Bangalore,Karnataka,India,1,27,2020-01-27,4,2019,9.13,Bangalore | Enterprise / Saas,6372.8,7.0,118.28,8922.9,24.0,29.05,0,0,0,0,0,0
3rdflix,Saas,Hyderabad,41.5,Pre-Series A,Exfinity Venture Partners,2019,September,Enterprise / Saas,Hyderabad,Telangana,India,9,27,2019-09-27,2,2019,830.0,Hyderabad | Enterprise / Saas,1012.72,7.0,45.56,1458.55,16.0,23.86,0,0,0,0,0,0
3sc,Logistics,Gurgaon,124.5,Series B,Gef Capital’S South Asia Fund,2021,July,Logistics / Supply Chain,Gurgaon,Haryana,India,7,4,2021-07-04,2,2021,41.5,Gurgaon | Logistics / Supply Chain,2976.38,10.0,34.86,4636.38,17.0,103.75,0,0,0,0,0,0
48east,Ecommerce,Bangalore,4.15,Private Equity,Al Dhaheri Family,2017,February,Ecommerce / Retail,Bangalore,Karnataka,India,2,6,2017-02-06,4,2016,124.5,Bangalore | Ecommerce / Retail,925.55,17.0,26.9,6923.74,31.0,28.97,0,0,0,0,0,0
4basecare,Healthcare,Bangalore,16.6,Pre-Series A,"Growx Ventures, Mount Judi Ventures, Season Two Ventures",2021,March,Healthtech,Bangalore,Karnataka,India,3,18,2021-03-18,4,2020,4.15,Bangalore | Healthtech,963.14,16.0,29.67,2380.32,31.0,46.48,0,0,0,0,0,0
4basecare,Healthcare,Bangalore,49.8,Series A,Yali Capital,2024,August,Healthtech,Bangalore,Karnataka,India,8,15,2024-08-15,2,2024,16.6,Bangalore | Healthtech,6405.85,8.0,225.76,16389.09,26.0,225.76,0,0,0,0,0,0
4fin,Fintech,Pune,9.13,Pre-Seed,Curesense Therapeutics,2021,September,Fintech,Pune,Maharashtra,India,9,26,2021-09-26,2,2021,66.4,Pune | Fintech,366.86,5.0,83.0,366.86,5.0,83.0,0,0,0,0,0,0
4tigo,Logistics,Bangalore,83.0,Private Equity,"Accel, Nandan Nilekani",2017,May,Logistics / Supply Chain,Bangalore,Karnataka,India,5,18,2017-05-18,1,2017,9.13,Bangalore | Logistics / Supply Chain,857.39,8.0,41.5,909.18,10.0,31.12,0,0,0,0,0,0
5c network,Healthcare,Bangalore,9.96,Pre-Series A,"Axilor Ventures, Unitus Ventures",2020,December,Healthtech,Bangalore,Karnataka,India,12,13,2020-12-13,3,2020,83.0,Bangalore | Healthtech,612.42,16.0,37.97,1934.94,28.0,49.8,0,0,0,0,0,0
5cnetwork,Healthcare,Bangalore,48.14,Series A,Rohit Razdan And Shiv Tallam,2022,October,Healthtech,Bangalore,Karnataka,India,10,19,2022-10-19,3,2022,9.96,Bangalore | Healthtech,7440.86,9.0,352.34,20378.9,30.0,225.76,0,0,0,0,0,0
5th vital,Healthcare,Bangalore,4.15,Other,Brand Capital And Others,2018,July,Healthtech,Bangalore,Karnataka,India,7,3,2018-07-03,2,2018,48.14,Bangalore | Healthtech,761.11,8.0,77.6,1029.24,15.0,56.23,0,0,0,0,0,0
6degree,Technology,Mumbai,1.66,Seed,Indian Angel Network,2016,June,Enterprise / Saas,Mumbai,Maharashtra,India,6,24,2016-06-24,1,2016,4.15,Mumbai | Enterprise / Saas,1366.76,12.0,6.27,1567.4,21.0,7.04,0,0,0,0,0,0
6degree,Fashion,Mumbai,2.82,Unknown,"Keiretsu Forum, Sucseed Venture Partners",2020,August,Consumer Goods / D2C,Mumbai,Maharashtra,India,8,7,2020-08-07,2,2020,1.66,Mumbai | Consumer Goods / D2C,603.64,10.0,5.81,603.64,10.0,5.81,0,0,0,0,0,0
6degree,Retail,Mumbai,8.3,Unknown,"Keiretsu Forum, Sucseed Venture Partners",2021,May,Ecommerce / Retail,Mumbai,Maharashtra,India,5,10,2021-05-10,1,2021,4.48,Mumbai | Ecommerce / Retail,7533.92,10.0,47.31,8420.91,19.0,67.23,0,0,0,0,0,0
7 ring,Ecommerce,Mumbai,3.83,Pre-Series A,"Anchorage Capital Partners, Sheth Family Office, Venture Catalysts",2025,June,Ecommerce / Retail,Mumbai,Maharashtra,India,6,20,2025-06-20,1,2025,12.78,Mumbai | Ecommerce / Retail,754.0,8.0,16.98,7904.9,17.0,169.15,0,0,0,0,0,0
75f,Iot,Burnsville,149.4,Series A,Breakthrough Energy Ventures,2019,September,Others,Burnsville,Minnesota,Usa,9,3,2019-09-03,2,2019,3.83,Burnsville | Others,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
75f,Commercial Hvac Automation Iot & Ai,Bangalore,373.5,Series B,"Accurant Interunknowntiounknownl'S Net Zero Alliance, Breakthrough Energy Ventures, Carrier Global Corporation, Climate Investment, Next47, Wind Ventures",2025,February,Artificial Intelligence,Bangalore,Karnataka,India,2,6,2025-02-06,4,2024,149.4,Bangalore | Artificial Intelligence,1447.93,8.0,76.15,2417.04,17.0,76.15,0,0,0,0,0,0
88academics,Edtech,Delhi,24.9,Pre-Series A,Aarin Capital,2021,September,Enterprise / Saas,Delhi,Delhi,India,9,1,2021-09-01,2,2021,522.9,Delhi | Enterprise / Saas,228.34,15.0,10.38,1102.16,25.0,14.24,0,0,0,0,0,0
8i ventures,Venture Capital & Private Equity,Mumbai,415.0,Unknown,Unknown,2021,December,Enterprise / Saas,Mumbai,Maharashtra,India,12,12,2021-12-12,3,2021,24.9,Mumbai | Enterprise / Saas,3450.73,24.0,67.23,4886.3,40.0,17.22,0,0,0,0,0,0
90 my tuition app,Edtech,Bangalore,41.5,Series A,Pearl Investment Llc,2021,July,Enterprise / Saas,Bangalore,Karnataka,India,7,23,2021-07-23,2,2021,415.0,Bangalore | Enterprise / Saas,13718.45,41.0,31.12,18489.42,75.0,20.23,0,0,0,0,0,0
91springboard,Coworking,Delhi,49.3,Unknown,"Al Nour Interunknowntiounknownl Holdings Co., Pearl Brook Holdings Ltd",2020,June,Others,Delhi,Delhi,India,6,28,2020-06-28,1,2020,41.5,Delhi | Others,269.69,8.0,6.64,617.34,20.0,6.64,0,0,0,0,0,0
91trucks,Commercial Vehicle,Delhi,43.0,Unspecified Round,Arkam Ventures,2025,May,Mobility / Automotive / Ev,Delhi,Delhi,India,5,2,2025-05-02,1,2025,49.3,Delhi | Mobility / Automotive / Ev,348.36,9.0,16.2,978.75,14.0,42.84,0,0,0,0,0,0
99 pancakes,Quick Restaurants,Mumbai,20.0,Series A,Family Office,2024,August,Foodtech,Mumbai,Maharashtra,India,8,25,2024-08-25,2,2024,43.0,Mumbai | Foodtech,2467.79,10.0,51.88,2924.93,19.0,37.8,0,0,0,0,0,0
99perhour,Consumer Internet,Chennai,2.49,Seed,V Aaunknownnd R,2017,January,Consumer Internet,Chennai,Tamil Nadu,India,1,16,2017-01-16,4,2016,20.0,Chennai | Consumer Internet,596.12,7.0,6.02,1249.75,11.0,4.15,0,0,0,0,0,0
9stacks,Technology,Delhi,12.45,Private Equity,"Maheshwar Peri, Purnima Khandelwal, Sanjay Singh, Swati Gupta",2017,December,Enterprise / Saas,Delhi,Delhi,India,12,26,2017-12-26,3,2017,2.49,Delhi | Enterprise / Saas,1025.52,11.0,12.77,1149.83,19.0,6.29,0,0,0,0,0,0
aadyah,Technology,Bangalore,8.3,Private Equity,Keiretsu Forum,2017,September,Enterprise / Saas,Bangalore,Karnataka,India,9,25,2017-09-25,2,2017,12.45,Bangalore | Enterprise / Saas,1094.67,28.0,14.11,2181.09,50.0,13.7,0,0,0,0,0,0
aahaa,Ecommerce,Chennai,8.3,Private Equity,Yournest Angel Fund,2016,March,Ecommerce / Retail,Chennai,Tamil Nadu,India,3,17,2016-03-17,4,2015,8.3,Chennai | Ecommerce / Retail,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
aahaa stores,Ecommece,Chennai,8.3,Private Equity,Yournest Angel Fund,2017,September,Ecommerce / Retail,Chennai,Tamil Nadu,India,9,24,2017-09-24,2,2017,8.3,Chennai | Ecommerce / Retail,20.85,3.0,8.3,20.85,3.0,8.3,0,0,0,0,0,0
aarnaml,Ai,Bangalore,55.61,Unknown,Exfinity Venture Partners,2024,September,Artificial Intelligence,Bangalore,Karnataka,India,9,20,2024-09-20,2,2024,8.3,Bangalore | Artificial Intelligence,313.82,8.0,32.78,1235.12,16.0,32.78,0,0,0,0,0,0
aarogyaai,Hospital & Health Care,Delhi,5.81,Seed,"Avaaunknown Capital, Redstart Labs",2022,January,Healthtech,Delhi,Delhi,India,1,13,2022-01-13,4,2021,55.61,Delhi | Healthtech,340.3,12.0,22.82,1786.27,19.0,18.68,0,0,0,0,0,0
aasaanjobs,Other,Unknown,12.45,Seed,"Idg Ventures, Inventus Capital Partners",2015,January,Others,Nan,Nan,Nan,1,19,2015-01-19,4,2014,5.81,Unknown | Others,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
aasaanjobs,Consumer Internet,Mumbai,41.5,Private Equity,"Aspada Advisors, Idg Ventures, \\Xc2\\Xa0 Inventus Capital",2016,February,Consumer Internet,Mumbai,Maharashtra,India,2,21,2016-02-21,4,2015,12.45,Mumbai | Consumer Internet,3004.12,14.0,14.01,4290.62,16.0,21.79,0,0,0,0,0,0
aashiyaan,Fintech,Kolkata,16.6,Other,"Insistor, Oikocredit",2018,May,Fintech,Kolkata,West Bengal,India,5,3,2018-05-03,1,2018,53.95,Kolkata | Fintech,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
aastey,Apparel & Fashion,Mumbai,10.79,Seed,Cxxo,2022,February,Consumer Goods / D2C,Mumbai,Maharashtra,India,2,5,2022-02-05,4,2021,16.6,Mumbai | Consumer Goods / D2C,680.6,7.0,32.37,2160.83,19.0,32.48,0,0,0,0,0,0
