Company_Cleaned,Sub_Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month,Sector,city,state,country,Month_Num,Day,Date,Quarter,FY,Cumulative_Funding_Prior,HQ_Sector,Rolling_6m_Funding_Lagged,Rolling_6m_Rounds_Lagged,Rolling_6m_Median_Size_Lagged,Rolling_12m_Funding_Lagged,Rolling_12m_Rounds_Lagged,Rolling_12m_Median_Size_Lagged,Rolling_6m_Funding_Lagged_Missing,Rolling_6m_Rounds_Lagged_Missing,Rolling_6m_Median_Size_Lagged_Missing,Rolling_12m_Funding_Lagged_Missing,Rolling_12m_Rounds_Lagged_Missing,Rolling_12m_Median_Size_Lagged_Missing
driveu,Technology,Bangalore,24.9,Private Equity,Amit Singhal And Unitus Seed Fund,2018,March,Enterprise / Saas,Bangalore,Karnataka,India,3,7,2018-03-07,4,2017,41.5,Bangalore | Enterprise / Saas,1706.34,30.0,49.8,2801.01,58.0,34.86,0,0,0,0,0,0
driveu,Transport,Bangalore,8.3,Other,Stevens Creek Ventures,2018,November,Logistics / Supply Chain,Bangalore,Karnataka,India,11,15,2018-11-15,3,2018,24.9,Bangalore | Logistics / Supply Chain,982.55,8.0,73.46,1277.53,14.0,63.91,0,0,0,0,0,0
drivezy,Consumer Internet,Bangalore,83.0,Private Equity,"Axan Partners, Das Capital, Das Capital And It Farm",2017,October,Consumer Internet,Bangalore,Karnataka,India,10,17,2017-10-17,3,2017,33.2,Bangalore | Consumer Internet,5366.99,36.0,11.83,10311.5,77.0,11.83,0,0,0,0,0,0
drivify,Consumer Internet,Mumbai,0.41,Seed,"Jitendra Gupta, Pankaj Tripathi",2016,June,Consumer Internet,Mumbai,Maharashtra,India,6,21,2016-06-21,1,2016,83.0,Mumbai | Consumer Internet,2363.04,27.0,24.59,4998.3,36.0,21.79,0,0,0,0,0,0
drivojoy,Consumer Internet,Bangalore,4.98,Seed,"Indian Angel Network, Others, Tracxn Labs",2016,March,Consumer Internet,Bangalore,Karnataka,India,3,28,2016-03-28,4,2015,0.41,Bangalore | Consumer Internet,1436.82,28.0,14.52,8100.06,37.0,29.88,0,0,0,0,0,0
drizz,Ai,Bangalore,22.41,Seed,Stellaris Venture Partners,2025,July,Artificial Intelligence,Bangalore,Karnataka,India,7,25,2025-07-25,2,2025,4.98,Bangalore | Artificial Intelligence,1819.84,16.0,38.66,2522.25,24.0,50.63,0,0,0,0,0,0
droom,Ecommerce,Gurgaon,166.0,Private Equity,"Asset Maunknowngement (Asia) Ltd, Digital Garage Inc",2017,July,Ecommerce / Retail,Gurgaon,Haryana,India,7,23,2017-07-23,2,2017,22.41,Gurgaon | Ecommerce / Retail,360.71,9.0,29.97,1622.31,18.0,36.11,0,0,0,0,0,0
droom,Automobile,Gurgaon,24.9,Series E,Zigexn,2018,October,Mobility / Automotive / Ev,Gurgaon,Haryana,India,10,23,2018-10-23,3,2018,166.0,Gurgaon | Mobility / Automotive / Ev,263.11,3.0,68.27,263.11,3.0,68.27,0,0,0,0,0,0
droom,Automobile,Gurgaon,1660.0,Unknown,Unknown,2021,July,Mobility / Automotive / Ev,Gurgaon,Haryana,India,7,5,2021-07-05,2,2021,190.9,Gurgaon | Mobility / Automotive / Ev,405.71,7.0,8.34,658.86,9.0,9.96,0,0,0,0,0,0
droom,Automotive,Haryana,2763.9,Unknown,Multiples,2022,April,Mobility / Automotive / Ev,Nan,Haryana,India,4,14,2022-04-14,1,2022,1850.9,Haryana | Mobility / Automotive / Ev,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
droomin,Used Vehicle,Delhi,132.8,Private Equity,"Beenos, Lightbox Ventures",2015,July,Mobility / Automotive / Ev,Delhi,Delhi,India,7,9,2015-07-09,2,2015,4614.8,Delhi | Mobility / Automotive / Ev,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
dropkaffe,Online Coffee Delivery,Bangalore,2.49,Seed,"Manish Singhal, Others, P39 Capital",2015,August,Consumer Internet,Bangalore,Karnataka,India,8,22,2015-08-22,2,2015,132.8,Bangalore | Consumer Internet,6079.75,6.0,76.78,6079.75,6.0,76.78,0,0,0,0,0,0
dropkaffe,Food,Bangalore,4.57,Seed,"Apurva Salapuria, Growthstory, Hitesh Oberoi, Nirupa Shankar, Sidharth Pansari",2016,April,Foodtech,Bangalore,Karnataka,India,4,15,2016-04-15,1,2016,2.49,Bangalore | Foodtech,395.5,8.0,39.95,395.5,8.0,39.95,0,0,0,0,0,0
dropshop,Logistics,Bangalore,8.3,Pre-Series A,Inflection Point Ventures,2021,June,Logistics / Supply Chain,Bangalore,Karnataka,India,6,24,2021-06-24,1,2021,7.06,Bangalore | Logistics / Supply Chain,830.03,6.0,58.1,5737.09,16.0,77.6,0,0,0,0,0,0
drum food,Food,Mumbai,44.03,Unknown,"Danone Manifesto, Mousse Partners",2020,June,Foodtech,Mumbai,Maharashtra,India,6,27,2020-06-27,1,2020,8.3,Mumbai | Foodtech,1155.24,7.0,30.09,1355.46,16.0,26.74,0,0,0,0,0,0
druva,Technology,Pune,423.3,Private Equity,"Blue Cloud Ventures, Edbi, Hercules Capital, Sequoia India",2016,September,Enterprise / Saas,Pune,Maharashtra,India,9,15,2016-09-15,2,2016,44.03,Pune | Enterprise / Saas,372.85,10.0,12.91,650.9,13.0,49.8,0,0,0,0,0,0
dukaan,Technology,Mumbai,49.8,Seed,"Lightspeed, Matrix Partners",2020,October,Enterprise / Saas,Mumbai,Maharashtra,India,10,27,2020-10-27,3,2020,423.3,Mumbai | Enterprise / Saas,8205.96,14.0,77.0,12411.33,33.0,77.0,0,0,0,0,0,0
dukaan,Retail,Bangalore,91.3,Series A,"9Unicorns, Hof Capital, Letsventure, Old Well Ventures",2021,September,Ecommerce / Retail,Bangalore,Karnataka,India,9,25,2021-09-25,2,2021,49.8,Bangalore | Ecommerce / Retail,8983.92,13.0,417.08,10761.03,28.0,91.3,0,0,0,0,0,0
dunzo,Consumer Internet,Bangalore,5.39,Seed,"Aspada Investment Advisors, Blume Ventures",2016,March,Consumer Internet,Bangalore,Karnataka,India,3,11,2016-03-11,4,2015,141.1,Bangalore | Consumer Internet,1436.82,28.0,14.52,8100.06,37.0,29.88,0,0,0,0,0,0
dunzo,Technology,Bangalore,102.09,Private Equity,Google,2017,December,Enterprise / Saas,Bangalore,Karnataka,India,12,22,2017-12-22,3,2017,5.39,Bangalore | Enterprise / Saas,1526.28,27.0,44.82,2036.71,49.0,23.66,0,0,0,0,0,0
dunzo,Customer,Bangalore,373.5,Series D,Lightbox,2019,October,Others,Bangalore,Karnataka,India,10,22,2019-10-22,3,2019,107.48,Bangalore | Others,425.95,10.0,21.99,2732.28,27.0,34.44,0,0,0,0,0,0
dunzo,Technology,Bangalore,232.4,Series E,"Alteria Capital, Wes Schwalje",2020,January,Enterprise / Saas,Bangalore,Karnataka,India,1,11,2020-01-11,4,2019,480.98,Bangalore | Enterprise / Saas,6372.8,7.0,118.28,8922.9,24.0,29.05,0,0,0,0,0,0
dunzo,Logistics,Bangalore,91.3,Unknown,Alteria Capital,2020,February,Logistics / Supply Chain,Bangalore,Karnataka,India,2,19,2020-02-19,4,2019,713.38,Bangalore | Logistics / Supply Chain,4907.06,10.0,87.32,5756.15,18.0,67.23,0,0,0,0,0,0
dunzo,Delivery,Bangalore,332.0,Series E,"Evolvence India Fund, Lightbox",2021,January,Logistics / Supply Chain,Bangalore,Karnataka,India,1,17,2021-01-17,4,2020,804.68,Bangalore | Logistics / Supply Chain,4729.64,9.0,53.96,5695.59,16.0,73.46,0,0,0,0,0,0
dunzo,Ecommerce,Bangalore,1992.0,Unknown,Reliance Retail Ventures Limited,2022,January,Ecommerce / Retail,Bangalore,Karnataka,India,1,8,2022-01-08,4,2021,1136.68,Bangalore | Ecommerce / Retail,10717.79,14.0,425.38,19242.72,30.0,417.08,0,0,0,0,0,0
duroflex,Furniture,Bangalore,498.0,Unknown,Norwest Venture Partners,2021,October,Enterprise / Saas,Bangalore,Karnataka,India,10,28,2021-10-28,3,2021,3128.68,Bangalore | Enterprise / Saas,14096.93,68.0,22.82,23609.4,107.0,22.82,0,0,0,0,0,0
dusminute,Retail,Bangalore,9.13,Pre-Series A,Indian Angel Network,2021,April,Ecommerce / Retail,Bangalore,Karnataka,India,4,12,2021-04-12,1,2021,498.0,Bangalore | Ecommerce / Retail,5942.8,14.0,294.65,8010.82,26.0,91.3,0,0,0,0,0,0
dvara edairy,Fintech,Chennai,1.66,Unknown,Dvara Holdings And Axilor Ventures,2022,May,Fintech,Chennai,Tamil Nadu,India,5,10,2022-05-10,1,2022,9.13,Chennai | Fintech,4930.7,9.0,373.5,8050.42,20.0,186.75,0,0,0,0,0,0
dvara smartgold,Fintech,Mumbai,16.6,Pre-Series A,"Axilor, Dvara Holdings",2022,February,Fintech,Mumbai,Maharashtra,India,2,26,2022-02-26,4,2021,1.66,Mumbai | Fintech,2261.42,22.0,63.7,4129.29,42.0,47.72,0,0,0,0,0,0
dybo,It,Bangalore,0.83,Seed,Spaunknownche,2021,April,Enterprise / Saas,Bangalore,Karnataka,India,4,1,2021-04-01,1,2021,16.6,Bangalore | Enterprise / Saas,9512.47,39.0,20.75,12093.35,60.0,18.16,0,0,0,0,0,0
dynolt,Deeptech Ai & Analytics,Bangalore,14.11,Seed,"Transition Vc, Yashowardhan Shah",2025,February,Enterprise / Saas,Bangalore,Karnataka,India,2,14,2025-02-14,4,2024,0.83,Bangalore | Enterprise / Saas,3632.65,30.0,65.28,8996.93,50.0,55.61,0,0,0,0,0,0
dyte,It And It Consulting,Bangalore,36.1,Unknown,Multiples,2022,April,Enterprise / Saas,Bangalore,Karnataka,India,4,4,2022-04-04,1,2022,14.11,Bangalore | Enterprise / Saas,21288.28,72.0,41.5,35385.21,140.0,24.9,0,0,0,0,0,0
e42,Computer Software,Pune,44.82,Series A,Pavestone Ventures,2021,October,Enterprise / Saas,Pune,Maharashtra,India,10,20,2021-10-20,3,2021,36.1,Pune | Enterprise / Saas,96.29,8.0,6.85,1381.72,15.0,15.77,0,0,0,0,0,0
e6data,Data Infrastructure,Unknown,83.0,Other,"Accel, Beenext",2024,September,Analytics / Big Data,Nan,Nan,Nan,9,19,2024-09-19,2,2024,44.82,Unknown | Analytics / Big Data,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
early salary,Consumer Internet,Pune,33.2,Private Equity,"Dewan Housing Fiunknownnce Corp, Dg Ventures India",2017,May,Consumer Internet,Pune,Maharashtra,India,5,22,2017-05-22,1,2017,83.0,Pune | Consumer Internet,43.04,8.0,3.91,74.51,14.0,3.82,0,0,0,0,0,0
early salary,Consumer Internet,Pune,6.47,Debt,Ifmr Capital,2017,September,Consumer Internet,Pune,Maharashtra,India,9,13,2017-09-13,2,2017,33.2,Pune | Consumer Internet,84.17,7.0,8.45,109.79,15.0,4.15,0,0,0,0,0,0
earlysalary,Fintech,Pune,130.31,Other,Eight Roads Ventures India,2018,January,Fintech,Pune,Maharashtra,India,1,26,2018-01-26,4,2017,39.67,Pune | Fintech,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
earlysalarycom,Mobile Based Loan Disbursement,Mumbai,12.45,Seed,Ashok Agarwal,2015,November,Fintech,Mumbai,Maharashtra,India,11,26,2015-11-26,3,2015,130.31,Mumbai | Fintech,732.06,10.0,56.02,732.06,10.0,56.02,0,0,0,0,0,0
earnwealth,Fintech,Pune,4.15,Pre-Series A,Unknown,2021,October,Fintech,Pune,Maharashtra,India,10,15,2021-10-15,3,2021,12.45,Pune | Fintech,375.99,6.0,60.18,375.99,6.0,60.18,0,0,0,0,0,0
earth food,Consumer Internet,Pune,7.88,Other,Rairah Corporation,2018,May,Consumer Internet,Pune,Maharashtra,India,5,25,2018-05-25,1,2018,4.15,Pune | Consumer Internet,485.52,6.0,13.9,526.77,14.0,5.93,0,0,0,0,0,0
earth rhythm,Cosmetics,Gurgaon,9.96,Seed,Anicut Angel Fund,2021,July,Consumer Goods / D2C,Gurgaon,Haryana,India,7,18,2021-07-18,2,2021,7.88,Gurgaon | Consumer Goods / D2C,137.51,4.0,6.09,137.51,4.0,6.09,0,0,0,0,0,0
earthful,Plantbased Nutrition D2C Wellness,Hyderabad,5.0,Seed,Srinivasan Namala,2025,February,Foodtech,Hyderabad,Telangana,India,2,26,2025-02-26,4,2024,9.96,Hyderabad | Foodtech,138.03,4.0,31.12,138.03,4.0,31.12,0,0,0,0,0,0
easebuzz,Ecommerce,Pune,33.2,Series A,"Amrish Rau, Jitendra Gupta",2021,April,Ecommerce / Retail,Pune,Maharashtra,India,4,16,2021-04-16,1,2021,5.0,Pune | Ecommerce / Retail,3517.63,7.0,75.74,3517.63,7.0,75.74,0,0,0,0,0,0
easebuzz,Fintech,Pune,249.0,Unspecified Round,Bessemer,2025,April,Fintech,Pune,Maharashtra,India,4,6,2025-04-06,1,2025,33.2,Pune | Fintech,2579.64,6.0,242.78,2829.47,12.0,126.58,0,0,0,0,0,0
easiloan,Fintech,Mumbai,8.3,Unknown,Tomorrow Capital,2021,September,Fintech,Mumbai,Maharashtra,India,9,13,2021-09-13,2,2021,282.2,Mumbai | Fintech,2201.53,22.0,37.35,2829.84,35.0,37.35,0,0,0,0,0,0
easy diner,Consumer Internet,Gurgaon,37.35,Private Equity,Saama Capital And Dsg Consumer Partners,2017,October,Consumer Internet,Gurgaon,Haryana,India,10,22,2017-10-22,3,2017,8.3,Gurgaon | Consumer Internet,5111.93,17.0,115.37,5752.66,37.0,41.06,0,0,0,0,0,0
easy home finance,Home Financing,Mumbai,290.5,Other,"Claypond Capital, Ranjan Pai’S Family Office, Sumitomo Mitsui Banking Corporation’S Asia Rising Fund",2024,November,Fintech,Mumbai,Maharashtra,India,11,23,2024-11-23,3,2024,37.35,Mumbai | Fintech,992.61,10.0,48.8,12107.71,26.0,87.72,0,0,0,0,0,0
easy salary,Fintech,Pune,1081.49,Series D,Tpg Growth And Norwest Venture Partners,2022,August,Fintech,Pune,Maharashtra,India,8,13,2022-08-13,2,2022,290.5,Pune | Fintech,1009.28,6.0,58.1,1259.94,9.0,83.0,0,0,0,0,0,0
easyaspataal,Healthcare,Mumbai,4.15,Seed,Venture Catalysts,2021,July,Healthtech,Mumbai,Maharashtra,India,7,5,2021-07-05,2,2021,1081.49,Mumbai | Healthtech,4624.76,10.0,270.58,4962.75,19.0,39.42,0,0,0,0,0,0
easyecom,Ecommerce,Bangalore,1.25,Other,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vounknown Investments",2017,December,Ecommerce / Retail,Bangalore,Karnataka,India,12,15,2017-12-15,3,2017,4.15,Bangalore | Ecommerce / Retail,867.07,13.0,8.3,3514.51,33.0,28.97,0,0,0,0,0,0
easykhaana,Online Food Ordering & Delivery,Delhi,0.83,Seed,Unknown Investors,2015,December,Foodtech,Delhi,Delhi,India,12,20,2015-12-20,3,2015,1.25,Delhi | Foodtech,40.07,4.0,11.42,40.07,4.0,11.42,0,0,0,0,0,0
easypolicy,Consumer Internet,Noida,18.26,Private Equity,Unilazer Ventures,2016,January,Consumer Internet,Noida,Uttar Pradesh,India,1,21,2016-01-21,4,2015,0.83,Noida | Consumer Internet,83.0,3.0,22.83,83.0,3.0,22.83,0,0,0,0,0,0
easypolicy,Consumer Internet,Noida,83.0,Private Equity,Unilazer Ventures,2016,November,Consumer Internet,Noida,Uttar Pradesh,India,11,28,2016-11-28,3,2016,18.26,Noida | Consumer Internet,159.36,9.0,3.84,260.62,13.0,8.3,0,0,0,0,0,0
easyrewardz,Loyalty Programs & Reward Points,Mumbai,4.15,Private Equity,"Ashneer Grover, Atul Phadnis, Wealth First",2015,August,Marketing / Adtech,Mumbai,Maharashtra,India,8,4,2015-08-04,2,2015,101.26,Mumbai | Marketing / Adtech,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
easyroads,Consumer Internet,Mumbai,1.66,Seed,"Hrishi Oberoi, Kapil Hetamsaria, Praunknownv Dedhia, Rahul Mehta, Rohan Angrish",2016,May,Consumer Internet,Mumbai,Maharashtra,India,5,25,2016-05-25,1,2016,4.15,Mumbai | Consumer Internet,2277.52,23.0,24.59,4911.53,31.0,24.59,0,0,0,0,0,0
eat better,D2C Snacking,Jaipur,17.0,Pre-Series A,Prath Ventures And Spring Marketing Capital,2025,April,Foodtech,Jaipur,Rajasthan,India,4,17,2025-04-17,1,2025,1.66,Jaipur | Foodtech,14.11,2.0,7.06,14.11,2.0,7.06,0,0,0,0,0,0
eat better ventures,Food,Jaipur,5.81,Seed,"Java Capital, Mumbai Angels",2022,March,Foodtech,Jaipur,Rajasthan,India,3,3,2022-03-03,4,2021,17.0,Jaipur | Foodtech,8.3,1.0,8.3,8.3,1.0,8.3,0,0,0,0,0,0
eatshoplove,Fashion Ecommerce,Bangalore,29.05,Private Equity,Unknown Investor,2015,April,Ecommerce / Retail,Bangalore,Karnataka,India,4,22,2015-04-22,1,2015,5.81,Bangalore | Ecommerce / Retail,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
eattreatonline,Healthy Food Online Community,Delhi,2.9,Seed,Group Of 15 Angel Investors,2015,June,Healthtech,Delhi,Delhi,India,6,24,2015-06-24,1,2015,29.05,Delhi | Healthtech,1.25,1.0,1.25,1.25,1.0,1.25,0,0,0,0,0,0
eazydiner,Restaurant Reservation,Gurgaon,24.9,Private Equity,"Dsg Consumer Partners, Saama Capital",2015,August,Foodtech,Gurgaon,Haryana,India,8,18,2015-08-18,2,2015,2.9,Gurgaon | Foodtech,1286.5,3.0,249.0,1286.5,3.0,249.0,0,0,0,0,0,0
eazydiner,Consumer Internet,Gurgaon,48.55,Private Equity,Denlow Investment Trust And Beenext,2018,August,Consumer Internet,Gurgaon,Haryana,India,8,25,2018-08-25,2,2018,24.9,Gurgaon | Consumer Internet,3141.43,13.0,91.3,8783.73,28.0,91.3,0,0,0,0,0,0
ebikego,Last Mile Transportation,Amritsar,2.49,Seed,Startup Buddy,2019,November,Logistics / Supply Chain,Amritsar,Punjab,India,11,3,2019-11-03,3,2019,73.45,Amritsar | Logistics / Supply Chain,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
eccentric,Automotive 3D,Mumbai,41.5,Pre-Series A,"Arkam Ventures, Exfinity Venture Partners",2025,January,Deeptech / Hardware,Mumbai,Maharashtra,India,1,8,2025-01-08,4,2024,2.49,Mumbai | Deeptech / Hardware,70.3,2.0,35.15,70.3,2.0,35.15,0,0,0,0,0,0
ecoex,Environment > Solid Waste Management,Delhi,33.2,Seed,Unknown,2025,October,Others,Delhi,Delhi,India,10,14,2025-10-14,3,2025,41.5,Delhi | Others,735.75,14.0,28.25,962.68,21.0,21.79,0,0,0,0,0,0
ecolibriumenergy,Technology,Ahmedabad,21.58,Private Equity,"Infuse Ventures, Jll",2017,July,Enterprise / Saas,Ahmedabad,Gujarat,India,7,23,2017-07-23,2,2017,33.2,Ahmedabad | Enterprise / Saas,63.91,4.0,3.11,63.91,4.0,3.11,0,0,0,0,0,0
ecom express,Logistics,Delhi,1137.1,Private Equity,Warburg Pincus,2015,June,Logistics / Supply Chain,Delhi,Delhi,India,6,13,2015-06-13,1,2015,21.58,Delhi | Logistics / Supply Chain,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
ecom express,Logistics,Delhi,249.0,Private Equity,Warburg Pincus,2017,September,Logistics / Supply Chain,Delhi,Delhi,India,9,3,2017-09-03,2,2017,1137.1,Delhi | Logistics / Supply Chain,1645.89,7.0,86.74,1645.89,7.0,86.74,0,0,0,0,0,0
ecom express,Logistics,Gurgaon,298.8,Unknown,Cdc Group,2020,January,Logistics / Supply Chain,Gurgaon,Haryana,India,1,16,2020-01-16,4,2019,1386.1,Gurgaon | Logistics / Supply Chain,1535.5,7.0,103.75,2160.57,12.0,103.75,0,0,0,0,0,0
ecom express,Ecommerce,Delhi,166.0,Unknown,"Cdc Group, Partners Group",2021,March,Ecommerce / Retail,Delhi,Delhi,India,3,18,2021-03-18,4,2020,1684.9,Delhi | Ecommerce / Retail,4378.84,11.0,27.98,4679.93,21.0,21.76,0,0,0,0,0,0
economy process,Vacuum Systems And Process Equipment,Mumbai,100.0,Series A,Stakeboat Capital Fund Ii,2024,October,Others,Mumbai,Maharashtra,India,10,1,2024-10-01,3,2024,1850.9,Mumbai | Others,3872.09,12.0,180.52,7671.58,26.0,36.31,0,0,0,0,0,0
ecosoul,Ecommerce,Noida,166.0,Series B,"Accel, Bajaj Fiunknownncial Securities",2025,September,Ecommerce / Retail,Noida,Uttar Pradesh,India,9,15,2025-09-15,2,2025,100.0,Noida | Ecommerce / Retail,568.84,6.0,25.32,755.59,13.0,16.6,0,0,0,0,0,0
ecostp,Sanitation,Bangalore,157.7,Unknown,Terwilliger Centre,2020,October,Enterprise / Saas,Bangalore,Karnataka,India,10,20,2020-10-20,3,2020,166.0,Bangalore | Enterprise / Saas,2580.88,21.0,15.49,22678.39,48.0,36.31,0,0,0,0,0,0
ecozen,Technology,Pune,49.8,Series A,Sathguru Catalyzer Advisors,2019,December,Enterprise / Saas,Pune,Maharashtra,India,12,10,2019-12-10,3,2019,157.7,Pune | Enterprise / Saas,1067.38,7.0,39.84,2387.87,18.0,33.2,0,0,0,0,0,0
ecozen,Agritech,Pune,49.8,Series A,"Agriculture Fund (Ifa Fund), Innovation In Food",2020,January,Agritech,Pune,Maharashtra,India,1,8,2020-01-08,4,2019,49.8,Pune | Agritech,33.2,1.0,33.2,33.2,1.0,33.2,0,0,0,0,0,0
ecozen,Climatefocused Deeptech,Pune,190.9,Debt,"Fiunknownnce Private Limited, Maaunknownveeya Development, Northern Arc Capital Limited, Responsability Investments Ag",2025,January,Enterprise / Saas,Pune,Maharashtra,India,1,22,2025-01-22,4,2024,99.6,Pune | Enterprise / Saas,598.46,8.0,86.33,1945.14,15.0,43.16,0,0,0,0,0,0
edelweiss,Fintech,Mumbai,2241.0,Private Equity,Unknown Investors,2017,November,Fintech,Mumbai,Maharashtra,India,11,21,2017-11-21,3,2017,290.5,Mumbai | Fintech,784.52,11.0,56.02,1145.57,14.0,62.25,0,0,0,0,0,0
edgegrid,Software Development,Hyderabad,49.8,Seed,Lightrock India,2022,March,Enterprise / Saas,Hyderabad,Telangana,India,3,1,2022-03-01,4,2021,2241.0,Hyderabad | Enterprise / Saas,405.87,14.0,12.04,1928.5,21.0,12.04,0,0,0,0,0,0
edgehax,Advanced Hardware & Technology,Bangalore,1.31,Seed,Inflection Point Ventures,2025,September,Enterprise / Saas,Bangalore,Karnataka,India,9,1,2025-09-01,2,2025,49.8,Bangalore | Enterprise / Saas,5881.32,36.0,32.99,9513.97,66.0,50.28,0,0,0,0,0,0
edmingle,Edtech,Bangalore,2.49,Unknown,"Indovation Fund, Mumbai Angels",2021,June,Enterprise / Saas,Bangalore,Karnataka,India,6,7,2021-06-07,1,2021,1.31,Bangalore | Enterprise / Saas,10623.84,40.0,31.12,14927.8,68.0,20.23,0,0,0,0,0,0
edu4share,Exam Preparation,Delhi,1.83,Seed,"Nalin Jain, Other Angel Investors",2015,August,Others,Delhi,Delhi,India,8,20,2015-08-20,2,2015,2.49,Delhi | Others,263.11,6.0,48.14,263.11,6.0,48.14,0,0,0,0,0,0
eduace,Edtech,Lucknow,8.3,Private Equity,Momagic Technologies,2016,May,Enterprise / Saas,Lucknow,Uttar Pradesh,India,5,1,2016-05-01,1,2016,1.83,Lucknow | Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
edubridge,Consumer Internet,Mumbai,20.75,Private Equity,"Acumen Fund, Insitor Impact Asia Fund",2016,February,Consumer Internet,Mumbai,Maharashtra,India,2,5,2016-02-05,4,2015,8.3,Mumbai | Consumer Internet,3004.12,14.0,14.01,4290.62,16.0,21.79,0,0,0,0,0,0
edufund,Fintech,Gujarat,2.49,Pre-Seed,View Trade Holding Corp,2021,February,Fintech,Nan,Gujarat,India,2,26,2021-02-26,4,2020,20.75,Gujarat | Fintech,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
edufund,Fintech,Ahmedabad,49.8,Series A,Cercano Maunknowngement,2025,July,Fintech,Ahmedabad,Gujarat,India,7,24,2025-07-24,2,2025,2.49,Ahmedabad | Fintech,398.72,5.0,83.0,398.72,5.0,83.0,0,0,0,0,0,0
edugorilla,Edtech,Lucknow,29.05,Unknown,Village Capital And Aspen Network Of Development Entrepreneurs,2022,June,Enterprise / Saas,Lucknow,Uttar Pradesh,India,6,11,2022-06-11,1,2022,52.29,Lucknow | Enterprise / Saas,8.3,1.0,8.3,8.3,1.0,8.3,0,0,0,0,0,0
edukart,Edtech,Delhi,8.3,Private Equity,"500 Startups, Amit Patni, Holostik Group, Manish Kheterpal, Vijay Shekhar Sharma, Youwecan Ventures",2015,June,Enterprise / Saas,Delhi,Delhi,India,6,14,2015-06-14,1,2015,29.05,Delhi | Enterprise / Saas,2.49,1.0,2.49,2.49,1.0,2.49,0,0,0,0,0,0
edukemy,Edtech,Noida,16.6,Pre-Series A,"Auxano, Falcon5",2021,July,Enterprise / Saas,Noida,Uttar Pradesh,India,7,15,2021-07-15,2,2021,8.3,Noida | Enterprise / Saas,983.5,7.0,6.83,1973.75,16.0,41.5,0,0,0,0,0,0
edupristine,Edtech,Mumbai,83.0,Private Equity,"Devry Inc, Kaizen Maunknowngement Advisors",2016,May,Enterprise / Saas,Mumbai,Maharashtra,India,5,5,2016-05-05,1,2016,16.6,Mumbai | Enterprise / Saas,463.72,9.0,6.27,636.14,18.0,7.04,0,0,0,0,0,0
edureka,Edtech,Bangalore,16.6,Other,Leo Capital,2018,June,Enterprise / Saas,Bangalore,Karnataka,India,6,11,2018-06-11,1,2018,83.0,Bangalore | Enterprise / Saas,1314.5,24.0,47.93,2840.78,51.0,47.93,0,0,0,0,0,0
edurev,Consumer Internet,Gurgaon,0.33,Seed,Facebook Fb Start Programme,2017,February,Consumer Internet,Gurgaon,Haryana,India,2,7,2017-02-07,4,2016,16.6,Gurgaon | Consumer Internet,738.43,19.0,10.9,1367.0,37.0,8.3,0,0,0,0,0,0
edustoke,Edtech,Bangalore,3.32,Seed,Indus Initiatives,2022,January,Enterprise / Saas,Bangalore,Karnataka,India,1,10,2022-01-10,4,2021,0.33,Bangalore | Enterprise / Saas,17729.09,77.0,24.9,31447.54,118.0,24.9,0,0,0,0,0,0
eduvanz,Fintech,Mumbai,41.5,Series A,Sequoia India,2020,August,Fintech,Mumbai,Maharashtra,India,8,2,2020-08-02,2,2020,3.32,Mumbai | Fintech,349.74,6.0,22.83,2996.71,22.0,37.09,0,0,0,0,0,0
eduvanz,Fintech,Mumbai,83.0,Debt,"Incred Fiunknownncial Services, Northern Arc Capital, Vivriti Capital",2021,February,Fintech,Mumbai,Maharashtra,India,2,23,2021-02-23,4,2020,41.5,Mumbai | Fintech,628.31,13.0,37.35,1796.53,27.0,30.86,0,0,0,0,0,0
eduvanz,Education Loan Fintech,Mumbai,25.52,Bridge,"Capria Fund, Juvo Ventures, Peak Xv, Unitus Ventures",2025,February,Fintech,Mumbai,Maharashtra,India,2,9,2025-02-09,4,2024,124.5,Mumbai | Fintech,4762.99,16.0,168.57,13348.51,27.0,133.22,0,0,0,0,0,0
edvizo,Edtech,Bangalore,1.25,Seed,Inflection Point Ventures,2020,June,Enterprise / Saas,Bangalore,Karnataka,India,6,25,2020-06-25,1,2020,150.02,Bangalore | Enterprise / Saas,14332.45,31.0,60.8,20493.6,38.0,31.12,0,0,0,0,0,0
