Company_Cleaned,Sub_Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month,Sector,city,state,country
clumio,SaaS,San Jose,1120.5,Series C,"Altimeter Capital, Sutter Hill Ventures",2019,November,Enterprise / SaaS,San Jose,California,USA
ebikego,Last Mile Transportation,Amritsar,2.49,Seed,Startup Buddy,2019,November,Logistics / Supply Chain,Amritsar,Punjab,India
digital mall asia,Ecommerce,Delhi,1826.0,Seed,Amour Infrastructure,2019,November,Ecommerce / Retail,Delhi,Delhi,India
medikabazaar,Healthcare,Mumbai,131.14,Series B,"Ackermans, Van Haaren, Healthquad, Rebright Partners, Toppan Printing",2019,November,HealthTech,Mumbai,Maharashtra,India
vogo automotive,Last Mile Transportation,Kormangala,2348.9,Series B,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",2019,November,Logistics / Supply Chain,Bangalore,Karnataka,India
furtados school of music,Edtech,Tulangan,1660.0,Unknown,Ian Fund And Dsg Consumer Partners,2019,November,Enterprise / SaaS,,,
paytm,Fintech,Noida,8300.0,Unspecified Round,Vijay Shekhar Sharma,2019,November,FinTech,Noida,Uttar Pradesh,India
dunzo,Customer,Bangalore,373.5,Series D,Lightbox,2019,October,Others,Bangalore,Karnataka,India
udaan,B2B,Bangalore,4855.5,Series D,"Altimeter Capital, Dst Global",2019,October,Enterprise / SaaS,Bangalore,Karnataka,India
fpl,Fintech,Pune,37.35,Other,"Matrix Partners, Sequoia India",2019,September,FinTech,Pune,Maharashtra,India
cashflo,Fintech,Mumbai,27.39,Series A,Saif Partners,2019,September,FinTech,Mumbai,Maharashtra,India
digital f5,Advertising Marketing,Mumbai,49.8,Private Equity,Tiw Private Equity,2019,September,Marketing / AdTech,Mumbai,Maharashtra,India
3rdflix,SaaS,Hyderabad,41.5,Pre-Series A,Exfinity Venture Partners,2019,September,Enterprise / SaaS,Hyderabad,Telangana,India
75f,Iot,Burnsville,149.4,Series A,Breakthrough Energy Ventures,2019,September,Others,Burnsville,Minnesota,USA
myelin foundry,Information Technology,Bangalore,8.3,Seed,Endiya Partners,2019,September,Enterprise / SaaS,Bangalore,Karnataka,India
atomberg technology,Consumer Technology,Mumbai,83.0,Series A,A91 Partners,2019,September,Consumer Internet,Mumbai,Maharashtra,India
goqii,Healthcare,Menlo Park,3735.0,Series C,Bennett Coleman And Company Ltd (Bccl),2019,September,HealthTech,Menlo Park,California,USA
vyapar app,Accounting,Bangalore,41.5,Series A,"India Quotient, Axilor Ventures",2019,September,Others,Bangalore,Karnataka,India
car dekho,Ecommerce,Gurgaon,166.0,Series C,Sc Gg India Mobility Holdings Llc,2019,August,Ecommerce / Retail,Gurgaon,Haryana,India
progcap,Fintech,Delhi,41.5,Series A,Sequoia India,2019,August,FinTech,Delhi,Delhi,India
mypetrolpump,Retail,Bangalore,13.28,Seed,Unknown,2019,August,Ecommerce / Retail,Bangalore,Karnataka,India
alteria capital,Fintech,Mumbai,1162.0,Other,"Azim Premji, Binny Bansal",2019,August,FinTech,Mumbai,Maharashtra,India
pine labs,Information Technology,Noida,316.06,Other,Pine Labs Pte Ltd,2019,August,Enterprise / SaaS,Noida,Uttar Pradesh,India
meesho,Ecommerce,Bangalore,1037.5,Series D,Naspers,2019,August,Ecommerce / Retail,Bangalore,Karnataka,India
cars24,Ecommerce,Gurgaon,91.3,Series D,Ms Dhoni,2019,August,Ecommerce / Retail,Gurgaon,Haryana,India
uniphore,Customer,Palo Alto,423.3,Series C,March Capital Partners,2019,August,Others,Palo Alto,California,USA
zendrive,Automotive,San Francisco,307.1,Series B,Xl Innovate,2019,August,Mobility / Automotive / EV,San Francisco,California,USA
lo foods,Consumer Goods,Bangalore,4.15,Seed,"Rashmi Daga (Founder, Freshmenu), Raveen Sastry (Counknownfounder, Myntra) And Mitesh Shah (Fiunknownnce Chief, Bookmyshow)",2019,August,Consumer Internet,Bangalore,Karnataka,India
tala,Fintech,Santa Monica,913.0,Series D,Rps Ventures,2019,August,FinTech,Santa Monica,California,USA
