Company_Cleaned,Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month
agara labs,Deeptech,Bangalore,20.75,Pre-Series A,Blume Ventures And Rtp Global,2019,June
sistemabio,Agritech,Nairobi,22.73,Unknown,"Shell Foundation, Dila Capital, Engie Rde Fund, Ecoenterprise Fund, Edfimc (Electrifi), Endeavor Catalyst Fund, Cocapital, Triodos, Alpha Mundi, And Lendahand",2019,June
chakr innovation,Energy,Delhi,215.8,Series A,Ian Fund,2019,June
pratilipi,Digital Media,Bangalore,125.41,Series B,Qiming Venture Partners,2019,June
bolo app,Digital Media,Bangalore,3.57,Seed,Nexus Venture Partners,2019,June
okcredit,Fintech,Haryana,128.65,Series A,Tiger Global Maunknowngement,2019,June
biz2credit,Fintech,New York,431.6,Series B,Westbridge Capital,2019,June
vogo automotive,Transportation,Karnataka,29.75,Debt,Alteria Capital,2019,June
leegality,Technology,Mumbai,28.22,Series A,Mumbai Angels,2019,June
saahas zero waste,Waste Management,Bangalore,7.21,Other,C4D Partners,2019,May
black buck,Transport,Bangalore,1245.0,Series D,"Goldman Sachs Investment Partners And Silicon Valleyunknownbased Accel, Wellington, Sequoia Capital, B Capital, Lightstreet, Sands Capital And Interunknowntiounknownl Fiunknownnce Corporation",2019,May
zenoti,SaaS,Hyderabad,415.0,Series C,Tiger Global Maunknowngement,2019,May
ather energy,Automobile,Bangalore,423.3,Series C,Sachin Bansal,2019,May
freshvnf,Agtech,Mumbai,1162.0,Seed,Equanimity Ventures,2019,May
glowroad,Ecommerce,Bangalore,95.45,Series B,"Korea Investment Partners, Vertex Ventures",2019,May
bira91,Food,Delhi,46.48,Series B,Sixth Sense Ventures,2019,May
kuvera,Fintech,Bangalore,373.5,Series A,Eight Roads,2019,April
medlife,Ecommerce,Bangalore,141.1,Private Equity,Prasid Uno Family Trust,2019,April
kabadiwala,Ecommerce,Bhopal,3.57,Private Equity,"Unilever, Beehive Capital Advisor, Abcom Investments, Parekh Marine Transport",2019,April
tripoto,Social Media,Delhi,29.81,Series B,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (Formerly Idg Ventures), 3One4 Capital, Lasmer Nv",2019,April
azah,Healthcare,Gurgaon,1.66,Seed,Ununknownmed Angel Investors,2019,April
setu,Fintech,Bangalore,29.05,Seed,Lightspeed,2019,April
toppr,Edtech,Mumbai,52.46,Debt + Equity,Milestone,2019,April
craftsvilla,Ecommerce,Mumbai,20.28,Other,Supera Pte Ltd,2019,April
unacademy,Edtech,Bangalore,2.55,Other,Kalyan Krishunknownmurthy,2019,April
clevertap,SaaS,Mumbai,215.8,Series B,"Sequoia India, Tiger Global Maunknowngement, Accel",2019,April
my healthcare,Ecommerce,Bengaluru And Gurugram,24.9,Series A,Sixth Sense Ventures,2019,April
krazybee,Ecommerce,Bangalore,119.04,Debt,"Bac Acquisitions, Unifi Aif, Brd Securities, Northern R Capital",2019,April
shuttl,Transportation,Gurgaon,41.5,Venture,New Atlantic Ventures,2019,April
increff,Technology,Bangalore,24.9,Series A,"021 Capita, Binny Bansal",2019,April
zilingo,Ecommerce,India,1875.8,Series D,"Sequoia Capital And Temasek Holdings, Edbi, Burda Principal Investments, And Sofiunknown",2019,February
nanoclean global,Nanotechnology,Delhi,4.98,Series A,"Letsventure, Pitchright Venture, 91Springboard, Al Nour Interunknowntiounknownl Holdings And Mark V Investments",2019,February
oyorooms,Hospitality,Gurgaon,830.0,Other,Didi Chuxing,2018,February
car dekho,Automobile,Jaipur,913.0,Series C,"Sequoia India, Hillhouse Capital, Alphabet\\Xe2\\X80\\X99S Growth Investment Arm Capital G And Axis Bank",2019,January
vyome therapeutics,Healthcare,India,182.6,Series D,"Iron Pillar, Perceptive Advisors, Romulus Capital And Kalaari Capital",2019,January
samunnati financial,Fintech,Chennai,41.5,Debt,"Massif, A Dutch Government Fund",2019,January
manch,Social Media,Delhi,5.81,Seed,Stellaris Venture Partners,2018,December
urbanclap,Technology,Delhi,415.0,Series D,Steadview Capital And Vy Capital.,2018,December
guiddoo,Travel,Mumbai,6.64,Pre-Series A,Individual Investors,2018,December
career anna,Edtech,Gurgaon,4.75,Pre-Series A,Individual Investors,2018,December
nagpur wholesale,Online,Nagpur,1.19,Seed,Omphalos Ventures India Llp,2018,December
shop kirana,B2B,Indore,16.6,Seed,"Info Edge, Aet Fund, Akatsuki And Incubate Fund From Japan And Better Capital Angellist Syndicate.",2018,December
buildsupply,SaaS,Gurgaon,29.05,Series A,"Venture Highway, Gree Ventures, Space Matrix, Individual Investors",2018,December
godesi,Food,Bangalore,1.15,Other,Lead Angels Network,2018,November
veritas finance,Fintech,Chennai,230.73,Series D,"Norwest Venture Partners, Cdc Group, The Uk\\Xe2\\X80\\X99S Development Fiunknownnce Institution And P Surendra Pai",2018,November
meesho,Ecommerce,Bangalore,415.0,Series C,"Shunwei Capital, Dst Partners And Rps Ventures",2018,November
mobile premier league,Gaming,Bangalore,4.15,Series A,Unknown,2018,November
