Company_Cleaned,Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month
vymo,Technology,Bangalore,41.5,Private Equity,Sequoia India,2016,November
noddapp,Consumer Internet,Mumbai,1.22,Seed,Unknown Multiple Investors,2016,November
knowlarity,Consumer Internet,Bangalore,166.0,Private Equity,"Delta Partners, Sequoia India, \\Xc2\\Xa0 Mayfield, Blacksoil, Trifecta Capital",2016,November
infisecure,Technology,Mumbai,4.98,Seed,"Idg Ventures, Axilor Ventures",2016,November
udaan,Ecommerce,Bangalore,83.0,Private Equity,"Lightspeed Venture Partners India, Lightspeed Us",2016,November
sharechat,Consumer Internet,Mumbai,33.2,Private Equity,"Lightspeed, Saif Partners, India Quotient, Venture Highway",2016,November
kloseby,Consumer Internet,Bangalore,0.83,Seed,Unknown Investor,2016,November
wholesalebox,Ecommerce,Jaipur,16.6,Private Equity,"Manish Maheshwari, Contrarian Vriddhi Fund",2016,November
affordplan,Consumer Internet,Delhi,24.9,Private Equity,"Prime Venture Partners, Kalaari Capital",2016,November
handytrain,Consumer Internet,Goa,8.3,Private Equity,"Silver Range Investments, Lumiunknown Datamatics, Shun Yoshida, Others",2016,November
shopsup,Ecommerce,Bangalore,7.99,Seed,"Aunknownnd Sankeshwar, Yang Shu",2016,November
indofash,Ecommerce,Bangalore,1.25,Seed,"Shekhar Sahu, Nitesh Pant",2016,November
entropika,Technology,Bangalore,1.66,Seed,"Dileep Bhatt, Milind Chaudhary",2016,November
marianaiq,Technology,Bangalore,16.6,Private Equity,Exfinity Venture Partners,2016,November
chai thela,Food,Noida,1.81,Seed,Quarizon,2016,November
interviewpad,Technology,Pune,0.83,Seed,Krishunknown Rokhale,2016,November
math buddy,Consumer Internet,Vadodara,3.65,Seed,Menterra Social Impact Fund,2016,November
pulse,Consumer Internet,Bangalore,4.15,Private Equity,Saif Partners,2016,November
carcrewin,Consumer Internet,Mumbai,4.15,Seed,Tvs Group,2016,November
mystifly,Consumer Internet,Bangalore,41.5,Private Equity,Recruit Holdings,2016,October
uniphore,Technology,Chennai,16.6,Private Equity,"Idg Ventures, Indian Angel Network (Ian), Yournest Angel Fund",2016,October
world art community,Ecommerce,Gurgaon,1.66,Seed,"Viraj Tyagi, Others",2016,October
giftxoxo,Ecommerce,Bangalore,3.73,Private Equity,"Mahindra Holidays, Resorts India Ltd",2016,October
gifts portal,Ecommerce,Noida,16.6,Private Equity,"Naveen Arya, Tarun Joshi",2016,October
moglix,Ecommerce,Noida,34.86,Private Equity,"Accel, Jungle Ventures, Seedplus",2016,October
netlinx,Consumer Internet,Hyderabad,24.9,Private Equity,"Xchange Investors Nv, Transglobal Fzc",2016,October
remitr,Consumer Internet,Mumbai,8.3,Seed,"Vijay Shekhar Sharma, Pravin Gandhi, \\Xc2\\Xa0 Smart Start Fund; Kuunknownl Shah, \\Xc2\\Xa0 Sandeep Tandon, Vishal Gondal, Others",2016,October
innerchef,Consumer Internet,Gurgaon,20.75,Private Equity,"Mistletoe, M, S Partners",2016,October
appsdaily,Consumer Internet,Mumbai,31.12,Private Equity,"Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian Venture Capital Fund Ruunknownnet, Mumbai Angels",2016,October
ue lifesciences,Technology,Mumbai,9.96,Private Equity,"Kiran Mazumdarunknownshaw, Unitus Seed Fund",2016,October
realbox,Technology,Noida,2.49,Seed,Hyderabad Angels,2016,October
gozefo,Ecommerce,Bangalore,8.71,Private Equity,"Helion Venture Partners, Beenext",2016,October
rayiot,Technology,Bangalore,0.83,Seed,Hax Accelerator,2016,October
kooh sports,Technology,Mumbai,18.26,Private Equity,"Hdfc, Faering Capital, Elevate Sports",2016,October
flexiloans,Consumer Internet,Mumbai,124.5,Private Equity,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",2016,October
vithicom,Ecommerce,Delhi,3.11,Seed,Undisclosed Investor,2016,October
yupp tv,Consumer Internet,Bangalore,415.0,Private Equity,Emerald Media,2016,October
deyor camps,Consumer Internet,Gurgaon,4.15,Seed,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",2016,October
faballey,Ecommerce,Noida,16.6,Private Equity,"India Quotient, Fao Ventures, Indian Angel Network, Tushar Singh, Ranjan Sharma",2016,October
robovac,Technology,Ahmedabad,3.73,Seed,Virendra Patel,2016,October
newspatrolling,Consumer Internet,Delhi,0.21,Seed,Unknown,2016,October
postman,Consumer Internet,Bangalore,58.1,Private Equity,Nexus Venture Partners,2016,October
isfc,Fintech,Hyderabad,49.8,Private Equity,Gray Matters Capital,2016,October
dailyhunt,Consumer Internet,Bangalore,207.5,Private Equity,"Bytedance, Arun Sarin, Matrix Partners, Sequoia Capital, Omidyar Network, \\Xc2\\Xa0 Falcon Edge",2016,October
tazzo bikes,Consumer Internet,Hyderabad,1.88,Seed,Dsg Consumer Partners,2016,October
mykindofjob,Consumer Internet,Mumbai,8.3,Seed,"Mayank Shah, Shreyans Shah",2016,October
yumigo,Consumer Internet,Gurgaon,2.49,Seed,Hemant Sahni,2016,October
rentalpha,Other,Mumbai,132.8,Private Equity,Bravia Capital,2016,October
3dexter,Technology,Delhi,1.25,Seed,Newbie Promoters,2016,October
mysun,Technology,Noida,20.75,Private Equity,General Catalyst Partners,2016,October
furlenco,Consumer Internet,Bangalore,249.0,Private Equity,"Lightbox Ventures, Axis Capital, Others",2016,October
fisdom,Consumer Internet,Bangalore,9.13,Private Equity,"Saama Capital, Raghuunknownndan G, Aprameya Radhakrishunknown",2016,October
actofit,Technology,Mumbai,6.22,Private Equity,Next Orbit Ventures Fund,2016,October
chatongo,Consumer Internet,Mumbai,2.49,Seed,Jaunknownk Jain,2016,October
healthians,Consumer Internet,Gurgaon,24.9,Private Equity,Beenext,2016,October
box8,Consumer Internet,Mumbai,62.25,Private Equity,"Iifl Seed Ventures Fund, Mayfield Ventures",2016,October
kredx,Ecommerce,Bangalore,49.8,Private Equity,Sequoia Capital,2016,October
creditmate,Consumer Internet,Mumbai,4.15,Seed,India Quotient,2016,October
soopermo,Technology,Gurgaon,0.83,Seed,Lalit Vase,2016,October
orangetwig,Consumer Internet,Delhi,8.3,Seed,Unknown Investor,2016,October
the kettlery,Ecommerce,Ahmedabad,8.3,Private Equity,"Hooting Starts Sports Llp, Franchise India Brands",2016,October
idea bubbles,Consumer Internet,Bangalore,5.81,Private Equity,"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji, Co. Ltd.",2016,October
fr8,Technology,Chennai,8.06,Private Equity,Omnivore Partners,2016,October
ather energy,Technology,Bangalore,224.1,Private Equity,Hero Motocorp,2016,October
velmenni,Technology,Delhi,0.83,Seed,Kalaari Capital,2016,October
volta motors,Technology,Chennai,0.83,Seed,Kalaari Capital,2016,October
cyclops,Technology,Bangalore,0.83,Seed,Kalaari Capital,2016,October
impact analytics,Technology,Bangalore,6.22,Private Equity,"Aarin Capital, Michael Herzig, Ashish Lakhanpal",2016,October
talent next,Consumer Internet,Mumbai,8.3,Seed,"Karanpal Singh, Others",2016,October
mihup,Technology,Kolkata,55.61,Private Equity,Accel,2016,September
eshakti,Ecommerce,Chennai,11.21,Private Equity,"Infiunknown Fiunknownnce Pvt. Ltd, Uday Kotak",2016,September
cheersoye,Consumer Internet,Mumbai,4.15,Seed,Unknown Investors,2016,September
bigstylist,Consumer Internet,Mumbai,7.47,Private Equity,Info Edge (India) Ltd,2016,September
zilingo,Ecommerce,Bangalore,66.4,Private Equity,"Venturra Capital, Sequoia India, Susquehanunknown Interunknowntiounknownl Group.\\Xc2\\Xa0 Wavemaker Partners, Beenext, Beenos, Digital Garage",2016,September
alternacare,Consumer Internet,Delhi,4.15,Seed,Eros Labs,2016,September
simplilearn,Edtech,Bangalore,49.8,Private Equity,Innoven Capital India,2016,September
prozo,Ecommerce,Gurgaon,2.61,Seed,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki",2016,September
toprankers,Edtech,Bangalore,5.56,Seed,"Careernet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd",2016,September
buildtraders,Ecommerce,Bangalore,1.66,Seed,Idein Ventures,2016,September
byjuxe2x80x99s,Edtech,Bangalore,415.0,Private Equity,"Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofiunknown, Lightspeed Ventures",2016,September
cureinstant,Consumer Internet,Delhi,1.25,Seed,Dr. Rameshwar Kumar,2016,September
poshtic,Consumer Internet,Noida,3.73,Seed,"Havya Sharma, Amit Nagar",2016,September
purple style labs,Consumer Internet,Mumbai,3.72,Seed,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan",2016,September
inuxu,Technology,Pune,24.9,Private Equity,Fork Media,2016,September
nykaa,Ecommerce,Mumbai,102.09,Private Equity,"Sunil Munjal, Mariwala Family",2016,September
glam studios,Consumer Internet,Noida,2.49,Seed,"Pradeep Mirani, Aqeel Ahmed, Aunknownnd Ladsariya, Nitin Agarwal",2016,September
nearbuy,Consumer Internet,Gurgaon,20.75,Private Equity,Blacksoil Capital Pvt. Ltd.,2016,September
flocareer,Consumer Internet,Bangalore,1.25,Seed,"Balasubramanian Krishunknownmurthy, Sidhartha Hazarika, Others",2016,September
infeedo,Consumer Internet,Gurgaon,1.66,Seed,"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah, \\Xc2\\Xa0 Vivek Bhargava, Rahul Singh, Ambarish Gupta",2016,September
furlenco,Ecommerce,Bangalore,41.5,Private Equity,Lightbox Ventures And Others,2016,September
gopigeon,Consumer Internet,Bangalore,12.45,Private Equity,Nexus Venture Partners,2016,September
newsdistill,Consumer Internet,Hyderabad,0.83,Seed,"Ganesh Narasimhan, Ramaunknown Thumu, Sudhir Mallem",2016,September
doctorinsta,Consumer Internet,Gurgaon,8.3,Private Equity,Roundglass Partners,2016,September
milofy,Consumer Internet,Bangalore,6.22,Seed,Accel,2016,September
swiggy,Consumer Internet,Bangalore,124.5,Private Equity,Bessemer Venture Partners,2016,September
justlikenew,Ecommerce,Hyderabad,4.15,Seed,Letsventure,2016,September
life,Consumer Internet,Bangalore,8.3,Seed,Unknown Investors,2016,September
pepperfry,Ecommerce,Mumbai,259.79,Private Equity,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",2016,September
equickies,Ecommerce,Ahmedabad,2.47,Seed,Lothal Angel Ventures,2016,September
khel now,Consumer Internet,Delhi,2.9,Seed,Anglian Omega Network,2016,September
gadgetwood,Consumer Internet,Delhi,49.8,Private Equity,Carpediem Capital,2016,September
flixy games,Technology,Bangalore,3.53,Seed,Rebright Partners,2016,September
hashtaag,Technology,Bangalore,8.3,Seed,Unknown Investors,2016,September
pharmarack,Technology,Pune,6.18,Private Equity,"Currae Healthtech Fund, Unicorn India Ventures",2016,September
xc2xa0cloudcherry,Technology,Chennai,49.8,Private Equity,"Vertex Ventures, Cisco Ventures, Idg Ventures",2016,September
tinystep,Consumer Internet,Bangalore,13.11,Private Equity,Flipkart Logistics Pvt. Ltd,2016,September
beardo,Ecommerce,Ahmedabad,4.15,Seed,Venture Catalysts,2016,September
instacar,Consumer Internet,Indore,8.3,Seed,Swastika Co Ltd.,2016,September
celes care,Consumer Internet,Hyderabad,8.3,Seed,Endiya Partners,2016,September
druva,Technology,Pune,423.3,Private Equity,"Sequoia India, Edbi, Blue Cloud Ventures, Hercules Capital",2016,September
promon,Ecommerce,Delhi,1.49,Seed,Now Capital,2016,September
unocoin,Consumer Internet,Bangalore,12.45,Private Equity,"Blume Ventures, Mumbai Angels, Ah! Ventures, Digital Currency Group, Boost Vc, Bank To The Future And Funders Club",2016,September
zeta,Technology,Mumbai,157.7,Private Equity,Bhavin Turakhia,2016,September
healthkart,Ecommerce,Gurgaon,99.6,Private Equity,"Sequoia Capital, Omidyar Network, Kae Capital",2016,August
medinfi,Consumer Internet,Bangalore,1.66,Seed,"Mudit Saxeunknown, Evan Lim",2016,August
repaireasy,Consumer Internet,Pune,2.28,Seed,Unknown Hnis,2016,August
voonik,Ecommerce,Bangalore,24.9,Private Equity,Innoven Capital,2016,August
tokri,Consumer Internet,Pune,20.75,Private Equity,Syska Led Group,2016,August
sheroes,Consumer Internet,Noida,14.94,Private Equity,"Lumis Partners, The Hr Fund, Rajul Garg, Quintillion Media",2016,August
yumlane,Food,Mumbai,8.3,Seed,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kuunknownl Khattar, Dheerag Jain",2016,August
extracarbon,Consumer Internet,Gurgaon,1.87,Seed,Brand Capital,2016,August
flickbay,Consumer Internet,Mumbai,7.39,Seed,Paul Roy,2016,August
petoo,Consumer Internet,Bangalore,4.15,Seed,Existing Investors,2016,August
vst travels,Technology,Kerala,0.22,Seed,Promatus Group,2016,August
wefly indoor skydiving,Other,Mumbai,0.33,Seed,Swastika Company Ltd.,2016,August
mojarto,Ecommerce,Gurgaon,3.69,Seed,Unknown Investors,2016,August
zipgrid,Consumer Internet,Mumbai,1.66,Seed,1Crowd (Through Crowd Funding),2016,August
vebbler,Consumer Internet,Bangalore,4.15,Seed,"Anupam Mittal, Sharad Sharma, 14 Others",2016,August
bombay shaving,Ecommerce,Delhi,4.98,Seed,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam, Others",2016,August
travelyaari,Consumer Internet,Bangalore,58.1,Private Equity,"Gujarat Venture Fiunknownnce Limited (Gvfl), Bennett Coleman, Co. Ltd",2016,August
genextstudents,Consumer Internet,Mumbai,1.73,Seed,1Crowd (Through Crowdfunding),2016,August
zenoti,Technology,Hyderabad,124.5,Private Equity,"Norwest Venture Partners, Accel",2016,August
crofarm,Technology,Gurgaon,12.45,Private Equity,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta",2016,August
faircentcom,Consumer Internet,Gurgaon,12.45,Private Equity,Brand Capital,2016,August
innovaccer,Technology,Noida,129.48,Private Equity,Westbridge Capital Partners,2016,August
cuberoot,Technology,Gurgaon,4.15,Seed,Unknown Investors,2016,August
oyorooms,Consumer Internet,Delhi,514.6,Private Equity,SoftBank,2016,August
hike,Consumer Internet,Delhi,1452.5,Private Equity,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank, Bharti Enterprises",2016,August
joolz,Ecommerce,Mumbai,4.15,Private Equity,"Powerhouse Ventures, M, S Partners",2016,August
salebhai,Ecommerce,Ahmedabad,12.45,Private Equity,Brand Capital,2016,August
makkajai,Technology,Pune,2.08,Seed,"Aunknownnd Chandrasekaran, Aunknownnth Narayaunknownn, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",2016,August
maalgaadi,Logistics,Indore,3.11,Seed,"Swan Angel Network, Sachin Khandelwal And Others",2016,August
appknox,Technology,Bangalore,5.6,Private Equity,"Seedplus, Infocomm Investments, Accel Partners Rnt Associates",2016,August
quikr,Consumer Internet,Mumbai,166.0,Private Equity,Brand Capital,2016,August
digio,Technology,Bangalore,3.11,Private Equity,Rainmatter,2016,August
puro wellness,Healthcare,Mumbai,307.1,Private Equity,Torrent Group,2016,August
notesgen,Consumer Internet,Delhi,0.83,Seed,"Riju Gupta, Kamal Chabra",2016,August
octoai,Technology,Delhi,1.66,Seed,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",2016,August
unaacademy,Consumer Internet,Bangalore,8.3,Private Equity,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal, \\Xc2\\Xa0 Kuunknownl Shah, Sandeep Tandon, Ashish Tulsian",2016,August
advenio,Technology,Chandigarh,0.83,Seed,Kalaari Capital,2016,August
guarented,Ecommerce,Bangalore,4.15,Seed,Kalaari Capital,2016,August
uber dreams,Ecommerce,Mumbai,4.15,Seed,Mohit Lalvani,2016,August
convegenius,Edtech,Noida,7.47,Private Equity,Michael And Susan Dell Foundation,2016,August
urbanladder,Ecommerce,Mumbai,24.9,Private Equity,Trifecta Capital,2016,August
cult,Healthcare,Bangalore,24.9,Private Equity,Curefit,2016,August
zoomcar,Consumer Internet,Bangalore,199.2,Private Equity,Ford Smart Mobility Llc,2016,August
plix,Consumer Internet,Gurgaon,4.15,Seed,Instalabs,2016,August
mobikwik,Consumer Internet,Gurgaon,332.0,Private Equity,Net1 Ueps Technologies Inc,2016,August
mydidi,Consumer Internet,Mumbai,4.57,Seed,Unknown Ex Mckinsey Directors And Partners,2016,August
loantap,Consumer Internet,Mumbai,24.9,Private Equity,"Dr. Abhishek Pandey, Jaysukh Sapra",2016,August
runnr,Consumer Internet,Bangalore,58.1,Private Equity,"Nexus Venture Partners, Blume Ventures",2016,August
notion press,Consumer Internet,Chennai,8.3,Private Equity,Unknown Hni Investors,2016,August
livspace,Consumer Internet,Bangalore,124.5,Private Equity,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",2016,August
iaugmentor labs,Technology,Gurgaon,1.24,Seed,"Rajasthan Angel Investor Network, Others",2016,August
daybox,Consumer Internet,Delhi,0.86,Seed,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta, Others",2016,August
paytm,Ecommerce,Bangalore,498.0,Private Equity,Mediatek Inc.,2016,August
cropin,Technology,Bangalore,16.6,Private Equity,Sophia Investment Aps,2016,August
canvera,Consumer Internet,Bangalore,24.9,Private Equity,Info Edge (India) Ltd,2016,August
flyrobe,Ecommerce,Mumbai,43.99,Private Equity,"Idg Ventures, Sequoia Capital, Gree Ventures",2016,August
venture catalysts,Consumer Internet,Mumbai,4.15,Seed,Zaffiro Ventures,2016,July
playment,Consumer Internet,Bangalore,5.81,Private Equity,Saif Partners,2016,July
cure fit,Consumer Internet,Bangalore,124.5,Private Equity,"Accel, Idg Ventures, Kalaari Capital",2016,July
stitchwood,Ecommerce,Mumbai,1.66,Seed,Deepak Gupta,2016,July
grabin,Logistics,Mumbai,16.6,Private Equity,Aramex Ventures Llc,2016,July
neogrowth,Fintech,Mumbai,132.8,Private Equity,"Iifl Wealth Maunknowngement Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",2016,July
seedoc,Consumer Internet,Gurgaon,8.3,Private Equity,"Yournest Angel Fund\\Xc2\\Xa0, Others",2016,July
bookmyshow,Consumer Internet,Mumbai,680.6,Private Equity,"Stripes Group, Network 18, Accel, Saif Partners",2016,July
flyrobe,Ecommerce,Mumbai,14.11,Seed,"Sequoia Capital, Rohit Bansal, Kuunknownl Bahl, Sandeep Tandon, Kuunknownl Shah, Zishaan Hayath, \\Xc2\\Xa0 Abhishek Jain",2016,July
happilyunmarried,Ecommerce,Delhi,6.14,Private Equity,Info Edge (India) Ltd,2016,July
donxe2x80x99t scratch your head,Technology,Ahmedabad,2.08,Seed,"Gaurav Singhvi, Zaffiro Ventures",2016,July
wedding wishlist,Consumer Internet,Chennai,2.47,Seed,"Kirthiga Reddy, Renuka Ramaunknownth, Cherry Tin",2016,July
appdaily,Technology,Mumbai,16.6,Private Equity,"Kalaari Capital, Qualcomm Ventures, Ruunknownnet, Zodius Technology Opportunities Fund",2016,July
adytude,Consumer Internet,Delhi,8.3,Private Equity,Indian Angel Network,2016,July
holachef,Consumer Internet,Mumbai,16.18,Private Equity,"Kalaari Capital, India Quotient",2016,July
purplle,Ecommerce,Mumbai,49.8,Private Equity,"Jsw Ventures, Blume Ventures, Ivycap Ventures",2016,July
trak n tell,Technology,Gurgaon,29.05,Private Equity,Brian Acton,2016,July
overcartcom,Ecommerce,Gurgaon,24.9,Private Equity,"Jsw Ventures, Omidyar Network, Sattva Capital, Venture Works",2016,July
sirionlabs,Technology,Gurgaon,101.67,Private Equity,Sequoia Capital,2016,July
yaap,Consumer Internet,Delhi,41.5,Private Equity,Rainmaker Ventures,2016,July
twigly,Consumer Internet,Gurgaon,4.98,Seed,"Tracxn Labs, Hyderabad Angels, Kuunknownl Shah, Gaurav Bhalotia",2016,July
sharechat,Consumer Internet,Bangalore,11.21,Private Equity,"Saif Partners, India Quotient",2016,July
rentmojo,Consumer Internet,Bangalore,41.5,Private Equity,"Accel, Idg Ventures India",2016,July
augrav,Ecommerce,Coimbatore,3.73,Seed,Keiretsu Forum,2016,July
shoppinpal,Technology,Pune,8.88,Private Equity,"Plug And Play Tech Center, Steelhead Ventures, Others",2016,July
workapps,Technology,Pune,8.3,Seed,Sri Capital,2016,July
bankerbay,Consumer Internet,Bangalore,16.6,Private Equity,Undisclosed Investors,2016,July
tripshelf,Ecommerce,Delhi,2.08,Seed,Gems Group,2016,July
ridlr,Consumer Internet,Mumbai,49.8,Private Equity,"Times Internet, Innoven Capital, Matrix Partners, Qualcomm Ventures",2016,July
yellowdig,Consumer Internet,Pune,5.39,Seed,Sri Capital,2016,July
zuppler,Consumer Internet,Delhi,5.39,Seed,Sri Capital,2016,July
bluestone,Ecommerce,Mumbai,249.0,Private Equity,"Iifl And Accel Partners, Kalaari Capital, Ivycap Ventures, Rb Investments",2016,July
sagacito,Technology,Delhi,83.0,Private Equity,Star India Pvt. Ltd,2016,July
deal4loans wishfin,Consumer Internet,Noida,124.5,Private Equity,Franklin Templeton Interunknowntiounknownl Services Pvt. Ltd,2016,July
niyo,Technology,Bangalore,8.3,Private Equity,Prime Venture Partners,2016,July
applop,Consumer Internet,Gurgaon,2.08,Seed,Green House Ventures Accelerator,2016,July
tax2win,Consumer Internet,Jaipur,8.3,Private Equity,Unknown Investors,2016,July
truckola,Logistics,Mumbai,4.94,Seed,"Abhishek Agarwal, Krishunknownkumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak And Nihit Agarwal, Suramya Gupta",2016,July
mytaxiindia,Consumer Internet,Delhi,8.3,Private Equity,Nihon Kotsu Co,2016,July
wiwigo,Consumer Internet,Bangalore,4.94,Seed,Indian Angel Network,2016,July
atomberg,Technology,Mumbai,8.3,Private Equity,Parampara Capital,2016,June
limo,Consumer Internet,Mumbai,8.3,Private Equity,Rainmaker Ventures,2016,June
gogo truck,Consumer Internet,Chennai,0.62,Seed,Unknown Investor,2016,June
vyome biosciences,Healthcare,Delhi,16.6,Private Equity,Romulus Capital,2016,June
sillymonks,Consumer Internet,Hyderabad,3.72,Seed,Sreenivasa Reddy Musani,2016,June
cuemath,Edtech,Bangalore,33.2,Private Equity,"Sequoia Capital, Unitus Seed Fund",2016,June
krazybee,Consumer Internet,Bangalore,16.6,Private Equity,"Yeahmobi, Fenqile",2016,June
intgrea,Technology,Bangalore,0.83,Seed,Unknown Investor,2016,June
helpshift,Technology,Pune,190.9,Private Equity,"Microsoft Ventures, Salesforce Ventures",2016,June
creditvidya,Technology,Mumbai,8.3,Private Equity,Kalaari Capital,2016,June
grey campus,Consumer Internet,Hyderabad,8.3,Seed,Sarath Sura,2016,June
listup,Ecommerce,Mumbai,4.15,Seed,"Kae Capital, Kuunknownl Shah, Sandeep Tandon",2016,June
6degree,Technology,Mumbai,1.66,Seed,Indian Angel Network,2016,June
storeking,Ecommerce,Bangalore,132.8,Private Equity,Axiata Digital,2016,June
myseniordoctor,Consumer Internet,Gurgaon,1.66,Seed,Blackjag Partners,2016,June
epaylater,Technology,Mumbai,16.6,Seed,3 Undisclosed Hnis,2016,June
paytunes,Consumer Internet,Delhi,4.15,Private Equity,"Cio Angel Network, Indian Angel Network",2016,June
bombay shirt,Ecommerce,Mumbai,8.3,Private Equity,Undisclosed Investor,2016,June
matrubharti,Consumer Internet,Unknown,0.25,Seed,Viridian Capital,2016,June
jivox,Technology,Bangalore,49.8,Private Equity,"You, Mr Jones, Fortisure Ventures, Diaz Nesamoney",2016,June
sminq,Consumer Internet,Pune,8.3,Seed,"Saama Capital, Blume Ventures, Vaibhav Domkundwar",2016,June
curejoy,Consumer Internet,Bangalore,36.52,Private Equity,Accel Partners India,2016,June
onewaycab,Consumer Internet,Vadodara,3.73,Seed,Indian Angel Network,2016,June
diro labs,Consumer Internet,Delhi,3.73,Private Equity,Info Edge (India) Ltd,2016,June
unnati helpers,Consumer Internet,Gurgaon,4.98,Private Equity,Info Edge (India) Ltd,2016,June
voonik,Ecommerce,Bangalore,166.0,Private Equity,Sequoia Capital,2016,June
cleartax,Consumer Internet,Delhi,99.6,Private Equity,"Ravi Adusumalli, Saif Partners",2016,June
silvan innovation labs,Technology,Bangalore,7.47,Private Equity,Infuse Ventures,2016,June
greythr,Technology,Bangalore,43.16,Private Equity,"New Enterprise Associates (Nea), Blume Ventures",2016,June
onspoon,Consumer Internet,Mumbai,1.25,Seed,Swan Angel Network,2016,June
celerix,Technology,Bangalore,3.32,Seed,Bitkemy Ventures,2016,June
naturenama,Consumer Internet,Mumbai,1.87,Seed,Unicorn Venture,2016,June
syona cosmetics,Fmcg,Chennai,1.25,Seed,The Chenunknowni Angels,2016,June
prettysecrets,Ecommerce,Mumbai,49.8,Private Equity,"Rb Investments Pte Ltd, Orios Venture Partners",2016,June
spiderg,Consumer Internet,Pune,1.25,Seed,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravaunknownn, Pravin Dongre, Mahendra Doshi",2016,June
fareye,Technology,Delhi,29.05,Private Equity,Saif Partners,2016,June
the uolo,Consumer Internet,Bangalore,1.74,Seed,"Purvi Ventures, Rajul Garg, Vipin Arora",2016,June
drivify,Consumer Internet,Mumbai,0.41,Seed,"Jitendra Gupta, Pankaj Tripathi",2016,June
parablu,Technology,Bangalore,4.15,Seed,Kalaari Capital,2016,June
schedulers logistics,Logistics,Mumbai,49.8,Private Equity,Gvfl,2016,June
leap,Other,Mumbai,24.9,Private Equity,Mayfield Ventures,2016,June
kabadiexpress,Other,Delhi,1.23,Seed,Unknown Investor,2016,June
yourdost,Consumer Internet,Bangalore,9.96,Seed,"Saif Partners, Aprameya Radhakrishunknownn, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia",2016,June
gomalon,Consumer Internet,Bangalore,0.83,Seed,Unknown Investor,2016,June
travelyaari,Consumer Internet,Bangalore,24.9,Private Equity,Gvfl Ltd,2016,June
fab hotels,Consumer Internet,Gurgaon,66.4,Private Equity,"Accel, Rb Investments",2016,June
locanix,Technology,Ahmedabad,2.49,Seed,Unknown Investors,2016,June
lendingkart,Consumer Internet,Ahmedabad,265.6,Private Equity,"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient",2016,June
hello tax,Consumer Internet,Delhi,2.45,Seed,Sanjeev Sinha,2016,June
letreach,Ecommerce,Delhi,0.83,Private Equity,Vcommission,2016,June
trendieapp,Technology,Kolkata,0.41,Seed,Harsh Vardhan Hada,2016,June
velvetcase,Ecommerce,Mumbai,12.45,Private Equity,"Uniqorn Ventures Fund, Tv Mohandas Pai, S Somasegar",2016,June
meru cabs,Consumer Internet,Mumbai,207.5,Private Equity,Brand Capital,2016,June
campus diaries,Consumer Internet,Bangalore,1.83,Seed,Aarin Capital,2016,June
biryani blues,Food,Gurgaon,3.05,Private Equity,"Carpediem Capital, Others",2016,June
get my parking,Technology,Delhi,3.12,Seed,The Chenunknowni Angels,2016,May
prescribez,Consumer Internet,Pune,1.2,Seed,Ankush Mehta,2016,May
mobikwik,Consumer Internet,Gurgaon,415.0,Private Equity,"Gmo Payment Gateway, Mediatek",2016,May
zwayam,Consumer Internet,Bangalore,2.08,Seed,Unknown Investors,2016,May
zuver,Consumer Internet,Mumbai,1.49,Seed,"Shruth, Smith Group, Hermes Group",2016,May
easyroads,Consumer Internet,Mumbai,1.66,Seed,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Praunknownv Dedhia",2016,May
