Investor,Total_Invested,Num_Investments,Last_Date,Top_Sub_Sectors,Top_Stages,Top_Cities,Avg_HHI,Avg_Unique_Leads,Last_Investment
Multiples,84116.15,32,2022-04-28,"Fintech, Edtech, Ecommerce","Unknown, Series D","Bangalore, Gurgaon, Mumbai",0.98,1.03,2022-04-28
Tiger Global,63193.06,61,2025-02-24,"Fintech, Other, Edtech","Private Equity, Series C, Series A","Bangalore, Mumbai, Gurgaon",0.62,2.18,2025-02-24
Unknown,49270.95,202,2025-10-22,"Fintech, Ecommerce, Healthcare","Unknown, Seed, Pre-Series A","Mumbai, Bangalore, Delhi",1.0,1.0,2025-10-22
Sequoia Capital,48454.24,122,2022-03-11,"Consumer Internet, Ecommerce, Fintech","Private Equity, Series A, Unknown","Bangalore, Mumbai, Gurgaon",0.51,2.53,2022-03-11
Softbank,48075.53,16,2024-09-26,"Consumer Internet, Ecommerce, Automotive","Private Equity, Unknown, Series B","Gurgaon, Bangalore, Delhi",0.57,2.5,2024-09-26
Tiger Global Maunknowngement,28986.92,29,2021-12-26,"Fintech, Edtech, Ecommerce","Private Equity, Unknown, Series D","Bangalore, Gurgaon, Delhi",0.54,2.26,2021-12-26
Accel,28472.46,125,2025-10-25,"Consumer Internet, Ecommerce, Fintech","Private Equity, Series A, Seed","Bangalore, Gurgaon, Mumbai",0.5,2.62,2025-10-25
Dst Global,25489.3,11,2021-11-06,"Fintech, Edtech, Automotive","Series A, Private Equity, Unknown","Bangalore, Gurgaon, Mumbai",0.48,2.91,2021-11-06
Falcon Edge,18755.09,9,2021-11-27,"Fintech, Automotive, Consumer Internet","Unknown, Private Equity, Series F","Bangalore, Gurgaon, Mumbai",0.47,2.5,2021-11-27
Falcon Edge Capital,16961.05,10,2021-11-25,"Ecommerce, D2C, Clothing","Private Equity, Series A, Unknown","Bangalore, Jaipur, Nan",0.39,3.0,2021-11-25
General Atlantic,16210.73,8,2022-01-15,"Edtech, Ecommerce, Real Estate","Unknown, Series D, Series C","Bangalore, Mumbai",0.62,2.3,2022-01-15
Owl Ventures,15023.0,6,2025-02-14,"Edtech, Global Workforce Mobility, Fintech","Unknown, Other, Series C","Bangalore, Mumbai, Gurgaon",0.58,2.11,2025-02-14
Nexus Venture Partners,14405.72,52,2025-09-21,"Consumer Internet, Healthcare, Edtech","Private Equity, Series A, Seed","Bangalore, Mumbai, Nan",0.57,2.36,2025-09-21
Others,14067.01,116,2025-01-24,"Consumer Internet, Technology, Healthcare","Seed, Private Equity, Other","Bangalore, Mumbai, Delhi",0.33,3.53,2025-01-24
Westbridge Capital,13399.67,24,2025-10-12,"Edtech, Fintech, Biketaxi Aggregator","Series B, Unknown, Series C","Bangalore, Mumbai, Nan",0.76,1.74,2025-10-12
Steadview Capital,12873.61,15,2025-08-02,"Fintech, Ecommerce, Edtech","Unknown, Private Equity, Debt","Bangalore, Mumbai, Delhi",0.52,2.71,2025-08-02
Lightspeed,12596.65,39,2025-06-23,"Consumer Internet, Fintech, Technology","Private Equity, Seed, Series A","Bangalore, Mumbai, Gurgaon",0.49,2.66,2025-06-23
Matrix Partners,10894.24,43,2025-02-16,"Fintech, Consumer Internet, Other","Private Equity, Series A, Seed","Bangalore, Nan, Mumbai",0.52,2.48,2025-02-16
General Catalyst,10089.48,20,2025-10-15,"Fintech, Healthcare, Media & Entertainment","Seed, Series A, Series B","Bangalore, Gurgaon, Hyderabad",0.52,2.33,2025-10-15
Baillie Gifford,9810.6,4,2024-12-10,"Food Devlivery, Car Aggregator & Retail Mobile, Media","Unknown, Private Equity, Other","Bangalore, Nan",0.4,3.0,2024-12-10
Alibaba,9213.0,5,2020-01-24,"Ecommerce, Consumer Internet, Other","Private Equity, Unknown","Bangalore, Nan, Delhi",0.72,2.0,2020-01-24
Bertelsmann India Investments,9048.98,11,2025-09-12,"Fintech, Ecommerce, Consumer Internet","Private Equity, Unknown, Series B","Delhi, Gurgaon, Ahmedabad",0.44,3.18,2025-09-12
Temasek,8922.14,11,2025-07-10,"Food, Car Trade, Dairy Products","Unknown, Private Equity, Series H","Mumbai, Gurgaon, Bangalore",0.54,2.18,2025-07-10
Vijay Shekhar Sharma,8717.5,13,2024-09-05,"Consumer Internet, Edtech, Ecommerce","Seed, Private Equity, Unspecified Round","Bangalore, Delhi, Noida",0.37,4.23,2024-09-05
Glade Brook Capital Partners,8499.2,2,2024-12-22,"Spacetech, Innovation Management","Other, Series H",Bangalore,0.33,4.0,2024-12-22
Flipkart,8450.65,10,2020-12-27,"Consumer Internet, Logistics, Fintech","Private Equity, Unknown, Seed","Bangalore, Delhi, Mumbai",0.56,2.62,2020-12-27
Saif Partners,8430.71,41,2021-06-27,"Consumer Internet, Ecommerce, Other","Private Equity, Seed, Unknown","Bangalore, Delhi, Mumbai",0.5,2.68,2021-06-27
Caunknownan Valley Capital,8300.0,1,2021-02-17,Innovation Management,Series H,Bangalore,0.5,2.0,2021-02-17
Norwest Venture Partners,8233.67,23,2025-06-16,"Technology, Fintech, Consumer Internet","Private Equity, Unknown, Series F","Bangalore, Chennai, Nan",0.53,2.56,2025-06-16
1Crowd And 1Fund,7977.13,1,2022-06-19,Logistics,Unknown,Mumbai,1.0,1.0,2022-06-19
B Capital,7914.05,5,2025-05-09,"Automotive And Rentals, Consumer Internet, Transport","Series D, Private Equity, Series A","Bangalore, Mumbai",0.42,2.83,2025-05-09
Schroder Adveq And Temasek Holdings,7698.25,1,2022-06-15,Eyewear,Series I,Delhi,1.0,1.0,2022-06-15
Peak Xv Partners,7665.19,21,2025-10-04,"Fintech, Ecommerce, Ai","Series A, Series C, Series B","Bangalore, Nan, Mumbai",0.55,3.05,2025-10-04
Think Investments,7619.4,8,2025-06-22,"Healthcare, Furniture, Fintech","Series B, Unknown, Series A","Mumbai, Bangalore, Gurgaon",0.43,2.89,2025-06-22
Kohlberg Kravis Roberts,7428.5,2,2021-05-16,"Fashion, Ecommerce",Unknown,"Delhi, Mumbai",0.5,2.0,2021-05-16
Altimeter Capital,7403.6,4,2019-11-27,"Saas, Technology, Doctor Appointment Booking","Private Equity, Series C, Series D","Bangalore, San Jose, Mumbai",0.41,3.25,2019-11-27
Hindustan Media Venture,7254.2,2,2021-07-14,"Hospitality, Fintech","Unknown, Series F",Gurgaon,0.75,1.5,2021-07-14
Bessemer Venture Partners,7228.0,23,2025-09-12,"Consumer Internet, Ecommerce, Technology","Private Equity, Series B, Unknown","Bangalore, Gurgaon, Mumbai",0.62,2.25,2025-09-12
Tpg Growth,7180.74,5,2022-02-17,"Consumer Internet, Other, Ecommerce","Private Equity, Series F, Series E","Mumbai, Nan, Delhi",0.33,3.33,2022-02-17
Blume Ventures,7111.34,75,2025-09-20,"Consumer Internet, Technology, Ecommerce","Private Equity, Seed, Pre-Series A","Bangalore, Mumbai, Delhi",0.47,2.99,2025-09-20
Kalaari Capital,7021.31,63,2025-10-10,"Technology, Ecommerce, Consumer Internet","Private Equity, Seed, Series A","Bangalore, Mumbai, Nan",0.58,2.29,2025-10-10
Fidelity,6976.98,3,2021-09-24,"Logistics, Social Commerce, Information Technology","Unknown, Series H","Gurgaon, Bangalore, Noida",0.5,2.0,2021-09-24
D1 Capital,6972.0,1,2021-11-06,Sports,Unknown,Mumbai,0.2,5.0,2021-11-06
Redbird Capital,6972.0,1,2021-11-06,Sports,Unknown,Mumbai,0.2,5.0,2021-11-06
Premji Invest,6931.3,10,2025-10-20,"Fintech, Ecommerce, Technology","Series B, Series C, Private Equity","Bangalore, Mumbai, Nan",0.52,2.58,2025-10-20
Ant Fiunknownncial,6913.9,3,2020-01-19,"Adtech, Ecommerce, Food","Unknown, Private Equity","Bangalore, Delhi, Nan",0.83,1.33,2020-01-19
Posh Vine,6775.29,1,2022-09-16,Fintech,Unknown,Bangalore,1.0,1.0,2022-09-16
Insight Partners,6732.96,5,2022-03-23,"Fintech, Software Development, Technology","Series B, Debt, Series D","Delhi, Bangalore, Chennai",0.58,2.0,2022-03-23
Tiger Global Maunknowngement And Sofiunknown,6652.45,1,2022-06-01,Fintech,Series F,Bangalore,1.0,1.0,2022-06-01
Sequoia India,6644.86,28,2020-08-02,"Fintech, Ecommerce, Technology","Private Equity, Series B, Series A","Bangalore, Mumbai, Nan",0.49,2.97,2020-08-02
Carmigunknownc,6640.0,1,2021-04-15,Food,Unknown,Bangalore,0.5,2.0,2021-04-15
Softbank Vision Fund 2,6640.0,5,2022-03-23,"Automotive, Software Development, Fintech","Series C, Series F, Series D","Bangalore, Gurgaon, Nan",0.6,2.2,2022-03-23
Alibaba Group,6474.0,2,2020-11-14,Ecommerce,"Private Equity, Unknown","Delhi, Pune",0.5,2.0,2020-11-14
Goldman Sachs,6124.74,10,2022-02-01,"Consumer Internet, Hospitality, Other","Private Equity, Unknown, Series E","Gurgaon, Bangalore, Delhi",0.58,2.0,2022-02-01
Sbi Pension,6000.0,1,2024-12-04,Real Estate,Other,Mumbai,0.5,2.0,2024-12-04
Singapore Sovereign Wealth Firm Gic,6000.0,1,2024-12-04,Real Estate,Other,Mumbai,0.5,2.0,2024-12-04
Kora,5909.6,1,2020-12-07,Food,Unknown,Gurgaon,0.5,2.0,2020-12-07
Gvfl And We Founder Circle,5848.18,1,2022-12-18,Industry,Seed,Surat,1.0,1.0,2022-12-18
Uc Inclusive Credit And Hinduja Leyland Fiunknownnce,5824.94,1,2022-06-21,Fintech,Unknown,Mumbai,1.0,1.0,2022-06-21
Avendus Fiunknownnce,5823.28,2,2020-01-13,"Hospitality, Edtech","Unknown, Debt","Gurgaon, Mumbai",0.67,2.0,2020-01-13
Steadview Capital And Existing Investors,5810.0,1,2015-07-11,Online,Private Equity,Bangalore,1.0,1.0,2015-07-11
Invesco,5810.0,1,2022-01-09,Food,Unknown,Bangalore,1.0,1.0,2022-01-09
Mypreferred Transformation,5751.9,1,2020-01-13,Hospitality,Unknown,Gurgaon,0.33,3.0,2020-01-13
March Capital,5673.05,5,2025-01-01,"Consumer Internet, Car Trade, Logistics","Series C, Private Equity, Series H","Mumbai, Chennai, Delhi",0.44,2.83,2025-01-01
Epiq Capital,5670.75,4,2025-06-13,"Edtech, Fintech, Jewelry","Unknown, Unspecified Round, Series B","Bangalore, Hyderabad, Chennai",0.48,2.6,2025-06-13
Cdc Group,5351.86,9,2021-11-25,"Logistics, Fintech, Renewable Player","Unknown, Series C, Series A","Mumbai, Bangalore, Gurgaon",0.61,2.0,2021-11-25
Angellist Talent And Sahil Mahaldar,5308.68,1,2022-06-14,Edtech,Seed,Gurgaon,1.0,1.0,2022-06-14
Kaizenvest And Ets Global,5244.77,1,2022-07-24,Edtech,Unknown,Mumbai,1.0,1.0,2022-07-24
Tradecred,5187.5,3,2021-10-15,"Wine & Spirits, Lifestyle, Mechanical Or Industrial Engineering",Unknown,"Bangalore, Delhi",0.75,2.0,2021-10-15
Kkr,4980.15,2,2025-06-08,"Education Healthcare, Multinational Conglomerate","Debt, Unknown","Nan, Mumbai",0.62,2.5,2025-06-08
Letsventure And Lc Nueva Investment Partners,4970.04,1,2022-08-23,Internet,Series A,Gurgaon,1.0,1.0,2022-08-23
Vy Capital,4934.35,7,2021-07-22,"Consumer Internet, Home, Internet","Private Equity, Unknown, Series C","Gurgaon, Delhi, Noida",0.53,2.5,2021-07-22
Gic,4921.9,5,2021-07-10,"Ecommerce, Logistics, It","Unknown, Series H, Series E","Gurgaon, Bangalore, Mumbai",0.47,2.2,2021-07-10
Chryscapital,4863.8,4,2024-11-24,"Fintech, Healthcare, Business And It Consulting","Private Equity, Unspecified Round, Series D","Bangalore, Gurgaon, Delhi",0.61,2.4,2024-11-24
Tencent Holdings,4797.5,6,2021-02-10,"Consumer Internet, Entertainment, Ecommerce","Private Equity, Unknown, Series B","Bangalore, Gurgaon, Mumbai",0.5,2.43,2021-02-10
Creaegis,4724.5,6,2025-06-13,"Healthcare, Ecommerce, D2C Jewellery","Series C, Series B, Unknown","Bangalore, Mumbai, Pune",0.42,3.0,2025-06-13
Jungle Ventures,4651.15,24,2025-09-21,"Ecommerce, Fintech, Consumer Internet","Private Equity, Series B, Seed","Bangalore, Mumbai, Noida",0.56,2.54,2025-09-21
Nvs Wealth Maunknowngers,4565.0,1,2022-01-14,Healthcare,Series A,Bangalore,1.0,1.0,2022-01-14
South Africa’S Naspers Ventures,4482.0,1,2020-01-22,Edtech,Unknown,Nan,0.5,2.0,2020-01-22
The Cpp Investment Board,4482.0,1,2020-01-22,Edtech,Unknown,Nan,0.5,2.0,2020-01-22
Greenoaks Capital,4465.4,5,2021-06-26,"Consumer Internet, Fintech, Travel & Saas","Private Equity, Series B, Series A","Bangalore, Nan, Delhi",0.32,3.57,2021-06-26
Didi Kuaidi,4399.0,1,2015-11-01,"Cab Booking, Car Aggregator & Retail Mobile",Private Equity,Bangalore,0.58,3.5,2015-11-01
Bessemer Venture Partners And Siddharth Sikchi,4399.0,1,2022-04-08,Healthcare,Unknown,Mumbai,1.0,1.0,2022-04-08
Elevation Capital,4307.6,36,2025-10-22,"Fintech, Edtech, Solar","Series A, Seed, Series B","Bangalore, Gurgaon, Mumbai",0.63,2.12,2025-10-22
Foxconn,4224.7,2,2015-11-19,Ecommerce,Private Equity,"Bangalore, Delhi",0.29,3.5,2015-11-19
Venture Catalysts And Znl Growth,4212.25,1,2022-10-16,Information Technology,Seed,Bangalore,1.0,1.0,2022-10-16
Warburg Pincus,4199.8,6,2022-03-05,"Logistics, Electronics, Cloud Software","Private Equity, Unknown","Delhi, Mumbai, Bangalore",0.67,1.86,2022-03-05
Mars Growth Global,4150.0,1,2025-01-28,Ecommerce,Unspecified Round,Bangalore,0.2,5.0,2025-01-28
Tiga Investments,4150.0,1,2021-06-27,Edtech,Unknown,Bangalore,0.5,2.0,2021-06-27
Baron Capital,4150.0,1,2021-06-27,Edtech,Unknown,Bangalore,0.5,2.0,2021-06-27
Edelweiss,4150.0,2,2022-01-11,"Edtech, Automotive",Unknown,Bangalore,0.33,3.0,2022-01-11
Marquee Interunknowntiounknownl Institutiounknownl Investors,4150.0,1,2021-12-20,Mobility,Unknown,Bangalore,1.0,1.0,2021-12-20
Pawan Munjal,4150.0,1,2021-04-17,Social Media,Unknown,Bangalore,0.5,2.0,2021-04-17
Twitter Ventures,4150.0,1,2021-04-17,Social Media,Unknown,Bangalore,0.5,2.0,2021-04-17
B Capital Group,4125.1,4,2025-01-19,"Fintech, Technology, Healthcare","Series B, Private Equity, Other","Bangalore, Chennai, Pune",0.43,3.75,2025-01-19
Ascent Capital,4100.2,5,2021-11-25,"Ecommerce, Consumer Internet, Payments Solution","Private Equity, Series C, Unknown","Bangalore, Mumbai, Pune",0.5,2.5,2021-11-25
Lightrock India,3975.7,9,2022-03-01,"Edtech, Agritech, Biotechnology","Series C, Unknown, Series B","Bangalore, Noida, Mumbai",0.74,1.67,2022-03-01
Dragoneer Investment Group,3959.31,5,2022-03-03,"Fintech, Technology, Edtech","Series D, Unknown, Series B","Bangalore, Chennai, Gurgaon",0.38,2.8,2022-03-03
Innoven Capital,3936.98,24,2024-08-26,"Ecommerce, Consumer Internet, Fintech","Private Equity, Debt, Unknown","Mumbai, Bangalore, Gurgaon",0.64,1.89,2024-08-26
Helion Venture Partners,3910.87,14,2018-02-08,"Other, Ecommerce, Big Data & Analytics",Private Equity,"Bangalore, Nan, Gurgaon",0.43,2.93,2018-02-08
Blackrock,3822.98,2,2021-07-24,"Edtech, Information Technology","Series F, Unknown","Bangalore, Noida",0.5,2.0,2021-07-24
Siguler Guff,3735.0,1,2021-08-05,Media,Unknown,Bangalore,0.5,2.0,2021-08-05
Bennett Coleman And Company Ltd (Bccl),3735.0,1,2019-09-23,Healthcare,Series C,Menlo Park,1.0,1.0,2019-09-23
Prosus,3584.11,6,2025-08-08,"Edtech, Ai, Supplychain Financing","Unknown, Series E, Pre-Series A","Mumbai, Bangalore, Indore",0.62,2.29,2025-08-08
Times Internet,3540.33,11,2020-08-16,"Entertainment, Consumer Internet, Visual Blogging","Private Equity, Unknown, Seed","Gurgaon, Bangalore, Delhi",0.45,2.58,2020-08-16
Faering Capital,3479.36,6,2024-08-02,"Fintech, Food, Sports Education","Unknown, Private Equity, Venture","Bangalore, Mumbai, Jaipur",0.51,2.5,2024-08-02
. Trifecta Capital Advisors And Trifecta Capital Advisors,3353.2,1,2022-12-25,Food,Unknown,Chennai,1.0,1.0,2022-12-25
D1 Capital Partners,3320.0,1,2021-03-22,Gaming,Unknown,Mumbai,0.33,3.0,2021-03-22
Tcv,3320.0,1,2021-03-22,Gaming,Unknown,Mumbai,0.33,3.0,2021-03-22
Cicc Alpha,3320.0,1,2020-10-03,Edtech,Unknown,Shanghai,0.5,2.0,2020-10-03
Vms Asset Maunknowngement,3320.0,1,2020-10-03,Edtech,Unknown,Shanghai,0.5,2.0,2020-10-03
Falcon Edge.,3320.0,1,2021-03-22,Gaming,Unknown,Mumbai,0.33,3.0,2021-03-22
Dragon Fund,3320.0,2,2024-12-19,"Digital Automotive, Quick Commerce",Other,"Nan, Mumbai",0.42,2.5,2024-12-19
Sofiunknown,3278.5,6,2025-02-16,"Beverage, Consumer Internet, Edtech","Private Equity, Series C, Series D","Bangalore, Gurgaon, Mumbai",0.35,3.57,2025-02-16
Eight Roads Ventures,3275.2,17,2024-10-04,"Healthcare, Technology, Logistics","Private Equity, Unknown, Series A","Bangalore, Mumbai, Hyderabad",0.57,2.48,2024-10-04
Flipkart Marketplace Private Limited In Singapore,3249.0,1,2025-04-01,Technology,Unknown,Bangalore,1.0,1.0,2025-04-01
Alkeon Capital,3245.3,2,2021-12-07,"Software, Social Media","Series B, Series G","Ahmedabad, Bangalore",1.0,1.0,2021-12-07
Niif Ltd,3237.0,1,2020-12-21,Renewable Player,Unknown,Bangalore,0.5,2.0,2020-12-21
Beenext,3218.02,36,2025-10-24,"Fintech, Consumer Internet, Ecommerce","Private Equity, Seed, Series A","Bangalore, Delhi, Gurgaon",0.5,2.71,2025-10-24
Stellaris Venture Partners,3209.24,26,2025-09-19,"Consumer Internet, Healthcare, Fintech","Seed, Private Equity, Unknown","Bangalore, Mumbai, Delhi",0.59,2.35,2025-09-19
Hero Motocorp,3171.5,3,2025-05-19,"Technology, Automobile, Ev","Private Equity, Series C, Series D","Bangalore, Delhi",0.88,1.25,2025-05-19
Goodwater Capital,3159.75,4,2025-10-03,"Fintech, Audio Ott, Regional Ott","Unknown, Series C, Series B","Bangalore, Indore, Nan",0.56,2.25,2025-10-03
Mankind Pharma Family Office,3137.4,2,2024-11-16,"Consumer Electronics, Quick Commerce","Unknown, Unspecified Round",Mumbai,0.25,4.5,2024-11-16
Hero Enterprise,3129.1,4,2024-09-26,"Agritech, Luxury Goods & Jewelry, Saas","Series D, Unknown, Other","Bangalore, Pune, Gurgaon",0.68,2.25,2024-09-26
Y Combiunknowntor,3033.37,34,2025-06-15,"Fintech, Technology, Hr","Seed, Unknown, Pre-Series A","Bangalore, Mumbai, Nan",0.57,2.49,2025-06-15
Prosus Ventures,3022.2,5,2025-02-24,"Logistics, Seafood Supply, Agritech","Series B, Series C, Ipo","Bangalore, Patna, Hyderabad",0.38,3.43,2025-02-24
Iconiq Capital,2946.5,3,2021-10-13,"Saas, Healthcare, Automation","Series C, Series B","Hyderabad, Chennai, Bangalore",0.78,1.67,2021-10-13
Motilal Oswal Private Wealth,2905.0,1,2024-11-16,Quick Commerce,Unspecified Round,Mumbai,0.17,6.0,2024-11-16
Cpp Investments,2905.0,1,2022-03-05,Edtech,Unknown,Mumbai,1.0,1.0,2022-03-05
Caisse De Depot Et Placement Du Quebec,2905.0,1,2021-04-22,Healthcare,Series E,Mumbai,0.5,2.0,2021-04-22
Taparia Family Office,2905.0,1,2024-11-16,Quick Commerce,Unspecified Round,Mumbai,0.17,6.0,2024-11-16
Qatar Investment Authority,2905.0,2,2025-04-04,"Cloud Kitchen, Edtech","Private Equity, Series F, Series G","Mumbai, Bangalore",1.0,1.0,2025-04-04
Raamdeo Agarwal,2905.0,1,2024-11-16,Quick Commerce,Unspecified Round,Mumbai,0.17,6.0,2024-11-16
Celebrity Investors,2905.0,1,2024-11-16,Quick Commerce,Unspecified Round,Mumbai,0.17,6.0,2024-11-16
Venture Highway,2905.0,12,2025-06-01,"Ecommerce, Fintech, Edtech","Series A, Seed, Private Equity","Bangalore, Gurgaon, Noida",0.46,2.85,2025-06-01
New Enterprise Associates,2839.43,5,2025-10-23,"Fitness Tracking Management, Data Analytics, Sales & Productivity Software","Private Equity, Series F","Mumbai, Pune, Nan",0.64,2.2,2025-10-23
Sbi Investment,2830.3,2,2025-03-17,"Fintech, Crossborder Neobank","Series C, Series B",Bangalore,0.29,3.5,2025-03-17
Softbank Group Corp,2739.0,1,2017-03-08,Consumer Internet,Private Equity,Bangalore,1.0,1.0,2017-03-08
Iron Pillar,2720.49,8,2025-09-01,"Ecommerce, Clean, Food","Series C, Unknown, Series B","Bangalore, Mumbai, Nan",0.63,1.89,2025-09-01
Wellington Maunknowngement,2714.1,2,2021-06-02,"Consumer Internet, Home","Private Equity, Series F","Gurgaon, Delhi",0.42,2.5,2021-06-02
Unknown Investors,2700.77,52,2018-01-05,"Consumer Internet, Technology, Ecommerce","Seed, Private Equity, Other","Mumbai, Bangalore, Delhi",0.99,1.02,2018-01-05
Hyundai,2699.74,2,2020-01-17,"Transportation, Consumer Internet","Unknown, Private Equity","Bangalore, Gurgaon",0.38,3.0,2020-01-17
Alpha Wave Ventures Ii,2697.5,1,2021-12-26,Fintech,Unknown,Gurgaon,0.33,3.0,2021-12-26
Softbank Vision Fund Ii,2697.5,1,2021-12-26,Fintech,Unknown,Gurgaon,0.33,3.0,2021-12-26
Alpha Wave Global,2656.0,2,2022-03-26,"Edtech, Software","Series D, Series F",Noida,0.5,2.0,2022-03-26
Mitsui,2639.4,4,2022-09-25,"Technology, Software, Online And Tv Shopping","Private Equity, Unknown","Mumbai, Hyderabad, Chicago",0.38,3.0,2022-09-25
Tencent,2634.42,5,2020-05-07,"Consumer Internet, Media, Food","Private Equity, Series C, Series A","Bangalore, Mumbai",0.49,2.8,2020-05-07
Kia Motors,2581.3,1,2020-01-17,Transportation,Unknown,Bangalore,0.5,2.0,2020-01-17
Edbi,2510.75,3,2024-10-02,"Technology, Ecommerce, Edtech","Private Equity, Series D, Seed","Pune, Nan, Bangalore",0.23,4.33,2024-10-02
Xn Exponent,2490.0,1,2021-10-03,Edtech,Unknown,Bangalore,0.33,3.0,2021-10-03
Blackstone Growth,2490.0,1,2022-02-17,Logistics,Series F,Pune,0.33,3.0,2022-02-17
Oxshott Capital Partners,2490.0,1,2021-10-03,Edtech,Unknown,Bangalore,0.33,3.0,2021-10-03
Omidyar Network,2488.34,22,2024-09-13,"Ecommerce, Consumer Internet, Technology","Private Equity, Unknown, Other","Gurgaon, Bangalore, Mumbai",0.49,2.84,2024-09-13
Kedaara Capital And Paramark Ventures,2459.29,1,2022-06-20,Beauty,Series E,Mumbai,1.0,1.0,2022-06-20
Softbank’S Vision Fund,2456.8,1,2020-02-19,Ecommerce,Series E,Pune,1.0,1.0,2020-02-19
Naspers,2456.8,3,2019-08-23,"Ecommerce, Food","Private Equity, Series D",Bangalore,1.0,1.0,2019-08-23
Temasek Holdings,2448.5,2,2021-05-16,"Consumer Internet, Fashion","Private Equity, Unknown","Mumbai, Delhi",0.61,2.0,2021-05-16
Idg Ventures,2448.5,22,2018-07-21,"Consumer Internet, Technology, Other","Private Equity, Seed, Debt","Mumbai, Bangalore, Nan",0.48,2.67,2018-07-21
Beyondnetzero,2448.5,1,2022-01-15,Computer Software,Unknown,Bangalore,0.5,2.0,2022-01-15
Gmo Venture Partners,2423.6,4,2025-08-22,"Fintech, Risk Intelligence, Crossborder Neobank","Series B, Series A","Bangalore, Nan, Delhi",0.38,4.75,2025-08-22
Khosla Ventures,2418.3,12,2025-01-20,"Healthcare, B2B Saas, Efficient Energy Management","Series A, Private Equity, Other","Bangalore, Nan, Mumbai",0.55,2.54,2025-01-20
Coatue Maunknowngement,2377.95,3,2020-07-22,"Food, Fintech, Online & Mobile Classified Listings","Unknown, Private Equity, Series E","Mumbai, Delhi, Pune",0.87,1.4,2020-07-22
Quadria Capital,2365.5,3,2025-01-02,"Healthcare, Contract R&D And Manufacturing","Other, Series C, Unknown","Hyderabad, Bangalore, Mumbai",0.83,1.33,2025-01-02
Qualcomm Ventures,2363.42,13,2025-01-24,"Technology, Consumer Internet, Ecommerce","Private Equity, Unknown, Series D","Bangalore, Mumbai, Delhi",0.31,3.79,2025-01-24
Trifecta Capital,2363.2,20,2025-06-16,"Ecommerce, Consumer Internet, Fintech","Private Equity, Unknown, Debt","Bangalore, Mumbai, Gurgaon",0.83,1.55,2025-06-16
The Beer Café,2350.56,1,2022-11-06,Food,Series D,Delhi,1.0,1.0,2022-11-06
Rtp Global,2350.44,18,2025-09-27,"Ai, Fintech, Ecommerce","Series A, Pre-Series A, Seed","Bangalore, Delhi, Nan",0.69,2.05,2025-09-27
Moonstone Capital,2324.0,1,2021-01-19,Ecommerce,Unknown,Bangalore,0.5,2.0,2021-01-19
Octahedron Capital,2324.0,1,2021-01-19,Ecommerce,Unknown,Bangalore,0.5,2.0,2021-01-19
Evolvence,2324.0,2,2024-12-10,"Agritech, Food","Series D, Series G","Pune, Mumbai",0.5,2.0,2024-12-10
Kuunknownl Shah,2316.59,31,2024-08-16,"Fintech, Ecommerce, Consumer Internet","Unknown, Seed, Pre-Series A","Bangalore, Mumbai, Gurgaon",0.35,3.33,2024-08-16
Banner Health,2282.5,1,2025-01-19,Healthcare,Other,Bangalore,0.17,6.0,2025-01-19
M12,2282.5,1,2025-01-19,Healthcare,Other,Bangalore,0.17,6.0,2025-01-19
Generation Investment Maunknowngement,2282.5,1,2025-01-19,Healthcare,Other,Bangalore,0.17,6.0,2025-01-19
Kaiser Permanente,2282.5,1,2025-01-19,Healthcare,Other,Bangalore,0.17,6.0,2025-01-19
Daunknownher Ventures Llc,2282.5,1,2025-01-19,Healthcare,Other,Bangalore,0.17,6.0,2025-01-19
M,2262.34,13,2025-06-09,"Ecommerce, Peer To Peer Lending, Travel","Private Equity, Seed, Other","Gurgaon, Bangalore, Mumbai",0.3,3.86,2025-06-09
Coinbase Ventures,2257.6,3,2022-01-04,"Fintech, Crypto","Series B, Series C, Unknown","Mumbai, Bangalore, Chennai",0.67,1.67,2022-01-04
Binny Bansal,2248.88,14,2022-01-21,"Fintech, Consumer Internet, Food","Seed, Private Equity, Unknown","Bangalore, Mumbai, Gurgaon",0.36,3.64,2022-01-21
Iconiq Growth,2241.0,2,2024-11-09,"Fintech, Enterprise Ai","Series E, Series A","Bangalore, Gurgaon",0.75,1.5,2024-11-09
Apollo,2216.1,1,2022-02-28,Fintech,Unknown,Delhi,0.5,2.0,2022-02-28
Green Frontier Capital And Lc Nueva Investment Partners,2207.8,1,2022-10-06,Fintech,Series A,Delhi,1.0,1.0,2022-10-06
Debt Fiunknownncing,2201.99,1,2022-08-10,Packaging,Unknown,Mumbai,1.0,1.0,2022-08-10
Sequoia Capital India Advisors,2176.26,2,2018-08-26,Consumer Internet,Private Equity,"Bangalore, Gurgaon",0.38,3.0,2018-08-26
A91 Partners,2174.8,12,2025-02-09,"Consumer Goods, Consumer Technology, Coffee And Bakery","Series A, Series C, Series B","Bangalore, Mumbai, Gurgaon",0.72,1.67,2025-02-09
Hillhouse Capital,2158.0,3,2020-01-13,"Automobile, Other, Ethnic Beverages Manufacturer","Private Equity, Series C, Series D","Jaipur, Nan, Gurgaon",0.42,2.5,2020-01-13
Simi Pacific Pte,2158.0,1,2017-04-08,Consumer Internet,Private Equity,Bangalore,1.0,1.0,2017-04-08
Andreessen Horowitz,2158.0,1,2021-10-17,Crypto,Series C,Bangalore,0.5,2.0,2021-10-17
