Investor,Total_Invested,Num_Investments,Last_Date,Top_Sub_Sectors,Top_Stages,Top_Cities,Avg_HHI,Avg_Unique_Leads,Last_Investment
Spring Marketing Capital,390.1,2,2025-07-01,"Ecommerce, Beauty Products","Pre-Series A, Unknown","Chennai, Mumbai",0.75,1.5,2025-07-01
Sumitomo Mitsui Trust Bank,390.1,1,2022-01-11,Fintech,Unknown,Delhi,1.0,1.0,2022-01-11
Leonis Investissement And Kuunknownl Shah,390.1,1,2022-11-22,Fintech,Series A,Bangalore,1.0,1.0,2022-11-22
Nippon Life India,388.44,1,2025-07-18,Fintech,Debt,Mumbai,0.5,2.0,2025-07-18
Together Fund,387.61,7,2025-09-12,"Ai, Aifocused Healthtech, Saas","Seed, Other, Unspecified Round","Bangalore, Nan, Ichalkaranji",0.36,3.38,2025-09-12
Jsw Ventures,385.95,6,2025-06-10,"Healthcare, Ecommerce, Home Interior","Series B, Private Equity, Series A","Bangalore, Mumbai, Gurgaon",0.43,2.86,2025-06-10
Ivy Growth Associates And Letsventure,385.95,1,2022-10-10,Manufacturing,Seed,Pune,1.0,1.0,2022-10-10
Antler,384.7,11,2025-10-13,"Fintech, Advanced Hardware & Technology, Biotech","Pre-Seed, Seed, Series A","Gurgaon, Bangalore, Nan",0.49,4.0,2025-10-13
Intel Capital,384.29,4,2025-03-14,"Ai, Online Pharmacy & Drug Db, It Infrastructure & Data Center","Private Equity, Seed, Series A","Bangalore, Gurgaon",0.29,4.5,2025-03-14
Swc Global,383.87,3,2025-06-17,"D2C Snack, D2C Menswear, Edtech","Unspecified Round, Other, Pre-Series A","Delhi, Nan, Bangalore",0.58,2.33,2025-06-17
Oikocredit,383.46,5,2024-09-13,"Fintech, Micro Finance, Agritech","Other, Series A, Private Equity","Kolkata, Bangalore, Delhi",0.36,3.2,2024-09-13
Varun Alagh,380.14,3,2022-01-21,"Human Resources, Retail, Venture Capital & Private Equity","Seed, Series A, Unknown","Bangalore, Kolkata",0.5,2.0,2022-01-21
Motilal Oswal Fiunknownncial Services Ltd,379.31,1,2025-08-18,Consumer,Unknown,Bangalore,1.0,1.0,2025-08-18
And Others,378.11,5,2025-01-16,"Mortgage Distribution, Defence, D2C Lingerie & Shapewear","Other, Series B, Pre-Seed","Gurgaon, Nan, Noida",0.24,4.4,2025-01-16
Polygon,378.0,2,2024-11-15,"Social Media, Web3 Gaming","Unknown, Unspecified Round","Delhi, Nan",0.67,2.0,2024-11-15
Idh Farmfit Fund,377.65,3,2025-04-24,"Fintech, Dairy","Series B, Unspecified Round, Debt + Equity","Auckland, Chennai, Bangalore",0.46,4.33,2025-04-24
Quantiphi And Ian Group,375.0,1,2024-09-28,Biotech,Unknown,Hyderabad,1.0,1.0,2024-09-28
Anchor Investors,374.5,2,2024-08-22,"Luxury Fashion, Saas",Unknown,"Kolkata, Delhi",1.0,1.0,2024-08-22
Fairfax,373.5,1,2018-07-19,Consumer Internet,Private Equity,Pune,1.0,1.0,2018-07-19
360 One Asset,373.5,2,2025-06-17,"Casual Gaming, D2C Menswear","Series A, Other","Delhi, Nan",0.38,3.0,2025-06-17
Wind Ventures,373.5,1,2025-02-06,Commercial Hvac Automation Iot & Ai,Series B,Bangalore,0.17,6.0,2025-02-06
Climate Investment,373.5,1,2025-02-06,Commercial Hvac Automation Iot & Ai,Series B,Bangalore,0.17,6.0,2025-02-06
Next47,373.5,1,2025-02-06,Commercial Hvac Automation Iot & Ai,Series B,Bangalore,0.17,6.0,2025-02-06
H,373.5,1,2021-07-27,Social Commerce,Series B,Bangalore,0.33,3.0,2021-07-27
Carrier Global Corporation,373.5,1,2025-02-06,Commercial Hvac Automation Iot & Ai,Series B,Bangalore,0.17,6.0,2025-02-06
Mirae Asset,373.5,1,2021-07-27,Social Commerce,Series B,Bangalore,0.33,3.0,2021-07-27
Accurant Interunknowntiounknownl'S Net Zero Alliance,373.5,1,2025-02-06,Commercial Hvac Automation Iot & Ai,Series B,Bangalore,0.17,6.0,2025-02-06
Kb Investment,373.5,1,2020-12-05,Fintech,Series C,Bangalore,0.5,2.0,2020-12-05
Eight Roads,373.5,1,2019-04-08,Fintech,Series A,Bangalore,1.0,1.0,2019-04-08
Salesforce Ventures,371.22,4,2025-09-27,"Technology, Computer Software, Ai","Series A, Private Equity, Seed","Bangalore, Pune, Nan",0.46,2.25,2025-09-27
Harsh Mariwala,369.35,1,2018-05-04,"Consumer Internet, Beauty & Wellness Products Etailer",Private Equity,Mumbai,0.31,3.33,2018-05-04
Krafton,366.37,6,2025-04-23,"Gaming, Online Media, Digital Entertainment And Technology","Unknown, Series A, Series B","Bangalore, Pune, Mumbai",0.92,1.17,2025-04-23
Waterbridge Ventures,365.61,10,2025-07-11,"Consumer Internet, Information Technology, B2B","Pre-Series A, Seed, Series A","Bangalore, Gurgaon, Delhi",0.58,2.18,2025-07-11
Nubank,365.2,1,2021-08-15,Banking,Series B,Mumbai,0.25,4.0,2021-08-15
Alpha Wave Incubation,365.2,6,2022-02-01,"Edtech, Agritech, Information Technology &","Series A, Seed, Unknown","Bangalore, Gurgaon, Chandigarh",0.92,1.17,2022-02-01
Ecl Fiunknownnce,365.2,1,2017-09-18,Technology,Private Equity,Mumbai,1.0,1.0,2017-09-18
Smith Point Capital,365.2,1,2024-10-17,Cloudbased Intelligence,Series B,Nan,1.0,1.0,2024-10-17
Avatar Growth Capital,365.2,1,2020-05-13,Saas,Series C,Gurgaon,0.5,2.0,2020-05-13
Northern Arc Capital,365.2,4,2021-08-03,"Fintech, Agritech","Debt, Unknown","Delhi, Mumbai, Gurgaon",0.48,2.75,2021-08-03
Naval Ravikant,365.2,2,2024-11-20,"Social Media, Electric Aircraft",Series B,"Bangalore, Chennai",0.33,4.0,2024-11-20
Sanjeev Aggarwal,362.71,1,2020-03-22,Ecommerce,Series B,Nan,0.5,2.0,2020-03-22
Bluehill Asset Maunknowngement And Elevation Capital,359.39,1,2022-07-04,Atificial Intelligence,Series B,Chennai,1.0,1.0,2022-07-04
Mirae Asset Capital Markets,356.9,1,2020-04-08,Food,Series A,Bangalore,0.2,5.0,2020-04-08
Ark Impact,356.9,1,2020-04-08,Food,Series A,Bangalore,0.2,5.0,2020-04-08
L Catterton,354.66,2,2025-10-09,"Snacking, Healthcare","Series C, Private Equity","Noida, Nan",1.0,1.0,2025-10-09
Pincus,352.75,1,2020-01-06,Car Trade,Series H,Mumbai,0.25,4.0,2020-01-06
Jp Morgan,352.75,1,2020-01-06,Car Trade,Series H,Mumbai,0.25,4.0,2020-01-06
Fullerton Fiunknownncial Holdings,352.24,1,2021-04-04,Fintech,"Series D, Debt","Ahmedabad, Nan",0.33,3.33,2021-04-04
Fosun Interunknowntiounknownl,348.6,2,2018-10-08,Logistics,"Private Equity, Series C","Delhi, Bangalore",1.0,1.0,2018-10-08
Ifu,348.6,1,2024-09-15,Diagnostics Healthcare,Series C,Nan,0.25,4.0,2024-09-15
Varun Sadaunknown And Titan Capital,348.6,1,2022-12-16,Analytics,Seed,Newark,1.0,1.0,2022-12-16
Incred / Info Edge Ventures,348.6,1,2025-10-11,Fintech,Debt,Delhi,1.0,1.0,2025-10-11
Spark Growth Ventures,348.6,1,2024-09-15,Diagnostics Healthcare,Series C,Nan,0.25,4.0,2024-09-15
Singularity Ventures,347.02,4,2025-06-15,"Ecommerce, Cancer Diagnostics, Defence Electronics","Private Equity, Series A","Mumbai, Pune, Bangalore",0.42,4.0,2025-06-15
Peak Xv’S Surge,345.28,4,2025-02-17,"Fintech, Healthcare, Saas","Other, Unspecified Round, Series A","Bangalore, Gurgaon",0.23,5.0,2025-02-17
Think Investment,344.45,2,2025-04-01,"Beverages, Healthcare",Unknown,"Nan, Mumbai",1.0,1.0,2025-04-01
Horizons Ventures,340.3,1,2017-08-05,"Mobile Based Pos Solution, Technology",Private Equity,Bangalore,0.27,4.0,2017-08-05
Ankit Bhati And Inflection Point Ventures,340.3,1,2022-08-19,Edtech,Series A,Bangalore,1.0,1.0,2022-08-19
Principal Asset Maunknowngement,340.0,1,2025-05-19,B2B Ecommerce,Unknown,Mumbai,0.33,3.0,2025-05-19
Oneup,340.0,1,2025-05-19,B2B Ecommerce,Unknown,Mumbai,0.33,3.0,2025-05-19
Jsw Steel,340.0,1,2025-05-19,B2B Ecommerce,Unknown,Mumbai,0.33,3.0,2025-05-19
M1Xchange Raised,338.64,1,2022-11-24,Ecommerce,Unknown,Noida,1.0,1.0,2022-11-24
Plutus Wealth Maunknowngement,338.55,2,2025-10-16,"Gaming, Consumer Goods > Retailers","Unknown, Series B","Mumbai, Nan",0.67,1.67,2025-10-16
Cdc Group Plc,336.15,2,2018-02-08,Healthcare,Private Equity,"Delhi, Mumbai",1.0,1.0,2018-02-08
Prosus Ventures And Ankur Capita,335.32,1,2022-07-24,Agritech,Series B,Bangalore,1.0,1.0,2022-07-24
Gem Global Yield Llc Scs,335.0,1,2024-11-13,Blockchain Fintech,Other,Nan,1.0,1.0,2024-11-13
Aavishkaar Capital,333.5,4,2025-04-19,"Fintech, Logistics, Edtech","Series A, Other, Series B","Gurgaon, Kolkata, Pune",0.8,1.4,2025-04-19
Infoedge Ventures,333.07,9,2025-07-23,"Fintech, Media & Entertainment, Specialty Chemicals","Seed, Pre-Series A, Series B","Bangalore, Nan, Gurgaon",0.64,1.73,2025-07-23
