Company_Cleaned,Total_Funding,Max_Funding,Num_Rounds,Sector,Location,Rounds,Years,Investors,Last_Year
astra security,22.41,22.41,1,Cybersecurity,Delhi,Unspecified Round,2025,"Emergent Ventures, The Neon Fund, Better Capital, Blume Ventures, Pointone Capital",2025
dil mil,22.41,22.41,1,Consumer Internet,Sfo,Private Equity,2016,"Nelstone Ventures, Transmedia Capital, Maiden Lane Ventures, Csc Upshot, Angel Investors",2016
heckyl,22.41,22.41,1,Technology,Mumbai,Private Equity,2017,"Notion Capital, Idg Ventures",2017
samosa singh,22.41,22.41,1,Food,Bangalore,Series A,2020,She Capital,2020
algobulls,22.41,20.75,2,Trading,Mumbai,"Unknown, Seed","2020, 2022","Venture Catalysts, . Sharath Kumar And Yuvraj A. Thakker",2022
arcana,22.16,19.09,2,Information Technology &,Bangalore,"Unknown, Seed",2021,"Republic Crypto, Woodstock, Dcg, Sahil Lavingia, Balaji Srinivasan",2021
tiea connectors,22.0,22.0,1,B2B Esdm Electronic System Design And Manufacturing,Bangalore,Unspecified Round,2025,Jamwant Ventures And Valour Capital,2025
doxper,21.99,15.77,2,Healthcare,Mumbai,"Other, Seed","2017, 2018","Vidal Healthcare, Idal Health, Growx Ventures, Capier Investments, Globevestor, Others",2018
pulse,21.99,11.62,3,Consumer Internet,Bangalore,"Private Equity, Pre-Series A, Seed","2016, 2020, 2024","Saif Partners, Unknown, Endiya Partners, Zluri Founders, Yellow.Ai Founders, Other Angel Investors",2024
planys,21.91,13.28,2,Technology,Chennai,"Private Equity, Pre-Series A","2018, 2021","Kris Gopalakrishunknownn, Pratithi Investment Trust, Memg Family Office, S Gopal, Kieretsu Forum, Lets Venture, Shell",2021
biddano,21.580000000000002,16.6,2,Healthcare,Mumbai,Pre-Series A,"2020, 2021","Windrose Capital, Gokul Rajaram, Jpin, Venture Catalysts Uk, Angellist",2021
fantasy akhada,21.580000000000002,16.6,2,Sports,Gurgaon,"Series A, Unknown",2021,"Prime Securities Limited, Harsha Bhogle",2021
celebal,21.58,21.58,1,Information&Technology,Jaipur,Unknown,2022,Norwest Venture Partners.,2022
renderlogy,21.58,13.28,2,Online Home Dxc3Xa9Cor,Hyderabad,Private Equity,2015,"Astarc Ventures, Brick Eagle",2015
bioprime,21.58,21.58,1,Biotechnology,Pune,Seed,2022,Inflexor Ventures And Omnivore,2022
ecolibriumenergy,21.58,21.58,1,Technology,Ahmedabad,Private Equity,2017,"Infuse Ventures, Jll",2017
produze,21.58,21.58,1,Food,Bangalore,Seed,2022,Thirukumaran Nagarajan And All In Capital,2022
bpr hub,21.58,21.58,1,Compliance For Manufacturers,Usa,Seed,2025,"Accel, Kae Capital",2025
saswat finance,21.58,21.58,1,Fintech,Mumbai,Pre-Series A,2025,"Ankur Capital, Incubate Fund Asia",2025
sheroes,21.33,14.94,2,Consumer Internet,Noida,"Private Equity, Seed","2015, 2016","Lumis Partners, The Hr Fund, Rajul Garg, Quintillion Media, Quintillion Media, 500 Startups",2016
atlanture sports,21.0,21.0,1,Sports & Media,Nan,Strategic Investment,2025,Rannvijay Singha,2025
fambo,21.0,21.0,1,Food,Noida,Pre-Series A,2025,"Ev2 Ventures, Rajesh Sawhney, Uhnis",2025
futwork,20.9,20.9,1,Callcenter,Mumbai,Series A,2024,"Michael, Susan Dell Foundation, Artha Ventures, Simile Capital",2024
xr central,20.75,20.75,1,Software,Gurgaon,Seed,2022,Tarun Tahiliani And Nitin Seth,2022
xovian aerospace,20.75,20.75,1,Advanced Hardware & Technology,Bangalore,Pre-Seed,2025,"Piper Serica, Turbostart",2025
nawgati,20.75,20.75,1,Fuel Aggregator,Noida,Pre-Series A,2025,Ajay Upadhyaya,2025
snapecabs,20.75,20.75,1,Travel,Kolkata,Unknown,2025,Inflection Point Ventures,2025
red carpet,20.75,20.75,1,Consumer Internet,Gurgaon,Private Equity,2017,Lightspeed,2017
udayy,20.75,20.75,1,Edtech,Gurgaon,Seed,2021,Alpha Wave Incubation,2021
pipeshift,20.75,20.75,1,Ai Infrastructure,San Francisco,Seed,2025,"Y Combiunknowntor, Senseai Ventures, Arka Venture Labs, Good News Ventures, Others",2025
nearbuy,20.75,20.75,1,Consumer Internet,Gurgaon,Private Equity,2016,Blacksoil Capital Pvt. Ltd.,2016
michezo sports,20.75,20.75,1,Consumer > Sports,Karnataka,Seed,2025,Centre Court Capital,2025
red basil,20.75,20.75,1,Food,Gurgaon,Seed,2022,Planb Capital And Sat Industries,2022
tokri,20.75,20.75,1,Consumer Internet,Pune,Private Equity,2016,Syska Led Group,2016
twid,20.75,20.75,1,Fintech,Bangalore,Unknown,2021,"Beenext, Sequoia’S Surge",2021
vamam,20.75,20.75,1,Consumer > Local,Delhi,Seed,2025,Wavemaker Partners / 7Square Ventures,2025
toplyne,20.75,20.75,1,Computer Software,Bangalore,Unknown,2021,"Sequoia Capital, Together Fund",2021
samudai,20.75,20.75,1,Information & Technology,Singapore,Pre-Seed,2022,Sino Global Capital And Devfolio,2022
yatrikart,20.75,20.75,1,Transit Retail,Indore,Series A,2025,Mmg Group,2025
vidyut,20.75,20.75,1,Ev Fullstack,Bangalore,Unspecified Round,2025,Flourish Ventures,2025
