Company_Cleaned,Total_Funding,Max_Funding,Num_Rounds,Sector,Location,Rounds,Years,Investors,Last_Year
byjus,29232.6,4482.0,12,Edtech,Bangalore,"Private Equity, Unknown, Series F","2019, 2020, 2021","Qatar Investment Authority, Owl Ventures, Tiger Global Maunknowngement, Dst Global, Tiger Global, South Africa’S Naspers Ventures, The Cpp Investment Board, Oxshott Capital Partners, Xn Exponent, Edelweiss, Tiga Investments, Baron Capital, Blackstone Group, Adq, Blackrock, Owl Ventures",2021
ola,26271.5,4150.0,18,Transport,Kormangala,"Series J, Private Equity, Unknown, Debt","2015, 2017, 2019, 2020, 2021, 2022","Dig Investment Ab, Deshe Holdings, Samih Toukan And Hussam Khoury, Tencent, SoftBank, Ani Technologies Pvt. Ltd, Tekne Capital Maunknowngement, Tekne Capital Maunknowngement Llc, Falcon Edge Capital, \\Xc2\\Xa0 Capital Advisers, Simi Pacific Pte, Softbank Group Corp, Baillie Gifford, Falcon Edge Capital, Tiger Global, SoftBank, Dst Global, Didi Kuaidi, Falcon Edge Capital, Ny Based Hedge Fund, Tiger Global, SoftBank, Didi Kuaidi, Kia Motors, Hyundai, Marquee Interunknowntiounknownl Institutiounknownl Investors, Falcon Edge, SoftBank, Bank Of Baroda, Unknown, Tekne Private Ventures, Alpine Opportunity Fund, Edelweiss",2022
oyo,25662.0,5751.9,14,Consumer Internet,Gurgaon,"Private Equity, Unknown, Series F, Series G, Unspecified Round","2015, 2016, 2017, 2020, 2021, 2022, 2024, 2025","SoftBank, Sequoia Capital, Lightspeed, Greenoaks Capital, Hero Enterprise, Chiunknown Lodging Group, SoftBank, Lightspeed, Sequoia Capital India Advisors, Greenoaks Capital Partners, SoftBank, Sequoia Capital, Lightspeed, Greenoaks Capital, Dsg Consumer Partners And Venture Nursery, SoftBank, Sequoia Capital, Greenoaks Capital, Sequoia Capital, Lightspeed Ventures, Mypreferred Transformation, Avendus Fiunknownnce, SoftBank, Microsoft, SoftBank, Hindustan Media Venture, Hindustan Media Venture, Multiples, Incred Wealth, Patient Capital, J, A Partners, Mankind Pharma Promoters' Family Office, Ask Fiunknownncial, Redsprig Innovation Partners (Ritesh Agarwal’S Affiliated Entity)",2025
paytm,24522.86,9960.0,7,Fintech,Noida,"Unspecified Round, Private Equity, Unknown","2015, 2016, 2017, 2018, 2019, 2020, 2022","Vijay Shekhar Sharma, One 97 Communications, SoftBank, Mediatek Inc., Alibaba Group, Ant Fiunknownncial, One97 Communications, Multiples",2022
meesho,22074.68,9130.0,8,Ecommerce,Bangalore,"Series D, Series C, Private Equity, Unknown, Unspecified Round","2017, 2018, 2019, 2021, 2022, 2025","Naspers, Shunwei Capital, Dst Partners And Rps Ventures, Sequoia Capital, Saif Partners, Y Combiunknowntor And Venture Highway, Saif Partners, Ycombiunknowntor, Venture Highway, Fidelity, B Capital, Saif Partners, Venture Highway, Multiples, Tiger Global, Think Investments, Mars Growth Global, Peak Xv Partners, Westbridge Capital",2025
lenskart,20604.329999999998,7698.25,8,Ecommerce,Bangalore,"Private Equity, Series G, Unknown, Series I","2015, 2016, 2017, 2020, 2021, 2022","Ronnie Screwvala, Interunknowntiounknownl Fiunknownnce Corp, Tpg Growth, Adveq Maunknowngement, Idg Ventures, Ratan Tata, Kris Gopalakrishunknownn, Tpg Growth, Tr Capital, Idg Ventures, SoftBank, Temasek, Falcon Edge, Kohlberg Kravis Roberts, Temasek Holdings, Schroder Adveq And Temasek Holdings, Multiples",2022
zomato,19406.2,8500.0,10,Food,Gurgaon,"Private Equity, Unknown, Other","2015, 2018, 2020, 2024","Ant Fiunknownncials, Temasek, Vy Capital, Info Edge (India), Kora, Tiger Global Maunknowngement, Macritchie Investments, Baillie Gifford, Pacific Horizon, Ant Fiunknownncial, Unknown",2024
mtr foods,18300.0,18300.0,1,Food,Bangalore,Unknown,2022,Multiples,2022
swiggy,16503.45,6640.0,13,Food,Bangalore,"Private Equity, Series A, Unknown","2015, 2016, 2017, 2018, 2020, 2021, 2022","Naspers, Nasper, Accel, Saif Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners, Bessemer Venture Partners, Norwest Venture Partners, Dst Global, Accel, Harmony Partners, Rb Investments, Existing Investors, Norwest Venture Partners, Saif Partners, Accel, Norwest Venture Partners, Accel, Saif Partners, Tencent, Ark Impact, Korea Investment Partners, Samsung Ventures, Mirae Asset Capital Markets, Prosus N.V, Carmigunknownc, Falcon Edge Capital, Unknown, Invesco",2022
razorpay,15330.27,6775.29,7,Technology,Bangalore,"Private Equity, Seed, Series D, Series E, Unknown","2015, 2018, 2020, 2021, 2022","Tiger Global, Y Combiunknowntor, Tiger Global Maunknowngement, Matrix Partners, Y Combiunknowntor, Tiger Global Maunknowngement, Sequoia Capital, Matrix Partners, Gic, Posh Vine, Multiples",2022
udaan,13073.7,4855.5,9,B2B,Bangalore,"Series D, Private Equity, Unknown, Debt, Series G","2016, 2018, 2019, 2021, 2022, 2024, 2025","Altimeter Capital, Dst Global, Dst Global And Lightspeed Venture Partners\\Xe2\\X80\\X99 Global Fund., Lightspeed, Yuri Milner, Lightspeed Venture Partners India, Lightspeed Us, Octahedron Capital, Moonstone Capital, Unknown, Lighthouse Canton, Stride Ventures And Others, M, G, Sameunknown Capital, Series G Equity Funding",2025
verse innovation,12895.0,8300.0,4,Telecommunication,Bangalore,"Unknown, Series H","2020, 2021, 2022","Google, Siguler Guff, Baillie Gifford, Caunknownan Valley Capital, Glade Brook Capital Partners, Multiples",2022
cred,12465.25,6652.45,6,Fintech,Bangalore,"Series C, Series E, Series D, Series F, Other","2020, 2021, 2022, 2025","General Catalyst, Ribbit Capital, Tiger Global, Falcon Edge, Dragoneer Investment Group, Tiger Global Maunknowngement, Dst Global, General Catalyst, Tiger Global Maunknowngement And Sofiunknown, Gic’S Lathe Investment",2025
dream sports,10292.0,6972.0,2,Sports,Mumbai,Unknown,2021,"Falcon Edge, Dst Global, D1 Capital, Redbird Capital, Tiger Global, Tcv, D1 Capital Partners, Falcon Edge.",2021
zepto,9955.49,2905.0,8,Ecommerce,Bangalore,"Unknown, Unspecified Round, Other, Series G","2021, 2024, 2025","Yunknowncombiunknowntor, Glade Brook Capital, Nexus, Y Combiunknowntor, Motilal Oswal Private Wealth, Raamdeo Agarwal, Taparia Family Office, Mankind Pharma Family Office, Celebrity Investors, Others, General Catalyst, Dragon Fund, Epiq Capital, Goodwater Capital, Motilal Oswal Fiunknownncial Services Ltd, Mapmyindia, Elcid Investments",2025
unacademy,9672.05,6959.55,8,Edtech,Bangalore,"Other, Private Equity, Seed, Unknown, Series E","2016, 2017, 2019, 2020, 2021, 2022","Kalyan Krishunknownmurthy, Sequoia Capital, Saif Partners, Nexus Venture Partners And Blume Ventures, Nexus Venture Partners, Blume Ventures, Blume Ventures, Rajan Aunknownndan, Sumit Jain, Aprameya Radhakrishunknown, Sujeet Kumar, Phanindra Sama, Nexus Venture Partners, Sequoia Capital, Facebook, General Atlantic, Sequoia India, Nexus Venture Partners, Steadview Capital, Blume Ventures, Tiger Global, Dragoneer Investment Group, Steadview Capital, General Atlantic, Multiples",2022
upgrad,8614.57,5244.77,5,Edtech,Mumbai,"Unknown, Other","2021, 2022, 2024","India Infoline Fiunknownnce, Unilazer Ventures, Iifl Asset Maunknowngement, Kaizenvest And Ets Global, Iifl Fiunknownnce And Interunknowntiounknownl Fiunknownnce Corporation, Temasek",2024
eruditus,8503.060000000001,6640.0,4,Edtech,Mumbai,"Private Equity, Unknown, Series F","2017, 2020, 2022, 2024","Bertelsmann India, Bertelsmann India Investments, Sequoia Capital, Multiples, Tpg’S The Rise Fund",2024
xpressbees,8300.83,4794.08,5,Ecommerce,Pune,"Private Equity, Unknown, Series F","2016, 2020, 2022","Saif Partners, Idg Ventures India, Vertex Ventures, Valiant Capital, Alibaba Group, Innoven Capital, Alibaba, Multiples, Blackstone Growth, Tpg Growth, Chryscapital",2022
zetwerk,8260.16,4980.0,7,Technology,Bangalore,"Series C, Unknown, Series B, Series E, Series D, Other","2020, 2021, 2024","Greenoaks, Innoven Capital, Lightspeed And Greenoaks Capital, Sequoia India, Accel And Kae Capital, Tradecred, Unknown, Sequoia Capital, Accel, Khosla Ventures, Baillie Gifford, Rakesh Gangwal",2024
licious,8148.11,4056.21,10,Ecommerce,Bangalore,"Series E, Private Equity, Seed, Series D, Series G, Series F, Unknown","2015, 2016, 2017, 2019, 2020, 2021, 2022","Vertex Growth Fund, Mayfield India, 3One4 Capital, Sistema Asia Fund, Neoplux Technology Fund, Mayfield India Ii Maunknowngement Ltd, Kanwaljit Singh, Tv Mohandas Pai, Vertex Ventures, Unknown, Temasek, Multiples Pe, Multiples, Amansa Capital, Kotak Pe, Axis Growth Avenues Aif",2022
tessol,7978.46,7977.13,2,Logistics,Mumbai,"Series A, Unknown","2020, 2022","1Funds Domestic Scheme, 1Crowd And 1Fund",2022
urban,7336.37,3700.97,3,Home,Delhi,"Series F, Unknown","2021, 2022","Vy Capital, Wellington Maunknowngement, Vy Capital, Multiples",2022
spinny,7016.610000000001,2058.4,9,Ecommerce,Gurgaon,"Private Equity, Series B, Unknown, Series E, Series D, Series C, Series F, Unspecified Round","2017, 2020, 2021, 2022, 2025","Blume Ventures, Indian Angel Network, Kuunknownl Shah, Sandeep Tandon, Nandan Nilekani, Sanjeev Aggarwal, Norwest Venture Partners, General Catalyst, Fundamentum, Accel, Abu Dhabi Growth Fund, Tiger Global, Tiger Global, Areunknown Holdings, Think Investments, Multiples, Westbridge Capital, Accel Leaders Fund",2025
reliance retail ventures,6644.82,6640.0,2,Retail,Mumbai,Unknown,2020,"Silver Lake, Mubadala Investment Company, General Atlantic, Kohlberg Kravis Roberts",2020
acko,6515.5,3801.4,4,Consumer Internet,Mumbai,"Other, Unknown, Series D","2018, 2020, 2021, 2022","Amazon, Ashish Dhawan, Catamaran Ventures, Nr Narayaunknown Murthy., Rps Ventures, Intact Ventures, General Atlantic, Multiples, Multiples",2022
phonepe,6297.21,5810.0,3,Consumer Internet,Bangalore,"Private Equity, Unknown","2017, 2020","Flipkart, Flipkart, Walmart",2020
uniphore,6290.4,3320.0,6,Customer,Palo Alto,"Series C, Private Equity, Series E, Series F","2016, 2017, 2019, 2022, 2025","March Capital Partners, Idg Ventures, Idg Ventures, Indian Angel Network (Ian), Yournest Angel Fund, March Capital, New Enterprise Associates",2025
godrej properties,6000.0,6000.0,1,Real Estate,Mumbai,Other,2024,"Singapore Sovereign Wealth Firm Gic, Sbi Pension",2024
cars24,5912.03,3735.0,6,Ecommerce,Gurgaon,"Series D, Private Equity, Series E, Unknown, Series F","2018, 2019, 2020, 2021, 2022","Ms Dhoni, Kingsway Fci Fund, Kck Global, Others, Global Car Group, Freemark Holdings, Vivriti Capital, Dst Global, Falcon Edge, Softbank Vision Fund 2, Multiples",2022
bharat pe,5853.17,3071.0,11,Fintech,Delhi,"Series B, Unknown, Debt, Series E, Series D","2019, 2020, 2021, 2022","Insight Partners, Coatue Maunknowngement, Mas Fiunknownncial Services, Iifl Wealth, Asset Maunknowngement, Northern Arc Capital, Tiger Global, Amplo, Insight Partners, Innoven Capital, Steadview Capital, Steadview Capital, Insight Partners, Multiples",2022
zoivane pets,5848.18,5848.18,1,Industry,Surat,Seed,2022,Gvfl And We Founder Circle,2022
money boxx,5824.94,5824.94,1,Fintech,Mumbai,Unknown,2022,Uc Inclusive Credit And Hinduja Leyland Fiunknownnce,2022
flipkartcom,5810.0,5810.0,1,Online,Bangalore,Private Equity,2015,Steadview Capital And Existing Investors,2015
snapdeal,5810.0,4150.0,2,Ecommerce,Delhi,Private Equity,"2015, 2016","Ontario Teachers\\Xe2\\X80\\X99 Pension Plan, Others, Alibaba, Foxconn, SoftBank",2016
black buck,5804.85,3021.2,8,Transport,Bangalore,"Series D, Series A, Other, Private Equity, Series E, Unknown","2015, 2017, 2018, 2019, 2021, 2022","Goldman Sachs Investment Partners And Silicon Valleyunknownbased Accel, Wellington, Sequoia Capital, B Capital, Lightstreet, Sands Capital And Interunknowntiounknownl Fiunknownnce Corporation, Tiger Global, Sequoia Capital, Innoven Capital, Sands Capital, Ifc, Accel, Flipkart, Sanjiv Rangrass, Tiger Global Maunknowngement, Yuri Milner, Apoletto, Accel, Flipkart, Tribe Capital, Ifc Emerging Asia Fund, Vef, Multiples",2022
delhivery,5693.8,2241.0,6,Logistics,Delhi,"Private Equity, Unknown, Series I, Series H","2015, 2017, 2021","Fosun Interunknowntiounknownl, Carlyle Group, Tiger Global, Tiger Global Maunknowngement, Multiples Alterunknownte Asset Maunknowngement, Nexus Venture Partners, Times Internet, Lee Fixel’S Venture Capital Firm, Addition, Addition, Fidelity, Gic",2021
dailyhunt,5502.98,5000.0,3,Consumer Internet,Bangalore,"Private Equity, Unknown","2016, 2020, 2022","Bytedance, Arun Sarin, Matrix Partners, Sequoia Capital, Omidyar Network, \\Xc2\\Xa0 Falcon Edge, Lupa India, Unknown",2022
exprto,5308.68,5308.68,1,Edtech,Gurgaon,Seed,2022,Angellist Talent And Sahil Mahaldar,2022
purplle,5283.45,2459.29,8,Ecommerce,Mumbai,"Other, Private Equity, Unknown, Series C, Series E, Series F","2016, 2017, 2020, 2021, 2022, 2024","Mountain Pain Capital, Suncoast Investments, Jsw Ventures, Blume Ventures, Ivycap Ventures, Verlinvest, Goldman Sachs, Kedaara, Spring Marketing Capital, Verlinvest, Kedaara Capital And Paramark Ventures, Abu Dhabi Investment Authority (Adia), Premji Invest, Blume Ventures",2024
eyemyeye,4986.64,4970.04,2,Eyewear,Gurgaon,"Pre-Series A, Series A","2021, 2022","2000000, Letsventure And Lc Nueva Investment Partners",2022
coinswitch kuber,4984.98,2494.98,4,Crypto,Bangalore,"Series C, Series B, Series A, Unknown","2021, 2022","Coinbase Ventures, Andreessen Horowitz, Paradigm, Kuunknownl Shah, Ribbit Capital, Kuunknownl Shah, Multiples",2022
true north,4980.0,4980.0,1,Fintech,Mumbai,Private Equity,2018,Unknown,2018
manipal,4980.0,4980.0,1,Education Healthcare,Karnataka,Debt,2025,Kkr,2025
sharechat,4813.28,4150.0,8,Technology,Bangalore,"Private Equity, Other, Unknown, Debt","2016, 2018, 2020, 2021, 2022, 2024","Xiaomi Singapore, Shunwei Capital, Lightspeed, Saif Partners, India Quotient, Venture Highway, Saif Partners, India Quotient, Lightspeed, Saif Partners, All About Inc, Beenext Pte Led, Beenos Asia, Dg Ventures, Kaunknownmori Assagement Singapore, Rebright Partners I, Rebright Partners Ii, Tetsuro Koda, Twitter Ventures, Pawan Munjal, Multiples, Singaporeunknownbased Edbi",2024
bizongo,4741.79,2201.99,7,Consumer Internet,Mumbai,"Private Equity, Series C, Series D, Unknown","2016, 2018, 2020, 2021, 2022","B Capital, Interunknowntiounknownl Fiunknownnce Corporation (Ifc), Accel Partners And Idg Ventures, Idg Ventures, Accel, Schroder Adveq, Tiger Global, Cdc Group, Idg Capital, Debt Fiunknownncing",2022
pharmeasy,4691.16,2905.0,4,Consumer Internet,Mumbai,"Debt, Private Equity, Series E","2017, 2018, 2021, 2025","Innoven Capital, Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital, Tpg Growth, Caisse De Depot Et Placement Du Quebec, Unknown",2025
droom,4614.8,2763.9,4,Automobile,Gurgaon,"Series E, Private Equity, Unknown","2017, 2018, 2021, 2022","Zigexn, Asset Maunknowngement (Asia) Ltd, Digital Garage Inc, Unknown, Multiples",2022
rebel foods,4573.3,1743.0,7,Food,Pune,"Unknown, Series E, Series F, Series G","2020, 2021, 2022, 2024, 2025","Coatue Maunknowngement, Qatar Investment Authority, Unknown, Temasek, Evolvence",2025
heaps,4565.0,4565.0,1,Healthcare,Bangalore,Series A,2022,Nvs Wealth Maunknowngers,2022
vedantu,4486.150000000001,2431.07,9,Edtech,Bangalore,"Private Equity, Series D, Series C, Series E, Unknown, Equity","2015, 2018, 2020, 2021, 2022, 2024, 2025","Accel, Tiger Global And Others, Accel, Tiger Global Maunknowngement, Coatue, Kb Global Platform Firm, Legend Capital, Abc World Asia, Multiples, Stride Ventures, Unknown",2025
medisage,4399.0,4399.0,1,Healthcare,Mumbai,Unknown,2022,Bessemer Venture Partners And Siddharth Sikchi,2022
nobroker,4377.42,3535.8,6,Ecommerce,Bangalore,"Series C, Private Equity, Unknown","2015, 2016, 2019, 2020, 2022","General Atlantic, Ktb Network, Saif Partners, Beenext, Digital Garage, Beenext, Digital Garage, Beenos, Qualgro, Mamoru Taniya, Saif Partners, Saif Partners, Fulcrum Ventures, Multiples",2022
inframarket,4357.5,1037.5,8,Real Estate,Thane,"Series B, Series A, Series D, Series C, Debt, Series G, Unspecified Round","2020, 2021, 2025","Trifecta Capital Advisors, Nexus Venture Partners, Tiger Global, Nexus Venture Partners, Accel, Dhruv Agarwala, Tiger Global, Innoven Capital, Nexus Venture Partners, Innoven Capital, Unknown, Mars Growth Capital",2025
car dekho,4316.0,2075.0,5,Ecommerce,Gurgaon,"Series D, Series C, Series E","2019, 2020, 2021","Ping An Global Voyager Fund, Sc Gg India Mobility Holdings Llc, Sequoia India, Hillhouse Capital, Alphabet\\Xe2\\X80\\X99S Growth Investment Arm Capital G And Axis Bank, Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital, Unknown",2021
pine labs,4277.04,1300.0,7,Information Technology,Noida,"Other, Unknown","2019, 2021, 2022","Pine Labs Pte Ltd, Invesco Developing Markets Fund, Fidelity, Blackrock, Unknown, Vitruvian Partners, Alpha Wave Venture, State Bank Of India",2022
goqii,4261.22,3735.0,3,Healthcare,Menlo Park,"Series C, Private Equity","2015, 2019, 2022","Bennett Coleman And Company Ltd (Bccl), New Enterprise Associates, Cheetah Mobile, Sumeru Ventures",2022
gigforce,4243.82,4212.25,3,Hr,Bangalore,"Unknown, Pre-Series A, Seed","2020, 2021, 2022","Unitus Venture, Endiya Partners, Venture Catalysts And Znl Growth",2022
bigbasket,4208.1,2490.0,4,Consumer Internet,Bangalore,Private Equity,"2015, 2016, 2017, 2018","Alibaba, Helion Venture Partners, Bessemer Venture Partners, Ascent Capital, Trifecta Capital, Abraaj Group, Bessemer Venture Partners",2018
ofbusiness,4116.37,2697.5,7,Fintech,Gurgaon,"Private Equity, Debt, Unknown","2016, 2017, 2018, 2021, 2025","Creation Investments, Falcon Edge, Matrix Partners India And Zodius Capital, Kotak Mahindra Bank, Zodius Technology Opportunities Fund, Matrix Partners, Matrix Partners, Alpha Wave Ventures Ii, Tiger Global Maunknowngement, Softbank Vision Fund Ii, Falcon Edge India, Norwest Venture Partners, Cornerstone Ventures",2025
mindtickle,3490.15,2332.3,4,Technology,Pune,"Private Equity, Debt, Unknown","2015, 2017, 2020, 2022","Caunknownan Partners, New Enterprise Associates, Caunknownan Partners, Newview Capital, Multiples",2022
policy bazaar,3483.51,1660.0,5,Consumer Internet,Gurgaon,"Private Equity, Unknown","2015, 2017, 2018, 2021","Info Edge (India) Ltd And Temasek, SoftBank, Info Edge (India) Ltd, Wellington Maunknowngement, Dg Ventures India, True North, Premjiinvest, Tiger Global, Ribbit Capital, Falcon Edge Capital, White Oak Global Advisors",2021
nykaa,3428.24,1304.76,10,Consumer Internet,Mumbai,"Private Equity, Unknown","2015, 2016, 2018, 2020, 2022","Lighthouse, Sunil Munjal, Harsh Mariwala, Dalip Pathak And Others, Sunil Munjal, Mariwala Family, Harsh Mariwala, Atul Nishar, Dalip Pathak, Michael Carlos, Steadview Capital, Little Black Book, Fidelity Maunknowngement And Research Company And Alia Bhatt",2022
waycool foods,3417.9399999999996,3353.2,2,Agritech,Chennai,"Debt, Unknown","2020, 2022","Fmo, Indusind Bank, . Trifecta Capital Advisors And Trifecta Capital Advisors",2022
zhangmen,3320.0,3320.0,1,Edtech,Shanghai,Unknown,2020,"Cicc Alpha, Vms Asset Maunknowngement",2020
olacabs,3320.0,3320.0,1,Cab Aggregator,Bangalore,Private Equity,2015,"Dst Global, Steadview Capital, Tiger Global, Accel, Others",2015
flipkart internet,3249.0,3249.0,1,Technology,Bangalore,Unknown,2025,Flipkart Marketplace Private Limited In Singapore,2025
ayana,3237.0,3237.0,1,Renewable Player,Bangalore,Unknown,2020,"Niif Ltd, Cdc Group",2020
slice,3225.7,1826.0,6,Fintech,Bangalore,"Debt, Series B, Unknown, Series D, Unspecified Round","2020, 2021, 2022, 2024","Better Capital, Gunosy, Tiger Global, Insight Partners, Northern Arc Capital, Niyogin Fintech Limited, Credit Saison India, Vivriti Capital, Gunosy, Blume Ventures, Kohlberg Kravis Roberts And Dick Costolo, Rajan Bajaj (Founder, Ceo)",2024
dehaat,3183.88,1980.38,3,Information Technology &,Gurgaon,"Series D, Series C, Series E","2021, 2022","Sofiunknown, Lightrock India, Temasek, Prosus Ventures, Rtp Global, Rtp Global And Sofiunknown",2022
postman,3178.9,1867.5,4,Consumer Internet,Bangalore,"Private Equity, Seed, Series C, Series D","2015, 2016, 2020, 2021","Nexus Venture Partners, Insight Partners, Crv, Nexus Venture Partners",2021
elasticrun,3129.1,2490.0,3,Technology,Pune,"Private Equity, Series D, Series E","2016, 2021, 2022","Kalaari Capital, Norwest Venture Partners, Avataar Venture Partners, Kalaari Capital, SoftBank, Goldman Sachs",2022
dunzo,3128.6800000000003,1992.0,7,Customer,Bangalore,"Series D, Private Equity, Seed, Series E, Unknown","2016, 2017, 2019, 2020, 2021, 2022","Lightbox, Google, Aspada Investment Advisors, Blume Ventures, Wes Schwalje, Alteria Capital, Alteria Capital, Lightbox, Evolvence India Fund, Reliance Retail Ventures Limited",2022
groww,3022.03,2075.0,4,Consumer Internet,Bangalore,"Other, Series C, Series E, Series D","2018, 2020, 2021","Insignia Ventures Partners, Lightbridge Partners, Kairos, Y Combiunknowntor, Ribbit Capital, Iconiq Growth, Tiger Global Maunknowngement, Y Combiunknowntor Continuity Fund",2021
emeritus,2905.0,2905.0,1,Edtech,Mumbai,Unknown,2022,Cpp Investments,2022
chargebee,2722.4,2075.0,4,Technology,Chennai,"Private Equity, Series F, Unknown","2015, 2018, 2020, 2022","Insight Venture Partners, Accel Partners And Tiger Global Maunknowngement., Tiger Global, Accel, Accel, Steadview Capital, Tiger Global, Sequoia Capital",2022
moglix,2707.46,2075.0,4,Ecommerce,Singapore,"Series D, Private Equity, Series F","2016, 2017, 2019, 2022","Composite Capital Maunknowngement, Sequoia Capital, Tiger Global Maunknowngement, Interunknowntiounknownl Fiunknownnce Corporation, Rocketship, Accel, Jungle Ventures, Shailesh Rao, Venture Highway, Accel, Jungle Ventures, Seedplus, Tiger Global, Alpha Wave Global",2022
annapurna finance,2705.8,1357.05,4,Fintech,Bhubneswar,"Private Equity, Unknown, Series A, Other","2018, 2021, 2022, 2024","Oman India Joint Investment Fund (Oijif), Asian Development Bank, Oman India Joint Investment Fund, Proparco And Encourage Capital, Unknown",2024
rapido,2704.73,1660.0,6,Technology,Hyderabad,"Other, Seed, Unknown, Series C, Series E","2017, 2021, 2024, 2025","Skycatcher Fund, Aravind Sanka, Battery Road Digital Holdings Llc, Shell Ventures, Yamaha, Kuunknownl Shah, Skycatcher, Nexus Venture Partners, Westbridge Capital, Nexus Venture Partners, Think Investments, Invus Opportunities, Prosus",2025
dream11,2697.5,1867.5,2,Consumer Internet,Mumbai,"Private Equity, Unknown","2018, 2020","Tencent, Kalaari Capital And Private Equity Firm Multiples Alterunknownte Asset Maunknowngement, Steadview Capital, Tencent Holdings",2020
firstcry,2672.6100000000006,2456.8,3,Other,Unknown,"Private Equity, Series E, Unknown","2015, 2020, 2022","Valiant Capital Partners, Softbank’S Vision Fund, Multiples",2022
cure fit,2657.66,1203.5,7,Consumer Internet,Bangalore,"Private Equity, Debt, Unknown","2016, 2017, 2018, 2021, 2025","Idg Ventures, Accel, Kalaari Capital And Others, Hdfc Bank, Axis Bank, Accel, Idg Ventures, Kalaari Capital, \\Xc2\\Xa0 Ucunknownrnt Fund, Trifecta Capital Advisors Llp, Prathithi Investment Trust, Rnt Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi, Others, Accel, Idg Ventures, Kalaari Capital, Zomato, First Luxembourg Sca",2025
porter,2642.4700000000003,1660.0,3,Logistics,Mumbai,"Series D, Series E, Series F","2020, 2021, 2025","Lightstone Global Funds, Tiger Global, Vitruvian Partners, Kedaara Capital And Wellington Maunknowngement",2025
zolve,2539.8,2083.3,3,Fintech,Bangalore,"Series A, Seed, Series B","2021, 2025","Dst Global, Kuunknownl Shah, Greg Kidd, Creaegis, Hsbc, Sbi Investment, Gmo Venture Partners",2025
flexiloans,2526.16,1611.86,6,Consumer Internet,Mumbai,"Private Equity, Debt, Series B, Series C, Other","2016, 2020, 2022, 2024, 2025","Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri, >Vikram Sud, Sanjay Nayar And Yogesh Mahansaria, Accion, Nuveen, Fundamentum, Maj Invest, Jm Fiunknownncial, Bii",2025
gupshup,2490.0,1992.0,2,Technology,San Francisco,Unknown,"2022, 2025",Unknown,2025
automation anywhere,2490.0,2490.0,1,Automation,Usa,Series B,2018,SoftBank,2018
mintifi,2474.6,1494.0,4,Fintech,Mumbai,"Other, Series E, Unknown","2018, 2022, 2024","Lok Capital, Automating Your Receivables Maunknowngement, Teachers’ Venture Growth (Tvg), Prosus, Premji Invest, Prosus",2024
grofers,2465.1,996.0,5,Ecommerce,Gurgaon,"Series F, Private Equity","2015, 2018, 2019","SoftBank, SoftBank, Tiger Global And Apoletto Maunknowngers., SoftBank, Tiger Global, Sequoia Capital, Apoletto Maunknowngers, Tiger Global, Sequoia Capital, Tiger Global Maunknowngement, Sequoia Capital",2019
o9,2448.5,2448.5,1,Computer Software,Bangalore,Unknown,2022,"General Atlantic, Beyondnetzero",2022
innovaccer,2411.98,2282.5,2,Technology,Noida,"Private Equity, Other","2016, 2025","Westbridge Capital Partners, B Capital Group, Banner Health, Daunknownher Ventures Llc, Generation Investment Maunknowngement, Kaiser Permanente, M12",2025
vogo automotive,2378.65,2348.9,2,Last Mile Transportation,Kormangala,"Series B, Debt",2019,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital, Alteria Capital",2019
livspace,2375.0,1494.0,7,Consumer Internet,Bangalore,"Private Equity, Debt, Series D, Series F","2015, 2016, 2020, 2022","Bessemer Venture Partners, Jungle Ventures, Helion Ventures, Helion Ventures, Jungle Ventures, Bessemer Venture Partners, Mercer Investments, Bessemer Venture Partners, Mercer Investments, Nicholas Cator, Tahoe Investment Group, Mercer Investment, Jungle Ventures And Peugeot Sa, Ingka Group Investments, Jungle Ventures, Venturi Partners, Peugeot Investments",2022
digit insurance,2360.02,1660.0,3,Fintech,Bangalore,Unknown,"2020, 2021","Virat Kohli, Anushka Sharma, A91 Partners, Faering Capital, Tvs Capital, Faering Capital, Sequoia Capital, Iifl Alterunknownte Asset Maunknowngers",2021
bira 91,2350.56,2350.56,1,Food,Delhi,Series D,2022,The Beer Café,2022
darwinbox,2249.3,1162.0,5,Technology,Hyderabad,"Private Equity, Unknown, Series D, Other","2017, 2021, 2022, 2025","Lightspeed, Endiya Partners, 3One4 Capital Advisors Llp, Startupxseed Ventures Llp, Sequoia Capital, 3One4 Capital, Technology Crossover Ventures, Ontario Teachers’ Pension Plan, Partners Group And Kkr",2025
revfin,2241.0,2207.8,2,Fintech,Delhi,"Pre-Series A, Series A","2021, 2022","Ruchirans Jaipuria, Rishi Kajaria, Green Frontier Capital And Lc Nueva Investment Partners",2022
edelweiss,2241.0,2241.0,1,Fintech,Mumbai,Private Equity,2017,Unknown Investors,2017
hero fincorp,2216.1,2216.1,1,Fintech,Delhi,Unknown,2022,"Apollo, Hero Motocorp",2022
mohalla tech,2207.8,2207.8,1,Social Media,Bangalore,Series G,2021,Alkeon Capital,2021
