Company,Sector,Headquarters,Amount,Funding_Round_Type,Lead_Investors,Year,Month
Moglix,E-Commerce,Singapore,"6,00,00,000",Series D,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",2019,July
Ezyhaul,Tech,Singapore,"1,60,00,000",Series B,Undisclosed,2019,July
Indus OS,Tech,Andheri,"57,50,000",Series B,Ventureast,2019,July
HealthAssure,Health Care,Mumbai,"25,00,000",Series A,Blume Ventures,2019,July
House of Msasaba,Luxury Label,Mumbai,"10,00,000",Series A,Binny Bansal,2019,July
Board Infinity,EdTech,Chembur,"3,19,605",Angel Round,Multiple Angel Investors,2019,July
NoBroker,E-Commerce,Bengaluru,"5,10,00,000",Series C,General Atlantic,2019,June
Bira91,Food and Beverage,New Delhi,"1,00,00,000",Debt Funding,Anicut Capital,2019,June
FabHotels,E-Commerce,Gurgaon,"48,89,975.54",,"Goldman Sachs, Accel Partners and Qualcomm",2019,June
Avail Finance,Finance,Bengaluru,"90,00,000",Series A,Matrix Partners,2019,June
BharatPe,Finance,New Delhi,"7,50,00,000",Series B,Insight Partners,2019,June
Recykal,Waste Management Service,Hyderabad,"2,60,00,000",pre-Series A,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",2019,June
Agara Labs,Deep-Tech,Bengaluru,"25,00,000",pre-Series A,Blume Ventures and RTP Global,2019,June
Sistema.bio,Agriculture,Nairobi,"27,39,034.68",,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",2019,June
Chakr Innovation,Energy,New Delhi,"2,60,00,000",Series A,IAN Fund,2019,June
Pratilipi,Digital Media,Bengaluru,"1,51,09,500.00",Series B,Qiming Venture Partners,2019,June
Bolo App,Digital Media,Bengaluru,"4,30,200",Seed Funding,Nexus Venture Partners,2019,June
OkCredit,FinTech,Haryana,"1,55,00,000",Series A,Tiger Global Management,2019,June
Biz2Credit,FinTech,New York,"5,20,00,000",Series B,WestBridge Capital,2019,June
Vogo Automotive Pvt. Ltd.,Transportation,Karnataka,"35,84,000",Debt Funding,Alteria Capital,2019,June
Leegality,Services,Mumbai/Bengaluru,"34,00,000",Series A,Mumbai Angels,2019,June
Ola Electric,Transport,Bengaluru,undisclosed,Series A,Tata Sons,2019,May
Saahas Zero Waste,Waste Management Service,Bengaluru,"8,68,600",Venture - Series Unknown,C4D Partners,2019,May
StyleDotMe,E-commerce,Delhi,undisclosed,Bridge Round,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",2019,May
BlackBuck,Transport,Bengaluru,"15,00,00,000",Series D,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",2019,May
Zenoti,Saas,Hyderabad,"5,00,00,000",Series C,Tiger Global Management,2019,May
Ather Energy,Automobile,Bengaluru,"5,10,00,000",Series C,Sachin Bansal,2019,May
FreshVnF,Agtech,Mumbai,"14,00,00,000",Seed Round,Equanimity Ventures,2019,May
GlowRoad,E-commerce,Bengaluru,"1,15,00,000",Series B,"Korea Investment Partners, Vertex Ventures",2019,May
Bira91,Food and Beverage,New Delhi,"56,00,000",Series B,Sixth Sense Ventures,2019,May
Kuvera,Finance,Bengaluru,"4,50,00,000",Series A,Eight Roads,2019,April
Medlife,E-commerce,Bengaluru,"1,70,00,000",Private Equity,Prasid Uno Family Trust,2019,April
Kabadiwala,E-commerce,Bhopal,"4,30,665",Private Equity,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",2019,April
Tripoto,Social Media,New Delhi,"35,91,375",Series B,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",2019,April
Azah,Health and Wellness,Gurugram,"2,00,000",Seed Funding,Unnamed angel investors,2019,April
Setu,Fintech,Bengaluru,"35,00,000",Seed Funding,Lightspeed India Partners,2019,April
Toppr,Edtech,Mumbai,"63,20,820",Debt and Preference capital,Milestone,2019,April
Craftsvilla,E-commerce,Mumbai,"24,43,495",Inhouse Funding,Supera Pte Ltd,2019,April
Unacademy,Edtech,Bengaluru,"3,07,000",Seed/ Angel Funding,Kalyan Krishnamurthy,2019,April
CleverTap,SaaS,Mumbai,"2,60,00,000",Series B,"Sequoia India, Tiger Global Management, Accel Partners",2019,April
My Healthcare,E-commerce,Bengaluru and Gurugram,"30,00,000",Series A,Sixth Sense Ventures,2019,April
KrazyBee,E-commerce,Bengaluru,"14,342,000+",Debt,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",2019,April
Shuttl,Transportation,Gurugram,"50,00,000",Venture Round,New Atlantic Ventures,2019,April
Increff,Technology,Bengaluru,"30,00,000",Series A,"021 Capita, Binny Bansal",2019,April
FleetX,AI,Gurgaon,Undisclosed,Pre Series A,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,2019,February
Zilingo,Ecommerce,India/Singapore,"22,60,00,000",Series D,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",2019,February
NanoClean Global,Nanotechnology,New Delhi,"6,00,000",Series A,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",2019,February
OyoRooms,Hospitality,Gurgaon,"10,00,00,000",Equity,DiDi Chuxing,2018,February
CarDekho,Automobile,Jaipur,"11,00,00,000",Series C,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",2019,January
Vyome Therapeutics Inc.,Health and Wellness,India/US,"2,20,00,000",Series D,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",2019,January
Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Chennai,"50,00,000",Debt-Funding,"MASSIF, a Dutch government fund",2019,January
Manch,Social Media,Delhi,"7,00,000",Seed Funding,Stellaris Venture Partners,2018,December
UrbanClap Technologies Pvt. Ltd,Services Platform,New Delhi,"5,00,00,000",Series D,Steadview Capital and Vy Capital.,2018,December
Guiddoo,Travel Tech,Mumbai,"8,00,000",Pre-Series A,Individual Investors,2018,December
Career Anna,Online Education,Gurugram,"5,72,000",Pre-Series A,Individual Investors,2018,December
Nagpur Wholesale,Online Marketplace,Nagpur,"1,43,000",Seed Funding,Omphalos Ventures India LLP,2018,December
ShopKirana,B2B,Indore,"20,00,000",Seed Funding,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",2018,December
BuildSupply,"SaaS, Ecommerce",Gurugram,"35,00,000",Series A,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",2018,December
GoDesi,Food and Beverage,Bengaluru,"1,38,995",Seed/ Angel Funding,Lead Angels Network,2018,November
Veritas Finance Ltd.,NBFC,Chennai,"2,77,99,000",Series D,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",2018,November
Meesho,Ecommerce,Bengaluru,"5,00,00,000",Series C,"Shunwei Capital, DST Partners and RPS Ventures",2018,November
Mobile Premier League,Gaming,Bengaluru,"5,00,000",Series A,Undisclosed,2018,November
A&R Bon Vivants,Food,Jaipur,"10,00,000",Equity,"RB Investments, Singapore",2018,November
