Company_Cleaned,Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month,Month_Num,Date
ecozen,Technology,Pune,49.8,Series A,Sathguru Catalyzer Advisors,2019,December,12,2019-12-01
car dekho,Ecommerce,Gurgaon,581.0,Series D,Ping An Global Voyager Fund,2019,December,12,2019-12-01
dhruva space,Aerospace,Bangalore,415.0,Seed,"Mumbai Angels, Ravikanth Reddy",2019,December,12,2019-12-01
rivigo,Technology,Gurgaon,166.0,Series F,"Saif Partners, Spring Canter Investment Ltd.",2019,December,12,2019-12-01
healthians,B2Bfocused Foodtech,Bangalore,99.6,Series C,"Paytm, Nptk, Sabre Partners And Neoplux",2019,December,12,2019-12-01
licious,Ecommerce,Bangalore,249.0,Series E,Vertex Growth Fund,2019,December,12,2019-12-01
incred,Fintech,Mumbai,48.97,Debt,Unknown,2019,December,12,2019-12-01
trell,Video,Bangalore,16.6,Seed,Ruizheng Investment,2019,December,12,2019-12-01
rein games,Gaming,Noida,415.0,Seed,Manipal Education And Medical Group (Memg),2019,December,12,2019-12-01
lenskartcom,Ecommerce,Faridabad,1917.3,Series G,SoftBank,2019,December,12,2019-12-01
freshworks,Software,San Francisco,1245.0,Series H,"Sequoia Capital, Capitalg, Accel",2019,November,11,2019-11-01
misters,Healthcare,Gurgaon,4.03,Series B,"Sauce.Vc, Rainforest Ventures",2019,November,11,2019-11-01
sunstone eduversity,Edtech,Gurgaon,12.45,Seed,"Prime Venture Partners, Letsventure, Ps1 Venture And Globallogic Counknownfounder Rajul Garg",2019,November,11,2019-11-01
healthians,Healthcare,Gurgaon,99.6,Series B,"Dg Daiwa Ventures, Dg Incubation",2019,November,11,2019-11-01
ninjacart,B2B Marketing,Bangalore,215.8,Debt,Trifecta Capital Advisors,2019,November,11,2019-11-01
aye finance,Fintech,Gurgaon,144.51,Debt,Fintech,2019,November,11,2019-11-01
supergaming,Video Games,Pune,10.79,Seed,Dream Incubator,2019,November,11,2019-11-01
clumio,SaaS,San Jose,1120.5,Series C,"Altimeter Capital, Sutter Hill Ventures",2019,November,11,2019-11-01
ebikego,Last Mile Transportation,Amritsar,2.49,Seed,Startup Buddy,2019,November,11,2019-11-01
digital mall asia,Ecommerce,Delhi,1826.0,Seed,Amour Infrastructure,2019,November,11,2019-11-01
medikabazaar,Healthcare,Mumbai,131.14,Series B,"Ackermans, Van Haaren, Healthquad, Rebright Partners, Toppan Printing",2019,November,11,2019-11-01
vogo automotive,Last Mile Transportation,Kormangala,2348.9,Series B,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",2019,November,11,2019-11-01
furtados school of music,Edtech,Tulangan,1660.0,Unknown,Ian Fund And Dsg Consumer Partners,2019,November,11,2019-11-01
paytm,Fintech,Noida,8300.0,Unspecified Round,Vijay Shekhar Sharma,2019,November,11,2019-11-01
dunzo,Customer,Bangalore,373.5,Series D,Lightbox,2019,October,10,2019-10-01
udaan,B2B,Bangalore,4855.5,Series D,"Altimeter Capital, Dst Global",2019,October,10,2019-10-01
fpl,Fintech,Pune,37.35,Other,"Matrix Partners, Sequoia India",2019,September,9,2019-09-01
cashflo,Fintech,Mumbai,27.39,Series A,Saif Partners,2019,September,9,2019-09-01
digital f5,Advertising Marketing,Mumbai,49.8,Private Equity,Tiw Private Equity,2019,September,9,2019-09-01
3rdflix,SaaS,Hyderabad,41.5,Pre-Series A,Exfinity Venture Partners,2019,September,9,2019-09-01
75f,Iot,Burnsville,149.4,Series A,Breakthrough Energy Ventures,2019,September,9,2019-09-01
myelin foundry,Information Technology,Bangalore,8.3,Seed,Endiya Partners,2019,September,9,2019-09-01
atomberg technology,Consumer Technology,Mumbai,83.0,Series A,A91 Partners,2019,September,9,2019-09-01
goqii,Healthcare,Menlo Park,3735.0,Series C,Bennett Coleman And Company Ltd (Bccl),2019,September,9,2019-09-01
vyapar app,Accounting,Bangalore,41.5,Series A,"India Quotient, Axilor Ventures",2019,September,9,2019-09-01
car dekho,Ecommerce,Gurgaon,166.0,Series C,Sc Gg India Mobility Holdings Llc,2019,August,8,2019-08-01
progcap,Fintech,Delhi,41.5,Series A,Sequoia India,2019,August,8,2019-08-01
mypetrolpump,Retail,Bangalore,13.28,Seed,Unknown,2019,August,8,2019-08-01
alteria capital,Fintech,Mumbai,1162.0,Other,"Azim Premji, Binny Bansal",2019,August,8,2019-08-01
pine labs,Information Technology,Noida,316.06,Other,Pine Labs Pte Ltd,2019,August,8,2019-08-01
meesho,Ecommerce,Bangalore,1037.5,Series D,Naspers,2019,August,8,2019-08-01
cars24,Ecommerce,Gurgaon,91.3,Series D,Ms Dhoni,2019,August,8,2019-08-01
uniphore,Customer,Palo Alto,423.3,Series C,March Capital Partners,2019,August,8,2019-08-01
zendrive,Automotive,San Francisco,307.1,Series B,Xl Innovate,2019,August,8,2019-08-01
lo foods,Consumer Goods,Bangalore,4.15,Seed,"Rashmi Daga (Founder, Freshmenu), Raveen Sastry (Counknownfounder, Myntra) And Mitesh Shah (Fiunknownnce Chief, Bookmyshow)",2019,August,8,2019-08-01
tala,Fintech,Santa Monica,913.0,Series D,Rps Ventures,2019,August,8,2019-08-01
indwealth,Fintech,Gurgaon,124.5,Venture,Tiger Global Maunknowngement,2019,August,8,2019-08-01
hungerbox,Food,Bangalore,54.7,Series C,One97 Communications Ltd.,2019,August,8,2019-08-01
admitkard,Edtech,Noida,8.3,Seed,Growth Dna,2019,August,8,2019-08-01
grofers,Ecommerce,Gurgaon,581.0,Series F,SoftBank,2019,August,8,2019-08-01
rapido bike taxi,Transportation,Bangalore,0.27,Series B,Westbridge Capital,2019,August,8,2019-08-01
renewbuy,Fintech,Gurgaon,157.7,Series B,"Lok Capital, Iifl Wealth",2019,July,7,2019-07-01
atlan,Information Technology,Singapore,20.75,Pre-Series A,Waterbridge Ventures,2019,July,7,2019-07-01
wizcounsel,Compliance,Delhi,1.2,Angel,Kapil Dev,2019,July,7,2019-07-01
ola,Transport,Kormangala,8.3,Series J,"Dig Investment Ab, Deshe Holdings, Samih Toukan And Hussam Khoury",2019,July,7,2019-07-01
uniphore,AI,Taramani,316.06,Series C,March Capital Partners,2019,July,7,2019-07-01
daalchini,Food,Delhi,4.15,Seed,Artha Venture,2019,July,7,2019-07-01
byjus,Edtech,Bangalore,1245.0,Private Equity,Qatar Investment Authority,2019,July,7,2019-07-01
moglix,Ecommerce,Singapore,498.0,Series D,"Composite Capital Maunknowngement, Sequoia Capital, Tiger Global Maunknowngement",2019,July,7,2019-07-01
ezyhaul,Technology,Singapore,132.8,Series B,Unknown,2019,July,7,2019-07-01
indus os,Technology,Andheri,47.73,Series B,Ventureast,2019,July,7,2019-07-01
healthassure,Healthcare,Mumbai,20.75,Series A,Blume Ventures,2019,July,7,2019-07-01
house of msasaba,Luxury Label,Mumbai,8.3,Series A,Binny Bansal,2019,July,7,2019-07-01
board infinity,Edtech,Chembur,2.65,Angel,Multiple Angel Investors,2019,July,7,2019-07-01
nobroker,Ecommerce,Bangalore,423.3,Series C,General Atlantic,2019,June,6,2019-06-01
bira91,Food,Delhi,83.0,Debt,Anicut Capital,2019,June,6,2019-06-01
fab hotels,Ecommerce,Gurgaon,40.59,Unknown,"Goldman Sachs, Accel Partners And Qualcomm",2019,June,6,2019-06-01
avail finance,Fintech,Bangalore,74.7,Series A,Matrix Partners,2019,June,6,2019-06-01
bharat pe,Fintech,Delhi,622.5,Series B,Insight Partners,2019,June,6,2019-06-01
recykal,Waste Management,Hyderabad,215.8,Pre-Series A,"Triton Investment Advisors, Pidilite Industries Director Ajay Parekh",2019,June,6,2019-06-01
agara labs,Deeptech,Bangalore,20.75,Pre-Series A,Blume Ventures And Rtp Global,2019,June,6,2019-06-01
sistemabio,Agritech,Nairobi,22.73,Unknown,"Shell Foundation, Dila Capital, Engie Rde Fund, Ecoenterprise Fund, Edfimc (Electrifi), Endeavor Catalyst Fund, Cocapital, Triodos, Alpha Mundi, And Lendahand",2019,June,6,2019-06-01
chakr innovation,Energy,Delhi,215.8,Series A,Ian Fund,2019,June,6,2019-06-01
pratilipi,Digital Media,Bangalore,125.41,Series B,Qiming Venture Partners,2019,June,6,2019-06-01
bolo app,Digital Media,Bangalore,3.57,Seed,Nexus Venture Partners,2019,June,6,2019-06-01
okcredit,Fintech,Haryana,128.65,Series A,Tiger Global Maunknowngement,2019,June,6,2019-06-01
biz2credit,Fintech,New York,431.6,Series B,Westbridge Capital,2019,June,6,2019-06-01
vogo automotive,Transportation,Karnataka,29.75,Debt,Alteria Capital,2019,June,6,2019-06-01
leegality,Technology,Mumbai,28.22,Series A,Mumbai Angels,2019,June,6,2019-06-01
saahas zero waste,Waste Management,Bangalore,7.21,Other,C4D Partners,2019,May,5,2019-05-01
black buck,Transport,Bangalore,1245.0,Series D,"Goldman Sachs Investment Partners And Silicon Valleyunknownbased Accel, Wellington, Sequoia Capital, B Capital, Lightstreet, Sands Capital And Interunknowntiounknownl Fiunknownnce Corporation",2019,May,5,2019-05-01
zenoti,SaaS,Hyderabad,415.0,Series C,Tiger Global Maunknowngement,2019,May,5,2019-05-01
ather energy,Automobile,Bangalore,423.3,Series C,Sachin Bansal,2019,May,5,2019-05-01
freshvnf,Agtech,Mumbai,1162.0,Seed,Equanimity Ventures,2019,May,5,2019-05-01
glowroad,Ecommerce,Bangalore,95.45,Series B,"Korea Investment Partners, Vertex Ventures",2019,May,5,2019-05-01
bira91,Food,Delhi,46.48,Series B,Sixth Sense Ventures,2019,May,5,2019-05-01
kuvera,Fintech,Bangalore,373.5,Series A,Eight Roads,2019,April,4,2019-04-01
medlife,Ecommerce,Bangalore,141.1,Private Equity,Prasid Uno Family Trust,2019,April,4,2019-04-01
kabadiwala,Ecommerce,Bhopal,3.57,Private Equity,"Unilever, Beehive Capital Advisor, Abcom Investments, Parekh Marine Transport",2019,April,4,2019-04-01
tripoto,Social Media,Delhi,29.81,Series B,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (Formerly Idg Ventures), 3One4 Capital, Lasmer Nv",2019,April,4,2019-04-01
azah,Healthcare,Gurgaon,1.66,Seed,Ununknownmed Angel Investors,2019,April,4,2019-04-01
setu,Fintech,Bangalore,29.05,Seed,Lightspeed,2019,April,4,2019-04-01
toppr,Edtech,Mumbai,52.46,Debt + Equity,Milestone,2019,April,4,2019-04-01
craftsvilla,Ecommerce,Mumbai,20.28,Other,Supera Pte Ltd,2019,April,4,2019-04-01
unacademy,Edtech,Bangalore,2.55,Other,Kalyan Krishunknownmurthy,2019,April,4,2019-04-01
clevertap,SaaS,Mumbai,215.8,Series B,"Sequoia India, Tiger Global Maunknowngement, Accel",2019,April,4,2019-04-01
my healthcare,Ecommerce,Bengaluru And Gurugram,24.9,Series A,Sixth Sense Ventures,2019,April,4,2019-04-01
krazybee,Ecommerce,Bangalore,119.04,Debt,"Bac Acquisitions, Unifi Aif, Brd Securities, Northern R Capital",2019,April,4,2019-04-01
shuttl,Transportation,Gurgaon,41.5,Venture,New Atlantic Ventures,2019,April,4,2019-04-01
increff,Technology,Bangalore,24.9,Series A,"021 Capita, Binny Bansal",2019,April,4,2019-04-01
zilingo,Ecommerce,India,1875.8,Series D,"Sequoia Capital And Temasek Holdings, Edbi, Burda Principal Investments, And Sofiunknown",2019,February,2,2019-02-01
nanoclean global,Nanotechnology,Delhi,4.98,Series A,"Letsventure, Pitchright Venture, 91Springboard, Al Nour Interunknowntiounknownl Holdings And Mark V Investments",2019,February,2,2019-02-01
oyorooms,Hospitality,Gurgaon,830.0,Other,Didi Chuxing,2018,February,2,2018-02-01
car dekho,Automobile,Jaipur,913.0,Series C,"Sequoia India, Hillhouse Capital, Alphabet\\Xe2\\X80\\X99S Growth Investment Arm Capital G And Axis Bank",2019,January,1,2019-01-01
vyome therapeutics,Healthcare,India,182.6,Series D,"Iron Pillar, Perceptive Advisors, Romulus Capital And Kalaari Capital",2019,January,1,2019-01-01
samunnati financial,Fintech,Chennai,41.5,Debt,"Massif, A Dutch Government Fund",2019,January,1,2019-01-01
manch,Social Media,Delhi,5.81,Seed,Stellaris Venture Partners,2018,December,12,2018-12-01
urbanclap,Technology,Delhi,415.0,Series D,Steadview Capital And Vy Capital.,2018,December,12,2018-12-01
guiddoo,Travel,Mumbai,6.64,Pre-Series A,Individual Investors,2018,December,12,2018-12-01
career anna,Edtech,Gurgaon,4.75,Pre-Series A,Individual Investors,2018,December,12,2018-12-01
nagpur wholesale,Online,Nagpur,1.19,Seed,Omphalos Ventures India Llp,2018,December,12,2018-12-01
shop kirana,B2B,Indore,16.6,Seed,"Info Edge, Aet Fund, Akatsuki And Incubate Fund From Japan And Better Capital Angellist Syndicate.",2018,December,12,2018-12-01
buildsupply,SaaS,Gurgaon,29.05,Series A,"Venture Highway, Gree Ventures, Space Matrix, Individual Investors",2018,December,12,2018-12-01
godesi,Food,Bangalore,1.15,Other,Lead Angels Network,2018,November,11,2018-11-01
veritas finance,Fintech,Chennai,230.73,Series D,"Norwest Venture Partners, Cdc Group, The Uk\\Xe2\\X80\\X99S Development Fiunknownnce Institution And P Surendra Pai",2018,November,11,2018-11-01
meesho,Ecommerce,Bangalore,415.0,Series C,"Shunwei Capital, Dst Partners And Rps Ventures",2018,November,11,2018-11-01
mobile premier league,Gaming,Bangalore,4.15,Series A,Unknown,2018,November,11,2018-11-01
ar bon vivants,Food,Jaipur,8.3,Other,"Rb Investments, Singapore",2018,November,11,2018-11-01
black buck,Food,New York,8.3,Series A,Tiger Global,2018,November,11,2018-11-01
milkbasket,Food,Delhi,10.79,Series B,Mayfield Fund,2018,November,11,2018-11-01
driveu,Transport,Bangalore,8.3,Other,Stevens Creek Ventures,2018,November,11,2018-11-01
cleansecar,Technology,Bangalore,4.15,Other,Venture Catalysts,2018,November,11,2018-11-01
automation anywhere,Automation,Usa,2490.0,Series B,SoftBank,2018,November,11,2018-11-01
healthifyme,Healthcare,Bangalore,49.8,Other,"Sistema Asia Fund, Vc Samsung Next, Chiratae Ventures, Inventus Capital, Blume Ventures And Innoven Capital.",2018,November,11,2018-11-01
genius corner,Edtech,Noida,2.31,Seed,Individual Investors,2018,November,11,2018-11-01
aavishkaarintellecap,Investment,Mumbai,257.3,Other,Teachers Insurance And Annuity Association (Tiaa),2018,November,11,2018-11-01
signzy,Fintech,Mumbai,28.22,Series A,"Stellaris Venture Partners And Kalaari Capital, Rajan Aunknownndan From Google, Dilip Khandwelwal From Sap Labs India, And Amrish Rau From Payu India",2018,November,11,2018-11-01
engineerai,Software,India,244.85,Series A,"Lakestar And Jungle Ventures, Softbank\\Xe2\\X80\\X99S Deepcore.",2018,November,11,2018-11-01
incred finance,Fintech,India,348.6,Private Equity,"Paragon Partners, Individual Investors",2018,November,11,2018-11-01
roposo,Social Media,Delhi,14.11,Series B,Bertelsmann India Investments,2018,November,11,2018-11-01
origo commodities,Logistics,Hyderabad,91.3,Other,"Cooperative Oikocredit, Caspian And Hivosunknowntriodos Fund",2018,October,10,2018-10-01
grover zampa,Food,Mumbai,68.06,Private Equity,Ravi Viswaunknownthan,2018,October,10,2018-10-01
droom,Automobile,Gurgaon,24.9,Series E,Zigexn,2018,October,10,2018-10-01
innov8,Real Estate,Delhi,33.2,Pre-Series A,Credence Family Office,2018,October,10,2018-10-01
black buck,Logistics,Bangalore,121.84,Other,Sequoia Capital,2018,October,10,2018-10-01
letstransport,Logistics,Bangalore,99.6,Series C,Fosun Interunknowntiounknownl,2018,October,10,2018-10-01
netmeds,Consumer Internet,Chennai,290.5,Private Equity,"Sistema Asia Fund, Sistema Jsfc And Tanncam Investment",2018,September,9,2018-09-01
udaan,B2B,Bangalore,1867.5,Private Equity,Dst Global And Lightspeed Venture Partners\\Xe2\\X80\\X99 Global Fund.,2018,September,9,2018-09-01
daily hunt,Consumer Internet,Bangalore,53.04,Private Equity,Falcon Edge,2018,September,9,2018-09-01
3hcare,Healthcare,Delhi,8.3,Other,Unknown,2018,September,9,2018-09-01
nykaa,Consumer Internet,Mumbai,1304.76,Private Equity,Lighthouse,2018,September,9,2018-09-01
dream11,Consumer Internet,Mumbai,830.0,Private Equity,"Tencent, Kalaari Capital And Private Equity Firm Multiples Alterunknownte Asset Maunknowngement",2018,September,9,2018-09-01
mamaearth,Healthcare,Gurgaon,33.2,Private Equity,"Stellaris Ventures, Others",2018,September,9,2018-09-01
autogrid,Technology,Bangalore,265.6,Private Equity,"Clp Holdings Group, Innogy, \\Xc3\\X98Rstead, And Teunknownska",2018,September,9,2018-09-01
pharmeasy,Consumer Internet,Mumbai,45.65,Debt,Innoven Capital,2018,September,9,2018-09-01
upwards,Fintech,Mumbai,41.5,Private Equity,"Shunwei Capital, Quotient, Mayfield, Others",2018,September,9,2018-09-01
kissht,Fintech,Mumbai,249.0,Private Equity,"Vertex Ventures Southeast Asia (Sea) And India And Sistema Asia Fund, Fosun Rz Capital, Ventureast, And Endiya Partners.\\N\\N",2018,September,9,2018-09-01
dishq,Food,Bangalore,3.32,Other,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth And Artesian Venture Partners",2018,August,8,2018-08-01
samosa labs,Consumer Internet,Hyderabad,58.1,Private Equity,Xiaomi And Sequoia Capital India,2018,August,8,2018-08-01
ziffyhomes,Consumer Internet,Gurgaon,1.0,Private Equity,Y Combiunknowntor,2018,August,8,2018-08-01
my omnamo,Consumer Internet,Mumbai,8.3,Other,Unknown,2018,August,8,2018-08-01
shopx,Consumer Internet,Bangalore,290.5,Private Equity,Fung Strategic Holdings,2018,August,8,2018-08-01
makemytrip,Consumer Internet,Gurgaon,83.0,Private Equity,Makemytrip Limited,2018,August,8,2018-08-01
hansel io,Consumer Internet,Bangalore,33.2,Other,Vertex Ventures,2018,August,8,2018-08-01
metro bikes,Consumer Internet,Bangalore,101.26,Private Equity,"Sequoia Capital India Advisors, Accel Partners And G Raghuunknownndan",2018,August,8,2018-08-01
phone pe,Consumer Internet,Bangalore,547.8,Private Equity,Flipkart,2018,August,8,2018-08-01
quizizz,Edtech,Bangalore,24.9,Other,"Nexus Venture Partners, Prime Venture Partners And Others",2018,August,8,2018-08-01
happy emi,Fintech,Bangalore,8.3,Other,Aj Ventures And Jain Interunknowntiounknownl Trade Organisation (Jito),2018,August,8,2018-08-01
inthree,Consumer Internet,Chennai,33.2,Other,"Ventureast, Orios Venture Partners And The Ian Fund",2018,August,8,2018-08-01
observe ai,Technology,Bangalore,66.4,Private Equity,"Nexus Venture Partners, Mgv, Liquid 2 Ventures, Hack Vc, Emergent Ventures And Y Combiunknowntor",2018,August,8,2018-08-01
enakshi,Consumer Internet,Ahemadabad,0.95,Other,Unknown,2018,August,8,2018-08-01
eazydiner,Consumer Internet,Gurgaon,48.55,Private Equity,Denlow Investment Trust And Beenext,2018,August,8,2018-08-01
finzy,Fintech,Bangalore,8.3,Other,Unknown,2018,August,8,2018-08-01
rawpressery,Consumer Internet,Mumbai,39.84,Debt,Alteria Capital,2018,August,8,2018-08-01
pi ventures,Technology,Bangalore,49.8,Private Equity,Cdc Group Plc\\Xc2\\Xa0,2018,August,8,2018-08-01
revv,Consumer Internet,Gurgaon,118.44,Private Equity,"Hyundai, Edelweiss And Beenext, Dream Incubator, Sunjay Kapoor And Telama Investment",2018,August,8,2018-08-01
zestmoney,Consumer Internet,Bangalore,111.22,Private Equity,"Xiaomi, Payu, Ribbit Capital And Omidyar Network",2018,August,8,2018-08-01
shubh loans,Fintech,Bangalore,34.86,Private Equity,"Saama Capital, Sri Capital, Beenext, And Pravega Ventures",2018,August,8,2018-08-01
myupchar,Healthcare,Delhi,41.5,Private Equity,"Nexus Venture Partners, Omidyar Network And Shunwei Capital",2018,August,8,2018-08-01
narvar,It,Bangalore,24.9,Private Equity,Accel (Formerly Known As Accel Partners),2018,August,8,2018-08-01
true north,Fintech,Mumbai,4980.0,Private Equity,Unknown,2018,August,8,2018-08-01
biryani by kilo,Consumer Internet,Gurgaon,8.3,Other,Ajay Relan And Viunknowny Mittal,2018,July,7,2018-07-01
anchanto,It,Pune,33.2,Private Equity,"Mdi Ventures, Telkom Indonesia",2018,July,7,2018-07-01
policy bazaar,Consumer Internet,Gurgaon,229.91,Private Equity,Info Edge (India) Ltd And Temasek,2018,July,7,2018-07-01
zippserv,Consumer Internet,Bangalore,3.65,Other,Info Edge (India) Ltd,2018,July,7,2018-07-01
groww,Consumer Internet,Bangalore,9.13,Other,"Insignia Ventures Partners, Lightbridge Partners, Kairos",2018,July,7,2018-07-01
avenue growth,Consumer Internet,Gurgaon,3.63,Other,"Avtar Monga, Chief Operating Office At Idfc Bank, Aditya Malik, Others",2018,July,7,2018-07-01
kinara capital,Fintech,Bangalore,41.5,Private Equity,Responsability,2018,July,7,2018-07-01
shop 101,Consumer Internet,Mumbai,41.5,Private Equity,"Stellaris Venture Partners, Vy Capital, Raghuunknownndan G, And Ramakant Sharma",2018,July,7,2018-07-01
sambandh,Consumer Internet,Rourkela,20.75,Private Equity,Base Of Pyramid Asia (Bopa) Pte Ltd,2018,July,7,2018-07-01
19th mile,It,Gurgaon,1.49,Other,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta And Others",2018,July,7,2018-07-01
5th vital,Healthcare,Bangalore,4.15,Other,Brand Capital And Others,2018,July,7,2018-07-01
mengage,Healthcare,Jaipur,1.45,Other,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Counknownfounders Lab And Others.",2018,July,7,2018-07-01
ofbusiness,Fintech,Gurgaon,240.7,Private Equity,"Creation Investments, Falcon Edge, Matrix Partners India And Zodius Capital",2018,July,7,2018-07-01
cars24,Consumer Internet,Gurgaon,412.51,Private Equity,"Kingsway Fci Fund, Kck Global, Others",2018,July,7,2018-07-01
the ken,Consumer Internet,Bangalore,12.45,Other,"Omidyar Network, Others",2018,July,7,2018-07-01
book my show,Consumer Internet,Mumbai,830.0,Private Equity,"Tpg Growth, The Rise Fund, Others",2018,July,7,2018-07-01
housingman,Consumer Internet,Bangalore,12.45,Other,Unknown,2018,July,7,2018-07-01
paysense,Consumer Internet,Mumbai,149.4,Private Equity,"Payu, Others",2018,July,7,2018-07-01
vtion,Technology,Gurgaon,2.32,Other,"Angellist, Rahul Khanunknown, Rajeev Arora And Ram Ramsundar.",2018,July,7,2018-07-01
log9 materials,Technology,Bangalore,3.62,Other,"Metaform Ventures, Hemant Luthra, Micro Venture Capital Firm Gems Partners And Others",2018,July,7,2018-07-01
kidovators,Edtech,Bangalore,1.49,Other,Gray Matters,2018,July,7,2018-07-01
digit,Consumer Internet,Pune,373.5,Private Equity,Fairfax,2018,July,7,2018-07-01
black soil,Fintech,Mumbai,141.1,Private Equity,"Allcargo Logistics, Navneet Education And Mahavir Agency",2018,July,7,2018-07-01
trell,Consumer Internet,Bangalore,10.38,Other,"Beenext, Weh Ventures And Sprout Ventures",2018,July,7,2018-07-01
iqlect,Technology,Bangalore,20.75,Other,Ventureast And Exfinity,2018,July,7,2018-07-01
entropik,It,Bangalore,9.13,Other,"Bharat Innovation, Idfcunknownparampara Capital, Arthavida Ventures, Jitendra Gupta, Others",2018,July,7,2018-07-01
thecapitalnet,Fintech,Hyderabad,4.15,Private Equity,Lindwall Family Investments Llc (Lfi),2018,July,7,2018-07-01
shuttl,Consumer Internet,Gurgaon,91.3,Private Equity,"Amazon Alexa Fund, Dentsu Ventures",2018,July,7,2018-07-01
cure fit,Consumer Internet,Bangalore,996.0,Private Equity,"Idg Ventures, Accel, Kalaari Capital And Others",2018,July,7,2018-07-01
five star,Fintech,Chennai,830.0,Private Equity,"Tpg, Norwest Venture Partners, Sequoia Capital, Matrix Partners",2018,July,7,2018-07-01
healthsignz,Healthcare,Hyderabad,41.5,Other,Kantilal Patel,2018,July,7,2018-07-01
cointribe,Fintech,Gurgaon,83.0,Private Equity,"Sabre Partners, Puneet Dalmia, Others",2018,June,6,2018-06-01
digiconectt,Technology,Bangalore,1.04,Other,Aspire Logistics Llc,2018,June,6,2018-06-01
annapurna finance,Fintech,Bhubneswar,190.9,Private Equity,Oman India Joint Investment Fund (Oijif),2018,June,6,2018-06-01
meesho,Consumer Internet,Bangalore,95.45,Private Equity,"Sequoia Capital, Saif Partners, Y Combiunknowntor And Venture Highway",2018,June,6,2018-06-01
ayefinance,Fintech,Gurgaon,178.45,Private Equity,"Capitalg, Saif Partners And Lgt Impact Ventures",2018,June,6,2018-06-01
alpha capital,Fintech,Mumbai,122.84,Private Equity,Alpha Capital,2018,June,6,2018-06-01
eshakti,Ecommerce,Chennai,83.83,Private Equity,Paragon Partners,2018,June,6,2018-06-01
daily ninja,Consumer Internet,Bangalore,24.9,Other,Saama Capital And Sequoia Capital,2018,June,6,2018-06-01
nirogstreet,Healthcare,Gurgaon,2.49,Other,"Spiral Ventures, Subho Ray And Samir Kumar",2018,June,6,2018-06-01
nivesh,Fintech,Noida,3.73,Other,"Letsventure, Rajan Aunknownndan, Basab Pradhan, Vivek Khare And Bijoy George",2018,June,6,2018-06-01
homelane,Consumer Internet,Bangalore,28.64,Other,Brand Capital,2018,June,6,2018-06-01
network intelligence,Technology,Mumbai,39.84,Private Equity,Helix Investments,2018,June,6,2018-06-01
tynor othontics,Healthcare,Chandigarh,174.3,Private Equity,"Lighthouse Funds, Thuasne Participations",2018,June,6,2018-06-01
elucidata,It,Delhi Cambridge,14.11,Other,Hyperplane Venture Capital And Several Angel Investors,2018,June,6,2018-06-01
rentsher,Consumer Internet,Bangalore,9.13,Other,"Shorooq Investments, Letsventure, Others",2018,June,6,2018-06-01
drip capital,Fintech,Mumbai,124.5,Private Equity,"Accel, Sequoia India, Y Combiunknowntor And Others.",2018,June,6,2018-06-01
wickedride,Consumer Internet,Bangalore,75.53,Private Equity,"Sequoia Capital, Accel, Raghuunknownndan Gangappa",2018,June,6,2018-06-01
policy bazaar,Consumer Internet,Gurgaon,1660.0,Private Equity,"SoftBank, Info Edge (India) Ltd",2018,June,6,2018-06-01
hipbar,Consumer Internet,Bangalore,33.2,Private Equity,Diageo India,2018,June,6,2018-06-01
sqqrl,Fintech,Gurgaon,8.3,Other,Equanimity Venture Fund,2018,June,6,2018-06-01
paytm,Technology,Noida,74.28,Private Equity,One 97 Communications,2018,June,6,2018-06-01
sigtuple,Healthcare,Bangalore,157.7,Private Equity,"Accel, Idg Venture, Endiya Partners, Pi Ventures, Vh Capital, Axilor Ventures And Binny Bansal",2018,June,6,2018-06-01
wow express,Technology,Mumbai,37.35,Private Equity,Unknown Existing Investors As Well As The Tamarind Family Trust,2018,June,6,2018-06-01
front desk ai,Technology,Bangalore,9.13,Other,"Speciale Invest, Others",2018,June,6,2018-06-01
edureka,Edtech,Bangalore,16.6,Other,Leo Capital,2018,June,6,2018-06-01
opentap,Fintech,Chennai,3.73,Other,Unknown High Netunknownworth Individuals,2018,May,5,2018-05-01
bizongo,Consumer Internet,Mumbai,182.6,Private Equity,"B Capital, Interunknowntiounknownl Fiunknownnce Corporation (Ifc), Accel Partners And Idg Ventures",2018,May,5,2018-05-01
disprz,It,Chennai,20.75,Other,"Il, Fs Private Equity, Kae Capital, Others",2018,May,5,2018-05-01
paisadukan,Consumer Internet,Mumbai,1.87,Other,Unknown,2018,May,5,2018-05-01
i3sysytems,Technology,Mumbai,8.3,Other,"Unitus Ventures, Behram Vakil And Jerxis Vandrevala",2018,May,5,2018-05-01
earth food,Consumer Internet,Pune,7.88,Other,Rairah Corporation,2018,May,5,2018-05-01
nykaa,Consumer Internet,Mumbai,199.2,Private Equity,"Sunil Munjal, Harsh Mariwala, Dalip Pathak And Others",2018,May,5,2018-05-01
mfine,Healthcare,Bangalore,34.86,Private Equity,"Prime Venture Partners, Stellaris Venture Partners And Mayur Abhaya Srisrimal",2018,May,5,2018-05-01
