Headquarters,Sector,Avg_6m_Funding,Avg_6m_Rounds,Avg_6m_Median_Size,Avg_12m_Funding,Avg_12m_Rounds,Avg_12m_Median_Size,Total_Funding,Total_Rounds,Avg_6m_Funding_Missing,Avg_6m_Rounds_Missing,Avg_6m_Median_Size_Missing,Avg_12m_Funding_Missing,Avg_12m_Rounds_Missing,Avg_12m_Median_Size_Missing
Haryana,Media / Entertainment / Gaming,0.0,0.0,0.0,0.0,0.0,0.0,3.32,1.0,1,1,1,1,1,1
Haryana,Mobility / Automotive / Ev,2763.9,1.0,2763.9,2763.9,1.0,2763.9,2765.77,2.0,0,0,0,0,0,0
Haryana,Others,4.15,1.0,4.15,4.15,1.0,4.15,4.98,2.0,0,0,0,0,0,0
Haveri,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,25.73,1.0,1,1,1,1,1,1
Hoshiarpur,Agritech,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1,1,1,1,1,1
Houston,Others,0.0,0.0,0.0,0.0,0.0,0.0,332.0,1.0,1,1,1,1,1,1
Hyderabad,Agritech,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.0,1,1,1,1,1,1
Hyderabad,Analytics / Big Data,0.0,0.0,0.0,0.0,0.0,0.0,33.2,1.0,1,1,1,1,1,1
Hyderabad,Artificial Intelligence,9.14,1.5,6.23,9.14,1.5,6.23,61.44,3.0,0,0,0,0,0,0
Hyderabad,Climate / Cleantech / Energy,552.78,3.0,41.5,552.78,3.0,41.5,1247.49,6.0,0,0,0,0,0,0
Hyderabad,Consumer Goods / D2C,8.3,1.0,8.3,8.3,1.0,8.3,79.68,2.0,0,0,0,0,0,0
Hyderabad,Consumer Internet,314.11,7.11,13.22,380.59,11.61,9.79,1043.29,25.0,0,0,0,0,0,0
Hyderabad,Cybersecurity,24.9,1.0,24.9,24.9,1.0,24.9,33.2,2.0,0,0,0,0,0,0
Hyderabad,Deeptech / Hardware,0.0,0.0,0.0,0.0,0.0,0.0,4.15,1.0,1,1,1,1,1,1
Hyderabad,Ecommerce / Retail,110.8,4.75,15.65,133.98,6.5,11.4,299.63,13.0,0,0,0,0,0,0
Hyderabad,Edtech,2.08,1.0,2.08,2.08,1.0,2.08,7.47,2.0,0,0,0,0,0,0
Hyderabad,Enterprise / Saas,641.77,8.59,29.75,1150.42,15.54,22.63,4680.93,63.0,0,0,0,0,0,0
Hyderabad,Fintech,283.73,5.46,30.43,400.44,7.54,33.57,1706.79,16.0,0,0,0,0,0,0
Hyderabad,Foodtech,74.07,3.0,15.05,74.07,3.0,15.05,159.03,6.0,0,0,0,0,0,0
Hyderabad,Healthtech,345.29,4.85,51.56,373.96,6.92,17.3,1153.0,14.0,0,0,0,0,0,0
Hyderabad,Hrtech,0.0,0.0,0.0,0.0,0.0,0.0,124.5,1.0,1,1,1,1,1,1
Hyderabad,Logistics / Supply Chain,37.14,2.0,4.88,37.14,2.0,4.88,150.85,4.0,0,0,0,0,0,0
Hyderabad,Marketing / Adtech,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.0,1,1,1,1,1,1
Hyderabad,Media / Entertainment / Gaming,0.0,0.0,0.0,0.0,0.0,0.0,2.08,1.0,1,1,1,1,1,1
Hyderabad,Mobility / Automotive / Ev,17.66,2.5,2.98,17.66,2.5,2.98,59.1,5.0,0,0,0,0,0,0
Hyderabad,Others,318.8,5.33,5.64,328.8,7.08,4.06,1383.32,15.0,0,0,0,0,0,0
Hyderabad,Real Estate / Proptech,0.0,0.0,0.0,0.0,0.0,0.0,23.24,1.0,1,1,1,1,1,1
Hyderabad,Spacetech,0.0,0.0,0.0,0.0,0.0,0.0,19.92,1.0,1,1,1,1,1,1
Hyderabad,Travel / Hospitality,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.0,1,1,1,1,1,1
Hyderebad,Real Estate / Proptech,0.0,0.0,0.0,0.0,0.0,0.0,9.13,1.0,1,1,1,1,1,1
Ichalkaranji,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,24.9,1.0,1,1,1,1,1,1
India,Analytics / Big Data,0.0,0.0,0.0,0.0,0.0,0.0,249.0,1.0,1,1,1,1,1,1
India,Artificial Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,34.86,1.0,1,1,1,1,1,1
India,Consumer Goods / D2C,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.0,1,1,1,1,1,1
India,Ecommerce / Retail,0.0,0.0,0.0,0.0,0.0,0.0,1875.8,1.0,1,1,1,1,1,1
India,Enterprise / Saas,244.85,1.0,244.85,244.85,1.0,244.85,417.49,2.0,0,0,0,0,0,0
India,Fintech,348.6,1.0,348.6,348.6,1.0,348.6,352.6,2.0,0,0,0,0,0,0
India,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,182.6,1.0,1,1,1,1,1,1
India,Others,0.0,0.0,0.0,0.0,0.0,0.0,249.0,1.0,1,1,1,1,1,1
Indianapolis,Fintech,0.0,0.0,0.0,0.0,0.0,0.0,76.36,1.0,1,1,1,1,1,1
Indore,Agritech,2.82,1.0,2.82,2.82,1.0,2.82,85.82,2.0,0,0,0,0,0,0
Indore,Artificial Intelligence,8.3,1.0,8.3,8.3,1.0,8.3,48.14,2.0,0,0,0,0,0,0
Indore,Consumer Internet,8.3,1.0,8.3,8.3,1.0,8.3,10.77,2.0,0,0,0,0,0,0
Indore,Ecommerce / Retail,0.0,0.0,0.0,0.0,0.0,0.0,20.75,1.0,1,1,1,1,1,1
Indore,Enterprise / Saas,64.44,4.17,9.42,64.44,4.17,9.42,189.18,8.0,0,0,0,0,0,0
Indore,Fintech,0.0,0.0,0.0,0.0,0.0,0.0,20.75,1.0,1,1,1,1,1,1
Indore,Foodtech,0.0,0.0,0.0,0.0,0.0,0.0,12.45,1.0,1,1,1,1,1,1
Indore,Logistics / Supply Chain,0.0,0.0,0.0,0.0,0.0,0.0,3.11,1.0,1,1,1,1,1,1
Indore,Others,120.0,1.0,120.0,120.0,1.0,120.0,204.6,2.0,0,0,0,0,0,0
Indore,Spacetech,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1,1,1,1,1,1
Irvine,Artificial Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,4.15,1.0,1,1,1,1,1,1
Israel,Ecommerce / Retail,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1,1,1,1
Jabalpur,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,2.72,1.0,1,1,1,1,1,1
Jaipur,Agritech,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.0,1,1,1,1,1,1
Jaipur,Artificial Intelligence,124.5,1.0,124.5,124.5,1.0,124.5,249.0,2.0,0,0,0,0,0,0
Jaipur,Consumer Goods / D2C,83.0,1.0,83.0,83.0,1.0,83.0,88.81,2.0,0,0,0,0,0,0
Jaipur,Consumer Internet,103.3,3.0,32.37,103.3,3.0,32.37,139.26,6.0,0,0,0,0,0,0
Jaipur,Deeptech / Hardware,0.0,0.0,0.0,0.0,0.0,0.0,9.96,1.0,1,1,1,1,1,1
Jaipur,Ecommerce / Retail,147.7,4.33,18.05,156.28,5.0,17.02,352.48,10.0,0,0,0,0,0,0
Jaipur,Edtech,3.32,1.0,3.32,3.32,1.0,3.32,57.27,2.0,0,0,0,0,0,0
Jaipur,Enterprise / Saas,73.4,3.86,5.84,74.59,4.0,5.96,526.23,8.0,0,0,0,0,0,0
Jaipur,Fintech,858.05,3.2,190.07,858.05,3.2,190.07,3505.09,7.0,0,0,0,0,0,0
Jaipur,Foodtech,11.2,1.5,7.68,11.2,1.5,7.68,31.11,3.0,0,0,0,0,0,0
Jaipur,Healthtech,1.45,1.0,1.45,1.45,1.0,1.45,4.45,2.0,0,0,0,0,0,0
Jaipur,Mobility / Automotive / Ev,1203.5,1.5,830.0,1203.5,1.5,830.0,3569.0,3.0,0,0,0,0,0,0
Jaipur,Others,54.38,2.5,21.25,54.38,2.5,21.25,101.48,5.0,0,0,0,0,0,0
Jalandhar,Ecommerce / Retail,0.0,0.0,0.0,0.0,0.0,0.0,4.15,1.0,1,1,1,1,1,1
Jiaxing,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,1460.8,1.0,1,1,1,1,1,1
Jodhpur,Agritech,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1.0,1,1,1,1,1,1
Jodhpur,Consumer Internet,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.0,1,1,1,1,1,1
Jodhpur,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,4.98,1.0,1,1,1,1,1,1
Jodhpur,Foodtech,0.0,0.0,0.0,0.0,0.0,0.0,4.15,1.0,1,1,1,1,1,1
Jodhpur,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,1,1,1,1,1,1
Kanpur,Biotech,0.0,0.0,0.0,0.0,0.0,0.0,11.62,1.0,1,1,1,1,1,1
Kanpur,Consumer Internet,0.0,0.0,0.0,0.0,0.0,0.0,1.66,1.0,1,1,1,1,1,1
Kanpur,Others,16.57,1.5,8.33,16.57,1.5,8.33,277.67,3.0,0,0,0,0,0,0
Karachi,Others,0.0,0.0,0.0,0.0,0.0,0.0,12.45,1.0,1,1,1,1,1,1
Karnataka,Biotech,0.0,0.0,0.0,0.0,0.0,0.0,232.4,1.0,1,1,1,1,1,1
Karnataka,Climate / Cleantech / Energy,0.0,0.0,0.0,0.0,0.0,0.0,2.06,1.0,1,1,1,1,1,1
Karnataka,Consumer Internet,0.0,0.0,0.0,0.0,0.0,0.0,139.57,5.0,1,1,1,1,1,1
Karnataka,Ecommerce / Retail,946.2,1.0,946.2,946.2,1.0,946.2,1006.79,3.0,0,0,0,0,0,0
Karnataka,Enterprise / Saas,12.45,1.0,12.45,12.45,1.0,12.45,212.06,6.0,0,0,0,0,0,0
Karnataka,Fintech,15.36,1.0,15.36,15.36,1.0,15.36,164.76,3.0,0,0,0,0,0,0
Karnataka,Foodtech,6.22,1.0,6.22,6.22,1.0,6.22,2498.79,3.0,0,0,0,0,0,0
Karnataka,Healthtech,4980.0,1.0,4980.0,4980.0,1.0,4980.0,5004.9,2.0,0,0,0,0,0,0
Karnataka,Logistics / Supply Chain,0.0,0.0,0.0,0.0,0.0,0.0,29.75,1.0,1,1,1,1,1,1
Karnataka,Mobility / Automotive / Ev,0.0,0.0,0.0,0.0,0.0,0.0,41.5,1.0,1,1,1,1,1,1
Karnataka,Others,0.0,0.0,0.0,0.0,0.0,0.0,139.44,4.0,1,1,1,1,1,1
Karnataka,Real Estate / Proptech,0.0,0.0,0.0,0.0,0.0,0.0,2.49,1.0,1,1,1,1,1,1
Kerala,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,0.22,1.0,1,1,1,1,1,1
Kochi,Agritech,3.9,1.0,3.9,3.9,1.0,3.9,10.54,2.0,0,0,0,0,0,0
Kochi,Deeptech / Hardware,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1,1,1,1,1,1
Kochi,Enterprise / Saas,11.62,1.0,11.62,11.62,1.0,11.62,25.73,2.0,0,0,0,0,0,0
Kochi,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,17.43,1.0,1,1,1,1,1,1
Kochi,Real Estate / Proptech,0.0,0.0,0.0,0.0,0.0,0.0,3.32,1.0,1,1,1,1,1,1
Kochin,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,58.1,1.0,1,1,1,1,1,1
Kolkata,Artificial Intelligence,2.21,1.0,2.21,2.21,1.0,2.21,14.66,2.0,0,0,0,0,0,0
Kolkata,Climate / Cleantech / Energy,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1.0,1,1,1,1,1,1
Kolkata,Consumer Goods / D2C,0.0,0.0,0.0,0.0,0.0,0.0,250.0,1.0,1,1,1,1,1,1
Kolkata,Consumer Internet,1.66,1.5,1.14,1.66,1.5,1.14,3.06,3.0,0,0,0,0,0,0
Kolkata,Deeptech / Hardware,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1,1,1,1,1,1
Kolkata,Ecommerce / Retail,97.11,3.0,33.53,97.11,3.0,33.53,207.09,6.0,0,0,0,0,0,0
Kolkata,Enterprise / Saas,90.79,4.5,7.98,103.41,5.5,6.03,255.83,11.0,0,0,0,0,0,0
Kolkata,Fintech,0.0,0.0,0.0,0.0,0.0,0.0,16.6,1.0,1,1,1,1,1,1
Kolkata,Foodtech,82.45,2.0,27.39,82.45,2.0,27.39,414.28,4.0,0,0,0,0,0,0
Kolkata,Healthtech,14.11,1.5,7.47,14.11,1.5,7.47,31.9,3.0,0,0,0,0,0,0
Kolkata,Mobility / Automotive / Ev,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,1,1,1,1,1,1
Kolkata,Others,79.14,2.0,17.23,79.14,2.0,17.23,291.82,5.0,0,0,0,0,0,0
Kolkata,Travel / Hospitality,0.0,0.0,0.0,0.0,0.0,0.0,20.75,1.0,1,1,1,1,1,1
Kormangala,Logistics / Supply Chain,8.3,1.0,8.3,8.3,1.0,8.3,2357.2,2.0,0,0,0,0,0,0
Kormangala,Travel / Hospitality,0.0,0.0,0.0,0.0,0.0,0.0,0.34,1.0,1,1,1,1,1,1
Kota,Agritech,0.0,0.0,0.0,0.0,0.0,0.0,58.1,1.0,1,1,1,1,1,1
Kottayam,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,83.0,1.0,1,1,1,1,1,1
Lewes,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,498.0,1.0,1,1,1,1,1,1
Linthicum Heights,Artificial Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,180.94,1.0,1,1,1,1,1,1
Lonavala,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,624.8,1.0,1,1,1,1,1,1
London,Fintech,374.01,1.5,189.5,374.01,1.5,189.5,818.06,3.0,0,0,0,0,0,0
London,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,207.5,1.0,1,1,1,1,1,1
London,Mobility / Automotive / Ev,0.0,0.0,0.0,0.0,0.0,0.0,979.4,1.0,1,1,1,1,1,1
London,Real Estate / Proptech,0.0,0.0,0.0,0.0,0.0,0.0,102.09,1.0,1,1,1,1,1,1
Lucknow,Agritech,0.0,0.0,0.0,0.0,0.0,0.0,16.6,1.0,1,1,1,1,1,1
Lucknow,Enterprise / Saas,8.3,1.0,8.3,8.3,1.0,8.3,37.35,2.0,0,0,0,0,0,0
Lucknow,Fintech,0.0,0.0,0.0,0.0,0.0,0.0,20.75,1.0,1,1,1,1,1,1
Lucknow,Foodtech,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1,1,1,1,1,1
Lucknow,Healthtech,9.32,2.5,1.65,9.32,2.5,1.65,21.12,5.0,0,0,0,0,0,0
Ludhiana,Fintech,0.0,0.0,0.0,0.0,0.0,0.0,166.0,1.0,1,1,1,1,1,1
Madhya Pradesh,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,16.6,1.0,1,1,1,1,1,1
Maharashtra,Agritech,0.0,0.0,0.0,0.0,0.0,0.0,46.48,1.0,1,1,1,1,1,1
Maharashtra,Consumer Internet,0.0,0.0,0.0,0.0,0.0,0.0,793.06,4.0,1,1,1,1,1,1
Maharashtra,Deeptech / Hardware,0.0,0.0,0.0,0.0,0.0,0.0,54.45,2.0,1,1,1,1,1,1
Maharashtra,Ecommerce / Retail,0.0,0.0,0.0,0.0,0.0,0.0,22.32,2.0,1,1,1,1,1,1
Maharashtra,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,227.44,3.0,1,1,1,1,1,1
Maharashtra,Fintech,71.55,2.0,35.78,71.55,2.0,35.78,1841.51,9.0,0,0,0,0,0,0
Maharashtra,Foodtech,0.0,0.0,0.0,0.0,0.0,0.0,17.43,1.0,1,1,1,1,1,1
Maharashtra,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,37.63,5.0,1,1,1,1,1,1
Maharashtra,Logistics / Supply Chain,0.0,0.0,0.0,0.0,0.0,0.0,112.05,1.0,1,1,1,1,1,1
Maharashtra,Marketing / Adtech,0.0,0.0,0.0,0.0,0.0,0.0,66.4,1.0,1,1,1,1,1,1
Maharashtra,Mobility / Automotive / Ev,0.0,0.0,0.0,0.0,0.0,0.0,473.1,1.0,1,1,1,1,1,1
Maharashtra,Others,42.0,1.0,42.0,42.0,1.0,42.0,141.68,3.0,0,0,0,0,0,0
Maharashtra,Real Estate / Proptech,0.0,0.0,0.0,0.0,0.0,0.0,622.5,1.0,1,1,1,1,1,1
Maharastra,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,49.9,1.0,1,1,1,1,1,1
Mangalore,Foodtech,0.0,0.0,0.0,0.0,0.0,0.0,207.5,1.0,1,1,1,1,1,1
Maryland,Others,0.0,0.0,0.0,0.0,0.0,0.0,498.0,1.0,1,1,1,1,1,1
Massachusetts,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,1,1,1,1,1,1
Menlo Park,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,3735.0,1.0,1,1,1,1,1,1
Milano,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,19.09,1.0,1,1,1,1,1,1
Missourie,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.0,1,1,1,1,1,1
Mohali,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,12.45,1.0,1,1,1,1,1,1
Mumbai,Agritech,607.79,3.5,32.85,607.79,3.5,32.85,944.99,7.0,0,0,0,0,0,0
Mumbai,Analytics / Big Data,168.49,3.0,56.02,168.49,3.0,56.02,258.96,5.0,0,0,0,0,0,0
Mumbai,Artificial Intelligence,766.41,5.78,15.61,1442.39,9.28,15.78,2757.45,23.0,0,0,0,0,0,0
Mumbai,Climate / Cleantech / Energy,527.74,4.5,111.19,527.74,4.5,111.19,923.18,8.0,0,0,0,0,0,0
Mumbai,Consumer Goods / D2C,1733.08,7.17,117.3,2300.21,12.78,26.29,8141.25,31.0,0,0,0,0,0,0
Mumbai,Consumer Internet,2017.04,20.28,67.16,3834.51,39.13,56.52,16616.46,161.0,0,0,0,0,0,0
Mumbai,Deeptech / Hardware,412.07,2.33,44.92,412.07,2.33,44.92,1141.0,5.0,0,0,0,0,0,0
Mumbai,Ecommerce / Retail,2112.05,8.81,88.8,4059.45,16.79,80.98,21088.51,91.0,0,0,0,0,0,0
Mumbai,Edtech,23.52,2.0,14.18,23.52,2.0,14.18,85.08,4.0,0,0,0,0,0,0
Mumbai,Enterprise / Saas,3332.77,15.34,67.19,6467.55,29.45,50.19,43863.71,206.0,0,0,0,0,0,0
Mumbai,Fintech,3328.6,13.09,93.65,6328.39,24.85,82.3,37697.36,149.0,0,0,0,0,0,0
Mumbai,Foodtech,1083.75,8.17,30.75,1839.21,14.28,28.62,6492.69,45.0,0,0,0,0,0,0
Mumbai,Healthtech,2541.31,9.45,82.77,4842.98,17.48,62.83,21018.21,76.0,0,0,0,0,0,0
Mumbai,Hrtech,0.0,0.0,0.0,0.0,0.0,0.0,4.15,1.0,1,1,1,1,1,1
Mumbai,Logistics / Supply Chain,963.28,6.14,36.12,1128.08,10.41,38.51,9014.03,27.0,0,0,0,0,0,0
Mumbai,Marketing / Adtech,65.16,2.75,15.15,65.16,2.75,15.15,184.26,6.0,0,0,0,0,0,0
Mumbai,Media / Entertainment / Gaming,2787.74,4.62,284.02,3010.8,5.0,297.76,8384.41,10.0,0,0,0,0,0,0
Mumbai,Mobility / Automotive / Ev,640.55,5.18,58.1,753.36,6.73,60.82,1622.31,13.0,0,0,0,0,0,0
Mumbai,Others,1767.55,13.46,34.49,3180.85,24.65,17.87,11785.2,93.0,0,0,0,0,0,0
Mumbai,Real Estate / Proptech,2482.33,4.85,46.46,2590.95,6.92,25.96,7711.7,14.0,0,0,0,0,0,0
Mumbai,Travel / Hospitality,139.61,3.86,31.82,140.56,4.0,31.14,274.32,8.0,0,0,0,0,0,0
Mumbai,Venture Capital,5.81,1.0,5.81,5.81,1.0,5.81,11.62,2.0,0,0,0,0,0,0
Mysore,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,199.2,1.0,1,1,1,1,1,1
Nagpur,Consumer Internet,0.0,0.0,0.0,0.0,0.0,0.0,1.19,1.0,1,1,1,1,1,1
Nagpur,Healthtech,2.9,1.0,2.9,2.9,1.0,2.9,18.9,2.0,0,0,0,0,0,0
Nairobi,Agritech,0.0,0.0,0.0,0.0,0.0,0.0,22.73,1.0,1,1,1,1,1,1
Nan,Artificial Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,35.69,1.0,1,1,1,1,1,1
Nan,Consumer Goods / D2C,0.0,0.0,0.0,0.0,0.0,0.0,16.6,1.0,1,1,1,1,1,1
Nan,Ecommerce / Retail,0.0,0.0,0.0,0.0,0.0,0.0,356.9,2.0,1,1,1,1,1,1
Nan,Enterprise / Saas,422.88,8.5,28.12,422.88,8.5,28.12,487.21,10.0,0,0,0,0,0,0
Nan,Fintech,0.0,0.0,0.0,0.0,0.0,0.0,196.0,2.0,1,1,1,1,1,1
Nan,Foodtech,0.0,0.0,0.0,0.0,0.0,0.0,9.96,1.0,1,1,1,1,1,1
Nan,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,1,1,1,1,1,1
Nan,Media / Entertainment / Gaming,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,1,1,1,1,1,1
Nan,Others,700.83,2.0,351.58,700.83,2.0,351.58,807.5,4.0,0,0,0,0,0,0
Nashik,Enterprise / Saas,4.98,1.0,4.98,4.98,1.0,4.98,6.98,2.0,0,0,0,0,0,0
Nashik,Fintech,0.0,0.0,0.0,0.0,0.0,0.0,136.12,1.0,1,1,1,1,1,1
Nashik,Mobility / Automotive / Ev,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,1,1,1,1,1,1
Nashik,Others,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.0,1,1,1,1,1,1
New Jersey,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,24.9,1.0,1,1,1,1,1,1
New York Mumbai,Fintech,0.0,0.0,0.0,0.0,0.0,0.0,24.9,1.0,1,1,1,1,1,1
New York,Artificial Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,66.4,1.0,1,1,1,1,1,1
New York,Fintech,431.6,1.0,431.6,431.6,1.0,431.6,468.95,2.0,0,0,0,0,0,0
New York,Foodtech,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.0,1,1,1,1,1,1
New York,Media / Entertainment / Gaming,0.0,0.0,0.0,0.0,0.0,0.0,33.2,1.0,1,1,1,1,1,1
New York,Others,0.0,0.0,0.0,0.0,0.0,0.0,24.9,1.0,1,1,1,1,1,1
New York,Real Estate / Proptech,0.0,0.0,0.0,0.0,0.0,0.0,24.48,1.0,1,1,1,1,1,1
Newark,Analytics / Big Data,0.0,0.0,0.0,0.0,0.0,0.0,348.6,1.0,1,1,1,1,1,1
Newcastle Upon Tyne,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,2.49,1.0,1,1,1,1,1,1
Newyork,Fintech,0.0,0.0,0.0,0.0,0.0,0.0,122.84,1.0,1,1,1,1,1,1
Newyork,Foodtech,0.0,0.0,0.0,0.0,0.0,0.0,1037.5,1.0,1,1,1,1,1,1
Newyork,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,165.5,1.0,1,1,1,1,1,1
Noida,Agritech,132.63,3.0,22.99,132.63,3.0,22.99,776.05,6.0,0,0,0,0,0,0
Noida,Analytics / Big Data,0.0,0.0,0.0,0.0,0.0,0.0,41.5,1.0,1,1,1,1,1,1
Noida,Artificial Intelligence,8.3,1.0,8.3,8.3,1.0,8.3,33.2,2.0,0,0,0,0,0,0
Noida,Climate / Cleantech / Energy,0.0,0.0,0.0,0.0,0.0,0.0,29.05,2.0,1,1,1,1,1,1
Noida,Consumer Goods / D2C,542.4,1.5,337.6,542.4,1.5,337.6,986.04,3.0,0,0,0,0,0,0
Noida,Consumer Internet,175.11,6.86,19.15,241.25,10.29,14.51,1027.27,23.0,0,0,0,0,0,0
Noida,Ecommerce / Retail,292.59,5.73,21.88,320.21,7.45,10.71,954.79,15.0,0,0,0,0,0,0
Noida,Edtech,2.49,1.0,2.49,2.49,1.0,2.49,64.74,2.0,0,0,0,0,0,0
Noida,Enterprise / Saas,1843.13,8.18,109.86,2752.23,14.47,71.21,11175.35,50.0,0,0,0,0,0,0
Noida,Fintech,6762.9,5.0,296.45,10119.75,7.6,285.75,18736.21,16.0,0,0,0,0,0,0
Noida,Foodtech,15.16,2.5,3.85,15.16,2.5,3.85,366.02,5.0,0,0,0,0,0,0
Noida,Healthtech,558.73,3.5,140.62,558.73,3.5,140.62,1005.32,8.0,0,0,0,0,0,0
Noida,Logistics / Supply Chain,41.95,1.5,21.09,41.95,1.5,21.09,87.6,3.0,0,0,0,0,0,0
Noida,Media / Entertainment / Gaming,8.3,1.0,8.3,8.3,1.0,8.3,29.05,2.0,0,0,0,0,0,0
Noida,Mobility / Automotive / Ev,605.9,1.5,317.47,605.9,1.5,317.47,1162.0,3.0,0,0,0,0,0,0
Noida,Others,242.58,5.58,5.1,388.28,7.83,4.72,555.61,17.0,0,0,0,0,0,0
Noida,Real Estate / Proptech,4.15,1.0,4.15,4.15,1.0,4.15,37.65,2.0,0,0,0,0,0,0
Noida,Travel / Hospitality,43.99,2.0,3.87,43.99,2.0,3.87,123.18,4.0,0,0,0,0,0,0
Noida,Venture Capital,0.0,0.0,0.0,0.0,0.0,0.0,4.98,1.0,1,1,1,1,1,1
Oakland,Analytics / Big Data,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1,1,1,1,1,1
Odisha,Biotech,0.0,0.0,0.0,0.0,0.0,0.0,0.09,1.0,1,1,1,1,1,1
Odisha,Foodtech,0.0,0.0,0.0,0.0,0.0,0.0,83.0,1.0,1,1,1,1,1,1
Orissia,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,41.5,1.0,1,1,1,1,1,1
Palo Alto,Fintech,577.6,1.0,577.6,577.6,1.0,577.6,1515.5,2.0,0,0,0,0,0,0
Palo Alto,Others,0.0,0.0,0.0,0.0,0.0,0.0,423.3,1.0,1,1,1,1,1,1
Panaji,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,6.85,1.0,1,1,1,1,1,1
Panaji,Travel / Hospitality,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.0,1,1,1,1,1,1
Panchkula,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,1,1,1,1,1,1
Paris,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,44.82,1.0,1,1,1,1,1,1
Parsippany,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,99.6,1.0,1,1,1,1,1,1
Patna,Agritech,0.0,0.0,0.0,0.0,0.0,0.0,249.0,1.0,1,1,1,1,1,1
Patna,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.0,1,1,1,1,1,1
Petaluma,Climate / Cleantech / Energy,0.0,0.0,0.0,0.0,0.0,0.0,962.8,1.0,1,1,1,1,1,1
Plano,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,24.9,1.0,1,1,1,1,1,1
Posha,Foodtech,0.0,0.0,0.0,0.0,0.0,0.0,66.4,1.0,1,1,1,1,1,1
Powai,Mobility / Automotive / Ev,0.0,0.0,0.0,0.0,0.0,0.0,3.32,1.0,1,1,1,1,1,1
Pune,Agritech,444.7,3.0,44.82,444.7,3.0,44.82,785.11,6.0,0,0,0,0,0,0
